key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
3015737,hetero,46,135,1,'.' --d=1--> ' ','.' --d=2--> '\xa0',36,7,0.26593494,0.27207441,30,0.00300000
2883955,hetero,44,46,3,' ' --d=1--> '\xa0','.' --d=1--> ' ',36,10,0.25335466,0.08460053,39,0.00390000
1114658,hetero,17,68,2,' ' --d=2--> '.','1' --d=1--> '.',36,14,0.13796428,0.42107277,45,0.00450000
852042,hetero,13,9,2,' the' --d=3--> ' of',' to' --d=1--> ' the',36,6,0.11185165,0.42622509,42,0.00420000
18088194,hetero,276,32,2,'\n' --d=2--> ' ',' ' --d=1--> ' ',35,10,0.25485790,0.11277141,27,0.00270000
2883953,hetero,44,46,1,' ' --d=1--> '\xa0','.' --d=1--> ' ',35,9,0.21317518,0.00741089,33,0.00330000
9175178,hetero,140,17,2,'3' --d=1--> '.',' ' --d=2--> '.',35,9,0.17496619,0.00741089,36,0.00360000
2031865,self,31,31,1,'1' --d=1--> '9','1' --d=1--> '9',35,7,0.15589445,0.24390354,37,0.00370000
1966504,hetero,30,53,0,"',' --d=3--> '0'","',' --d=2--> '2'",35,11,0.12068321,0.20808159,43,0.00430000
3473648,hetero,53,30,0,"',' --d=2--> '2'","',' --d=3--> '0'",35,9,0.11609318,0.00741089,43,0.00430000
9240642,hetero,141,8,2,'0' --d=2--> '1','0' --d=1--> '0',35,8,0.10075524,0.11037214,38,0.00380000
8848442,self,135,135,2,'.' --d=2--> '\xa0','.' --d=2--> '\xa0',34,6,0.28505987,0.36906668,31,0.00310000
8847728,hetero,135,46,0,'.' --d=2--> '\xa0','.' --d=1--> ' ',34,8,0.26132017,0.08138461,32,0.00320000
1114656,hetero,17,68,0,' ' --d=2--> '.','1' --d=1--> '.',34,8,0.16670938,0.08138461,41,0.00410000
5374090,hetero,82,17,2,'2' --d=1--> '.',' ' --d=2--> '.',34,10,0.14988494,0.14175894,39,0.00390000
459770,hetero,7,127,2,'2' --d=1--> '0','1' --d=2--> '.',34,9,0.10532831,0.03639843,33,0.00330000
2228353,hetero,34,16,1,'2' --d=2--> '0',' ' --d=3--> '0',34,9,0.10501862,0.03639843,40,0.00400000
1048849,hetero,16,34,1,' ' --d=3--> '0','2' --d=2--> '0',34,6,0.10325664,0.36906668,37,0.00370000
12715539,self,194,194,3,'\n' --d=1--> ' ','\n' --d=1--> ' ',33,5,0.45493353,0.52153527,26,0.00260000
2098705,hetero,32,194,1,' ' --d=1--> ' ','\n' --d=1--> ' ',33,6,0.28121794,0.33921372,21,0.00210000
8978744,hetero,137,39,0,'2' --d=3--> '0','0' --d=2--> '0',33,7,0.17316243,0.18506304,34,0.00340000
3145985,hetero,48,32,1,' ' --d=2--> '1',' ' --d=1--> ' ',33,6,0.17143903,0.33921372,36,0.00360000
5505282,hetero,84,32,2,' ' --d=2--> '3',' ' --d=1--> ' ',33,11,0.16486871,0.26692209,36,0.00360000
1179792,self,18,18,0,'.' --d=1--> ' The','.' --d=1--> ' The',33,8,0.15414660,0.05153164,38,0.00380000
1638610,hetero,25,26,2,' ' --d=3--> '1','0' --d=1--> '1',33,9,0.14886682,0.06625139,40,0.00400000
1704138,hetero,26,25,2,'0' --d=1--> '1',' ' --d=3--> '1',33,6,0.14569095,0.33921372,35,0.00350000
1966249,hetero,30,21,1,"',' --d=3--> '0'","',' --d=1--> ' '",33,5,0.12611243,0.52153527,35,0.00350000
197458,hetero,3,106,2,' ' --d=1--> '1','1' --d=3--> '1',33,10,0.11200368,0.17161191,41,0.00410000
1769539,hetero,27,8,3,'1' --d=1--> '0','0' --d=1--> '0',33,5,0.10161698,0.52153527,36,0.00360000
18088192,hetero,276,32,0,'\n' --d=2--> ' ',' ' --d=1--> ' ',32,9,0.25903709,0.09702305,30,0.00300000
12714120,hetero,194,17,0,'\n' --d=1--> ' ',' ' --d=2--> '.',32,5,0.21531789,0.49076361,29,0.00290000
2031867,self,31,31,3,'1' --d=1--> '9','1' --d=1--> '9',32,7,0.20152878,0.15429138,34,0.00340000
1115530,hetero,17,177,2,' ' --d=2--> '.','0' --d=1--> '.',32,7,0.15928274,0.15429138,24,0.00240000
459322,hetero,7,71,2,'2' --d=1--> '0','1' --d=3--> '0',31,5,0.12350141,0.45901492,30,0.00300000
18087962,hetero,276,3,2,'\n' --d=2--> ' ',' ' --d=1--> '1',31,7,0.11874094,0.12254268,32,0.00320000
13107266,hetero,200,8,2,'0' --d=2--> ' ','0' --d=1--> '0',31,6,0.10511426,0.27669336,29,0.00290000
1638609,hetero,25,26,1,' ' --d=3--> '1','0' --d=1--> '1',31,10,0.10457671,0.23413226,39,0.00390000
3276938,hetero,50,17,2,' ' --d=1--> '4',' ' --d=2--> '.',31,9,0.10383619,0.12877175,39,0.00390000
6946842,hetero,106,3,2,'1' --d=3--> '1',' ' --d=1--> '1',31,8,0.10330450,0.01098871,35,0.00350000
12716194,hetero,194,276,2,'\n' --d=1--> ' ','\n' --d=2--> ' ',30,7,0.35078284,0.08975286,25,0.00250000
3015736,hetero,46,135,0,'.' --d=1--> ' ','.' --d=2--> '\xa0',30,8,0.24746160,0.04377854,29,0.00290000
2098274,hetero,32,140,2,' ' --d=1--> ' ','3' --d=1--> '.',30,10,0.17058539,0.26692209,38,0.00380000
1114768,hetero,17,82,0,' ' --d=2--> '.','2' --d=1--> '.',30,5,0.16762499,0.42622509,33,0.00330000
1245569,hetero,19,48,1,' ' --d=3--> '.',' ' --d=2--> '1',30,8,0.16095622,0.04377854,37,0.00370000
1442298,hetero,22,63,2,"',' --d=1--> ' I'","',' --d=2--> ' I'",30,6,0.12836267,0.24390354,35,0.00350000
1048746,hetero,16,21,2,' ' --d=3--> '0',"',' --d=1--> ' '",30,6,0.11812847,0.24390354,32,0.00320000
459689,hetero,7,117,1,'2' --d=1--> '0','2' --d=3--> '2',30,6,0.11616574,0.24390354,32,0.00320000
2228497,self,34,34,1,'2' --d=2--> '0','2' --d=2--> '0',30,7,0.10210181,0.08975286,33,0.00330000
8848440,self,135,135,0,'.' --d=2--> '\xa0','.' --d=2--> '\xa0',29,10,0.31110383,0.30082364,30,0.00300000
8848441,self,135,135,1,'.' --d=2--> '\xa0','.' --d=2--> '\xa0',29,6,0.30127169,0.21000198,31,0.00310000
4981866,hetero,76,141,2,'1' --d=1--> '1','0' --d=2--> '1',29,5,0.19573297,0.39232354,26,0.00260000
1966250,hetero,30,21,2,"',' --d=3--> '0'","',' --d=1--> ' '",29,5,0.14324170,0.39232354,32,0.00320000
2097810,hetero,32,82,2,' ' --d=1--> ' ','2' --d=1--> '.',29,8,0.13827022,0.07768009,32,0.00320000
4653624,self,71,71,0,'1' --d=3--> '0','1' --d=3--> '0',29,7,0.12501483,0.05585130,33,0.00330000
4850256,self,74,74,0,'1' --d=3--> ' ','1' --d=3--> ' ',29,13,0.12469045,0.56318790,33,0.00330000
2949482,self,45,45,2,'.' --d=1--> ' I','.' --d=1--> ' I',29,10,0.11731883,0.30082364,38,0.00380000
1114304,hetero,17,24,0,' ' --d=2--> '.',' ' --d=1--> '3',29,11,0.10352900,0.39613382,38,0.00380000
12845194,hetero,196,17,2,'4' --d=1--> '.',' ' --d=2--> '.',28,8,0.17750382,0.11277141,31,0.00310000
9175298,hetero,140,32,2,'3' --d=1--> '.',' ' --d=1--> ' ',28,6,0.15669359,0.17491067,31,0.00310000
