key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
530595,hetero,8,788,3,'0' --d=1--> '0',':' --d=1--> '2',34,7,0.24710997,0.21491600,34,0.00340000
7997489,hetero,122,262,1,'0' --d=3--> ' ','9' --d=2--> '0',34,9,0.24379177,0.03639843,36,0.00360000
13112314,hetero,200,639,2,'0' --d=2--> ' ',':' --d=1--> '0',34,16,0.24173038,0.61176257,36,0.00360000
529211,hetero,8,615,3,'0' --d=1--> '0',':' --d=1--> '1',34,9,0.24148779,0.03639843,34,0.00340000
657632,hetero,10,284,0,"',' --d=1--> ' but'",' at' --d=1--> ' least',34,7,0.23933194,0.21491600,40,0.00400000
2040016,hetero,31,1050,0,'1' --d=1--> '9','3' --d=1--> '9',34,14,0.23873669,0.47823118,33,0.00330000
13369514,hetero,204,21,2,' ' --d=3--> ':',"',' --d=1--> ' '",34,10,0.23828916,0.14175894,11,0.00110000
3080521,hetero,47,41,1,' it' --d=1--> ' is',' that' --d=1--> ' the',34,7,0.23190217,0.21491600,40,0.00400000
39518520,hetero,603,39,0,' $' --d=1--> '1','0' --d=2--> '0',34,7,0.23161448,0.21491600,32,0.00320000
28049432,hetero,428,3,0,'.\n\n' --d=1--> '   ',' ' --d=1--> '1',34,5,0.23131439,0.55138824,33,0.00330000
203562,hetero,3,869,2,' ' --d=1--> '1','9' --d=3--> '1',34,12,0.22869153,0.32408050,37,0.00370000
120848553,hetero,1844,21,1,' November' --d=1--> ' ',"',' --d=1--> ' '",34,8,0.22803874,0.08138461,37,0.00370000
48039016,hetero,733,141,0,'7' --d=3--> '2','0' --d=2--> '1',34,15,0.22650025,0.54722405,44,0.00440000
33685633,hetero,514,16,1,'2' --d=1--> '8',' ' --d=3--> '0',34,8,0.22627889,0.08138461,38,0.00380000
34079330,hetero,520,76,2,'6' --d=2--> ' ','1' --d=1--> '1',34,6,0.22505845,0.36906668,39,0.00390000
43713640,hetero,667,141,0,'5' --d=3--> '2','0' --d=2--> '1',34,6,0.22155187,0.36906668,39,0.00390000
1713922,hetero,26,1248,2,'0' --d=1--> '1','2' --d=2--> ':',34,8,0.21784472,0.08138461,29,0.00290000
409338,hetero,6,2015,2,' ' --d=2--> '0','-' --d=2--> '7',34,14,0.21579722,0.47823118,11,0.00110000
7999233,hetero,122,480,1,'0' --d=3--> ' ','0' --d=2--> '9',34,7,0.21237040,0.21491600,33,0.00330000
7340040,hetero,112,1,0,' out' --d=1--> ' of',' the' --d=2--> ' of',34,13,0.20981490,0.40412321,47,0.00470000
9897481,hetero,151,193,1,'2' --d=3--> ' ','9' --d=1--> '9',34,10,0.20719459,0.14175894,38,0.00380000
2425674,hetero,37,105,2,' ' --d=2--> '9',"',' --d=1--> ' he'",34,7,0.20422823,0.21491600,28,0.00280000
589872,hetero,9,6,0,' to' --d=1--> ' the',' ' --d=2--> '0',34,6,0.19990724,0.36906668,38,0.00380000
34079816,hetero,520,137,0,'6' --d=2--> ' ','2' --d=3--> '0',34,9,0.19918763,0.03639843,40,0.00400000
12648746,hetero,193,37,2,'9' --d=1--> '9',' ' --d=2--> '9',34,5,0.19801191,0.55138824,27,0.00270000
10027274,hetero,153,33,2,'.' --d=1--> ' In',"',' --d=1--> ' it'",34,5,0.19782836,0.55138824,38,0.00380000
38404314,hetero,586,27,2,'8' --d=2--> ' ','1' --d=1--> '0',34,7,0.19356206,0.21491600,34,0.00340000
202042,hetero,3,679,2,' ' --d=1--> '1','3' --d=3--> '1',34,6,0.19143332,0.36906668,35,0.00350000
1774353,hetero,27,610,1,'1' --d=1--> '0','0' --d=2--> '-',34,16,0.18921560,0.61176257,16,0.00160000
5374090,hetero,82,17,2,'2' --d=1--> '.',' ' --d=2--> '.',34,10,0.18909586,0.14175894,40,0.00400000
19202082,hetero,293,4,2,' there' --d=2--> ' a',' in' --d=1--> ' the',34,6,0.18592321,0.36906668,38,0.00380000
2232050,hetero,34,478,2,'2' --d=2--> '0','0' --d=1--> '3',34,6,0.18572411,0.36906668,30,0.00300000
50004280,hetero,763,39,0,'9' --d=3--> '2','0' --d=2--> '0',34,11,0.18514324,0.23706912,45,0.00450000
2229361,hetero,34,142,1,'2' --d=2--> '0',' ' --d=1--> '0',34,10,0.18374242,0.14175894,21,0.00210000
88539344,hetero,1351,26,0,'7' --d=2--> '2','0' --d=1--> '1',34,6,0.18348933,0.36906668,33,0.00330000
463793,hetero,7,630,1,'2' --d=1--> '0','6' --d=2--> '0',34,5,0.18135899,0.55138824,19,0.00190000
8193290,hetero,125,161,2,' in' --d=1--> ' ','1' --d=1--> '4',34,11,0.18012130,0.23706912,39,0.00390000
347656,hetero,5,2497,0,' ' --d=1--> '2','0' --d=1--> ' minutes',34,9,0.17944125,0.03639843,37,0.00370000
2032458,hetero,31,105,2,'1' --d=1--> '9',"',' --d=1--> ' he'",34,7,0.17782297,0.21491600,28,0.00280000
34079656,hetero,520,117,0,'6' --d=2--> ' ','2' --d=3--> '2',34,15,0.17548848,0.54722405,39,0.00390000
34603282,hetero,528,34,2,'-' --d=1--> '2','2' --d=2--> '0',34,11,0.17381924,0.23706912,12,0.00120000
67154,hetero,1,202,2,' the' --d=2--> ' of',"',' --d=1--> ' who'",34,12,0.17084826,0.32408050,44,0.00440000
1704609,hetero,26,84,1,'0' --d=1--> '1',' ' --d=2--> '3',34,6,0.17049407,0.36906668,24,0.00240000
1771121,hetero,27,206,1,'1' --d=1--> '0','0' --d=3--> '2',34,6,0.16509805,0.36906668,22,0.00220000
2032161,hetero,31,68,1,'1' --d=1--> '9','1' --d=1--> '.',34,16,0.16195050,0.61176257,41,0.00410000
10420353,hetero,159,16,1,'1' --d=1--> '6',' ' --d=3--> '0',34,15,0.16152351,0.54722405,40,0.00400000
7998624,hetero,122,404,0,'0' --d=3--> ' ','2' --d=3--> '6',34,10,0.16063853,0.14175894,40,0.00400000
528592,hetero,8,538,0,'0' --d=1--> '0','7' --d=2--> ' ',34,7,0.15672031,0.21491600,21,0.00210000
1705962,hetero,26,253,2,'0' --d=1--> '1','1' --d=2--> '1',34,6,0.15639254,0.36906668,31,0.00310000
3015272,hetero,46,77,0,'.' --d=1--> ' ','1' --d=2--> '0',34,5,0.15012329,0.55138824,31,0.00310000
656466,hetero,10,138,2,"',' --d=1--> ' but'",' to' --d=2--> ' it',34,9,0.14768192,0.03639843,42,0.00420000
17301817,hetero,264,39,1,'2' --d=1--> '5','0' --d=2--> '0',34,11,0.14660400,0.23706912,40,0.00400000
41287745,hetero,630,8,1,'6' --d=2--> '0','0' --d=1--> '0',34,9,0.14625606,0.03639843,31,0.00310000
1638545,hetero,25,18,1,' ' --d=3--> '1','.' --d=1--> ' The',34,8,0.14455250,0.08138461,39,0.00390000
9962744,hetero,152,159,0,'1' --d=2--> ' ','1' --d=1--> '6',34,7,0.14346143,0.21491600,28,0.00280000
202441,hetero,3,729,1,' ' --d=1--> '1','5' --d=3--> ' ',34,12,0.14330018,0.32408050,39,0.00390000
4654656,hetero,71,200,0,'1' --d=3--> '0','0' --d=2--> ' ',34,7,0.14259007,0.21491600,26,0.00260000
589848,hetero,9,3,0,' to' --d=1--> ' the',' ' --d=1--> '1',34,6,0.14227254,0.36906668,39,0.00390000
1898,hetero,0,237,2,' of' --d=1--> ' the',' The' --d=2--> ' of',34,6,0.13791425,0.36906668,39,0.00390000
34079033,hetero,520,39,1,'6' --d=2--> ' ','0' --d=2--> '0',34,11,0.13509409,0.23706912,42,0.00420000
6946873,hetero,106,7,1,'1' --d=3--> '1','2' --d=1--> '0',34,14,0.13178649,0.47823118,26,0.00260000
15074128,hetero,230,106,0,'2' --d=2--> ' ','1' --d=3--> '1',34,6,0.12959313,0.36906668,31,0.00310000
4852200,hetero,74,317,0,'1' --d=3--> ' ','2' --d=1--> '2',34,9,0.12861316,0.03639843,40,0.00400000
1835922,hetero,28,114,2,'2' --d=2--> '1','1' --d=1--> '5',34,9,0.12762919,0.03639843,20,0.00200000
7471131,hetero,114,3,3,'1' --d=1--> '5',' ' --d=1--> '1',34,6,0.12725542,0.36906668,28,0.00280000
39977232,hetero,610,34,0,'0' --d=2--> '-','2' --d=2--> '0',34,12,0.12712509,0.32408050,35,0.00350000
9240888,hetero,141,39,0,'0' --d=2--> '1','0' --d=2--> '0',34,12,0.12548488,0.32408050,24,0.00240000
394329,hetero,6,139,1,' ' --d=2--> '0','2' --d=3--> '1',34,12,0.12501196,0.32408050,39,0.00390000
983137,hetero,15,12,1,' to' --d=1--> ' be',' to' --d=2--> ' the',34,15,0.11817935,0.54722405,49,0.00490000
530818,hetero,8,816,2,'0' --d=1--> '0','1' --d=1--> ':',34,11,0.11755745,0.23706912,30,0.00300000
1379673,hetero,21,427,1,"',' --d=1--> ' '",'5' --d=2--> ' ',34,6,0.11438267,0.36906668,39,0.00390000
2098744,hetero,32,199,0,' ' --d=1--> ' ','1' --d=1--> '7',34,8,0.11021494,0.08138461,42,0.00420000
120848442,hetero,1844,7,2,' November' --d=1--> ' ','2' --d=1--> '0',34,8,0.10997247,0.08138461,37,0.00370000
1705584,hetero,26,206,0,'0' --d=1--> '1','0' --d=3--> '2',34,5,0.10735840,0.55138824,24,0.00240000
7997208,hetero,122,227,0,'0' --d=3--> ' ','0' --d=3--> '1',34,13,0.10591957,0.40412321,37,0.00370000
1380536,hetero,21,535,0,"',' --d=1--> ' '",'2' --d=1--> '7',34,6,0.10408955,0.36906668,36,0.00360000
1706746,hetero,26,351,2,'0' --d=1--> '1','0' --d=1--> '9',34,16,0.10071453,0.61176257,34,0.00340000
21651064,hetero,330,3023,0,' to' --d=1--> ' take',' advantage' --d=1--> ' of',33,11,0.72866127,0.26692209,42,0.00420000
44440480,hetero,678,884,0,' that' --d=1--> ' can',' be' --d=1--> ' used',33,6,0.62995649,0.33921372,39,0.00390000
10031144,hetero,153,517,0,'.' --d=1--> ' In',' order' --d=1--> ' to',33,9,0.55507072,0.06625139,37,0.00370000
14760489,hetero,225,1861,1,' I' --d=1--> ' don',' know' --d=2--> ' I',33,12,0.55438510,0.35393346,42,0.00420000
270153272,hetero,4122,1735,0,""" '"" --d=2--> '2'",' at' --d=3--> ':',33,10,0.55388676,0.17161191,17,0.00170000
12065104,hetero,184,810,0,' a' --d=1--> ' few',' years' --d=1--> ' ago',33,12,0.54656828,0.35393346,44,0.00440000
44634768,hetero,681,594,0,' the' --d=1--> ' past',' ' --d=3--> ' years',33,6,0.54090988,0.33921372,37,0.00370000
30216576,hetero,461,560,0,"',' --d=1--> ' even'",' if' --d=1--> ' it',33,5,0.53860775,0.52153527,38,0.00380000
85330272,hetero,1302,300,0,'.' --d=2--> ' don',"""'t"" --d=2--> ' to'",33,5,0.49888586,0.52153527,36,0.00360000
45418008,hetero,693,195,0,' the' --d=1--> ' fact',' that' --d=1--> ' they',33,5,0.49812131,0.52153527,38,0.00380000
39130962,hetero,597,746,2,' about' --d=1--> ' ','%' --d=1--> ' of',33,7,0.44149053,0.18506304,35,0.00350000
1275330,hetero,19,3768,2,' ' --d=3--> '.',' says' --d=1--> ':\n\n',33,7,0.43725253,0.18506304,20,0.00200000
270142113,hetero,4122,340,1,""" '"" --d=2--> '2'",' ' --d=2--> ':',33,10,0.42540256,0.17161191,17,0.00170000
288817745,hetero,4407,74,1,"',' --d=1--> ' October'",'1' --d=3--> ' ',33,7,0.41495463,0.18506304,36,0.00360000
169742418,hetero,2590,522,2,'0' --d=1--> '/','/' --d=1--> '2',33,7,0.41215048,0.18506304,24,0.00240000
24067426,hetero,367,1964,2,' (' --d=1--> '1','-' --d=2--> '9',33,5,0.40902850,0.52153527,23,0.00230000
5179696,hetero,79,294,0,"' I' --d=1--> ""'m""",' trying' --d=1--> ' to',33,11,0.39623409,0.26692209,43,0.00430000
61875769,hetero,944,1223,1,' at' --d=2--> '1',':' --d=2--> '3',33,6,0.39505770,0.33921372,30,0.00300000
13405056,hetero,204,4464,0,' ' --d=3--> ':','4' --d=2--> '\n',33,10,0.39182621,0.17161191,34,0.00340000
87228416,hetero,1331,0,0,' in' --d=1--> ' one',' of' --d=1--> ' the',33,11,0.38669516,0.26692209,43,0.00430000
15008912,hetero,229,146,0,"',' --d=1--> ' if'",' you' --d=1--> ' are',33,6,0.38418948,0.33921372,38,0.00380000
6031120,hetero,92,226,0,' as' --d=2--> ' as',' I' --d=1--> ' can',33,5,0.38220533,0.52153527,37,0.00370000
24379512,hetero,372,15,0,' would' --d=1--> ' have',' to' --d=1--> ' be',33,10,0.37838610,0.17161191,38,0.00380000
11470080,hetero,175,160,0,'.' --d=1--> ' If',' you' --d=3--> ' to',33,6,0.37221496,0.33921372,37,0.00370000
22938240,hetero,350,80,0,"',' --d=2--> ' would'",' be' --d=2--> ' to',33,10,0.36816617,0.17161191,43,0.00430000
58523768,hetero,893,15,0,' I' --d=1--> ' want',' to' --d=1--> ' be',33,5,0.36724364,0.52153527,34,0.00340000
34084274,hetero,520,694,2,'6' --d=2--> ' ','0' --d=2--> '\n\n',33,8,0.35850961,0.05153164,39,0.00390000
19737954,hetero,301,1452,2,' at' --d=1--> ' ',':' --d=2--> '4',33,10,0.35836065,0.17161191,39,0.00390000
61872512,hetero,944,816,0,' at' --d=2--> '1','1' --d=1--> ':',33,6,0.35698088,0.33921372,29,0.00290000
9639761,hetero,147,746,1,' ' --d=1--> '7','%' --d=1--> ' of',33,9,0.35271103,0.06625139,41,0.00410000
4522537,self,69,69,1,"',' --d=1--> ' or'","',' --d=1--> ' or'",33,10,0.34460140,0.17161191,37,0.00370000
11736689,hetero,179,718,1,' ' --d=3--> '2','/' --d=2--> '0',33,5,0.33818898,0.52153527,20,0.00200000
18089353,hetero,276,177,1,'\n' --d=2--> ' ','0' --d=1--> '.',33,7,0.33377880,0.18506304,26,0.00260000
24059000,hetero,367,911,0,' (' --d=1--> '1','9' --d=2--> '7',33,10,0.33218343,0.17161191,32,0.00320000
50006777,hetero,763,351,1,'9' --d=3--> '2','0' --d=1--> '9',33,13,0.31971610,0.43397617,42,0.00420000
39518809,hetero,603,75,1,' $' --d=1--> '1','0' --d=3--> '0',33,12,0.31687384,0.35393346,37,0.00370000
43715321,hetero,667,351,1,'5' --d=3--> '2','0' --d=1--> '9',33,6,0.31588167,0.33921372,33,0.00330000
76284073,hetero,1164,21,1,'\n\n' --d=3--> '1',"',' --d=1--> ' '",33,11,0.31558806,0.26692209,41,0.00410000
67569592,hetero,1031,247,0,'6' --d=2--> '2','0' --d=2--> '3',33,16,0.30491125,0.64161554,14,0.00140000
299171864,hetero,4565,3,0,"',' --d=1--> ' August'",' ' --d=1--> '1',33,6,0.30229909,0.33921372,37,0.00370000
1649313,hetero,25,1364,1,' ' --d=3--> '1','-' --d=2--> '5',33,8,0.30164527,0.05153164,14,0.00140000
269393,hetero,4,906,1,' in' --d=1--> ' the','1' --d=2--> 'th',33,16,0.29884811,0.64161554,45,0.00450000
51838977,hetero,791,0,1,' under' --d=1--> ' the',' of' --d=1--> ' the',33,9,0.29692643,0.06625139,39,0.00390000
1717817,hetero,26,1735,1,'0' --d=1--> '1',' at' --d=3--> ':',33,9,0.29133811,0.06625139,24,0.00240000
18880968,hetero,288,825,0,' in' --d=2--> '1','9' --d=1--> '2',33,8,0.28974554,0.05153164,36,0.00360000
38407937,hetero,586,480,1,'8' --d=2--> ' ','0' --d=2--> '9',33,5,0.28732500,0.52153527,37,0.00370000
52560753,hetero,802,110,1,'8' --d=3--> '2','1' --d=1--> '3',33,9,0.28727738,0.06625139,30,0.00300000
7406466,hetero,113,112,2,' to' --d=1--> ' get',' out' --d=1--> ' of',33,6,0.28538436,0.33921372,38,0.00380000
