centered_active_experts,centered_active_experts_ratio,centered_gini_load,centered_max_load,centered_routing_entropy,common_margin,common_winner_agreement,delta_active_experts,delta_max_load,dominance_ratio,gate_reconstruction_max_error,gate_weight_std,layer,lm_loss,model_seed,num_experts,raw_active_experts,raw_active_experts_ratio,raw_gini_load,raw_max_load,raw_routing_entropy,residual_margin,step,token_count,variant
8,1.0,0.07248222827911377,0.1549663543701172,0.9957801103591919,0.22573815286159515,0.36598682403564453,0,0.21102046966552734,0.921260017418697,0.0,0.020257946103811264,0,,0,8,8,1.0,0.4077019691467285,0.36598682403564453,0.8614068627357483,0.24503196556179319,0,2097152,normal
8,1.0,0.06554520130157471,0.1422581672668457,0.9963375926017761,0.029365643858909607,0.25419139862060547,0,0.11193323135375977,0.12991627363927297,0.0,0.020085640251636505,1,,0,8,8,1.0,0.29007720947265625,0.25419139862060547,0.9338400363922119,0.22603514583897777,0,2097152,normal
8,1.0,0.08092010021209717,0.14537763595581055,0.9947232007980347,0.31275689601898193,0.43079471588134766,0,0.2854170799255371,1.4008002362655243,0.0,0.020141582936048508,2,,0,8,8,1.0,0.45247673988342285,0.43079471588134766,0.8153420090675354,0.2232701622415334,0,2097152,normal
8,1.0,0.08607947826385498,0.16413021087646484,0.9934484958648682,0.08045519888401031,0.27244997024536133,0,0.10831975936889648,0.3552331852343642,0.0,0.019879065454006195,3,,0,8,8,1.0,0.3076876401901245,0.27244997024536133,0.9243545532226562,0.22648559376830235,0,2097152,normal
8,1.0,0.03903055191040039,0.15029573440551758,0.9984450340270996,0.17560437321662903,0.2869076728820801,0,0.1366119384765625,0.7399161718182706,0.0,0.020487409085035324,4,,0,8,8,1.0,0.2889453172683716,0.2869076728820801,0.9261310696601868,0.23733009211719036,0,2097152,normal
8,1.0,0.03948771953582764,0.1386866569519043,0.9986173510551453,0.19357463717460632,0.2796797752380371,0,0.1409931182861328,0.8270530395058406,0.0,0.0203376654535532,5,,0,8,8,1.0,0.2927817106246948,0.2796797752380371,0.9310333132743835,0.2340534741160809,0,2097152,normal
8,1.0,0.07204842567443848,0.1523914337158203,0.9956924319267273,0.14076730608940125,0.30218982696533203,0,0.14979839324951172,0.5747077335066835,0.0,0.02026110701262951,0,11.998552322387695,0,8,8,1.0,0.3753303289413452,0.30218982696533203,0.8859143257141113,0.24493720526515972,1,2097152,normal
8,1.0,0.07316172122955322,0.1465163230895996,0.9951871037483215,0.07310452312231064,0.2433910369873047,0,0.09687471389770508,0.3275272697245297,0.0,0.020080702379345894,1,11.998552322387695,0,8,8,1.0,0.2557382583618164,0.2433910369873047,0.9478853940963745,0.22320133277389687,1,2097152,normal
8,1.0,0.0822756290435791,0.15659570693969727,0.9949135780334473,0.2896924316883087,0.5277786254882812,0,0.371182918548584,1.328439619846744,0.0,0.020149683579802513,2,11.998552322387695,0,8,8,1.0,0.5517849922180176,0.5277786254882812,0.7246859073638916,0.2180697017465718,1,2097152,normal
8,1.0,0.11988437175750732,0.17332220077514648,0.9881811141967773,0.0013636350631713867,0.2479238510131836,0,0.10589981079101562,0.005933165711132425,0.0,0.01988733373582363,3,11.998552322387695,0,8,8,1.0,0.39710164070129395,0.2792220115661621,0.8719983100891113,0.2298326272284612,1,2097152,normal
8,1.0,0.08782649040222168,0.16755008697509766,0.9938222765922546,0.23507075011730194,0.3918461799621582,0,0.22429609298706055,1.0347661445964689,0.0,0.020482074469327927,4,11.998552322387695,0,8,8,1.0,0.4541749954223633,0.3918461799621582,0.830284059047699,0.2271728267733124,1,2097152,normal
8,1.0,0.12128698825836182,0.17426824569702148,0.9881867170333862,0.32344722747802734,0.45370960235595703,0,0.27944135665893555,1.3307164345900675,0.0,0.020340153947472572,5,11.998552322387695,0,8,8,1.0,0.5025055408477783,0.45370960235595703,0.7839404344558716,0.2430624730186537,1,2097152,normal
8,1.0,0.07288086414337158,0.15098190307617188,0.9955543875694275,0.050538480281829834,0.24857521057128906,0,0.09759330749511719,0.20896630408193728,0.0,0.020267421379685402,0,12.003191947937012,0,8,8,1.0,0.35819149017333984,0.24857521057128906,0.8924076557159424,0.24184990256617311,2,2097152,normal
8,1.0,0.09524226188659668,0.16430902481079102,0.9923890829086304,0.21650752425193787,0.5007953643798828,0,0.3364863395690918,1.0641966372491733,0.0,0.020080527290701866,1,12.003191947937012,0,8,8,1.0,0.5534235239028931,0.5007953643798828,0.7248361110687256,0.20344691636273637,2,2097152,normal
8,1.0,0.10161590576171875,0.15388822555541992,0.9920992255210876,0.007940053939819336,0.42168712615966797,0,0.26779890060424805,0.04135108805187327,0.0,0.02015763334929943,2,12.003191947937012,0,8,8,1.0,0.6307003498077393,0.42168712615966797,0.6282970905303955,0.19201559895736864,2,2097152,normal
8,1.0,0.14349853992462158,0.18918657302856445,0.9827355742454529,0.11011093854904175,0.4232044219970703,0,0.23401784896850586,0.5515619052540519,0.0,0.019898148253560066,3,12.003191947937012,0,8,8,1.0,0.571250319480896,0.4232044219970703,0.7217230796813965,0.19963477807323216,2,2097152,normal
8,1.0,0.13546371459960938,0.19249773025512695,0.985084056854248,0.3236789107322693,0.5964508056640625,0,0.40395307540893555,1.6926766907417063,0.0,0.02048415318131447,4,12.003191947937012,0,8,8,1.0,0.6401299238204956,0.5964508056640625,0.6228919625282288,0.19122311573300976,2,2097152,normal
8,1.0,0.23923146724700928,0.25678396224975586,0.9485077261924744,0.12708735466003418,0.47315120697021484,0,0.21636724472045898,0.5640489642882445,0.0,0.020341966301202774,5,12.003191947937012,0,8,8,1.0,0.6479064226150513,0.47315120697021484,0.5890830159187317,0.22531262834672816,2,2097152,normal
8,1.0,0.07244956493377686,0.1493358612060547,0.9955266118049622,0.014372378587722778,0.20930767059326172,0,0.062346458435058594,0.0606116969030409,0.0,0.020271973684430122,0,11.793728828430176,0,8,8,1.0,0.33916425704956055,0.21168231964111328,0.8935297131538391,0.23712219459412154,3,2097152,normal
8,1.0,0.11990070343017578,0.18986797332763672,0.9875335693359375,0.4308125972747803,0.760810375213623,0,0.5709424018859863,2.4161320293954915,0.0,0.02008361928164959,1,11.793728828430176,0,8,8,1.0,0.7335019111633301,0.760810375213623,0.43808072805404663,0.1783067282885895,3,2097152,normal
8,1.0,0.13079655170440674,0.1776585578918457,0.9869607090950012,0.19421619176864624,0.6643991470336914,0,0.4867405891418457,1.2369647531515027,0.0,0.020160427317023277,2,11.793728828430176,0,8,8,1.0,0.7317955493927002,0.6643991470336914,0.4863903224468231,0.15701028770126868,3,2097152,normal
8,1.0,0.18995928764343262,0.20128107070922852,0.9721408486366272,0.21603751182556152,0.6448774337768555,0,0.44359636306762695,1.3931318363623644,0.0,0.01990780420601368,3,11.793728828430176,0,8,8,1.0,0.7187294960021973,0.6448774337768555,0.507550060749054,0.1550732717369101,3,2097152,normal
8,1.0,0.15109121799468994,0.19049739837646484,0.9813780784606934,0.11691391468048096,0.5098757743835449,0,0.3193783760070801,0.8210715986962213,0.0,0.020487109199166298,4,11.793728828430176,0,8,8,1.0,0.6588066816329956,0.5098757743835449,0.6058555245399475,0.14239186310442165,3,2097152,normal
8,1.0,0.31829631328582764,0.3094630241394043,0.9051179885864258,0.21021270751953125,0.6336369514465332,0,0.3241739273071289,1.1655788769716258,0.0,0.020345477387309074,5,11.793728828430176,0,8,8,1.0,0.7404791116714478,0.6336369514465332,0.4461140036582947,0.18035047792363912,3,2097152,normal
8,1.0,0.07391202449798584,0.14836788177490234,0.9952964186668396,0.01359984278678894,0.23166370391845703,0,0.08329582214355469,0.06004779320090089,0.0,0.02029053121805191,0,11.428421020507812,0,8,8,1.0,0.3584291934967041,0.23166370391845703,0.8744012713432312,0.2264836401445791,5,2097152,normal
8,1.0,0.13784360885620117,0.2137894630432129,0.9813725352287292,0.6383557319641113,0.9287986755371094,0,0.7150092124938965,4.841893837378909,0.0,0.020094698294997215,1,11.428421020507812,0,8,8,1.0,0.8280856609344482,0.9287986755371094,0.17946366965770721,0.13184009261749452,5,2097152,normal
8,1.0,0.16923761367797852,0.20316553115844727,0.9776887893676758,0.47587645053863525,0.9272575378417969,0,0.7240920066833496,4.886087774814112,0.0,0.02017582394182682,2,11.428421020507812,0,8,8,1.0,0.8326961994171143,0.9272575378417969,0.17945964634418488,0.09739416737284046,5,2097152,normal
8,1.0,0.26039278507232666,0.25155019760131836,0.9479101300239563,0.5714231729507446,0.950408935546875,0,0.6988587379455566,6.640719013997284,0.0,0.01992214098572731,3,11.428421020507812,0,8,8,1.0,0.8444256782531738,0.950408935546875,0.1324416548013687,0.08604838899918832,5,2097152,normal
8,1.0,0.19172072410583496,0.2128891944885254,0.9690190553665161,0.23530489206314087,0.8921957015991211,0,0.6793065071105957,3.2230350231656426,0.0,0.020496554672718048,4,11.428421020507812,0,8,8,1.0,0.823399543762207,0.8921957015991211,0.22859357297420502,0.07300724018568872,5,2097152,normal
8,1.0,0.41169989109039307,0.38486433029174805,0.8402360677719116,0.45984888076782227,0.9175739288330078,0,0.5327095985412598,4.7326200923191575,0.0,0.02035575918853283,5,11.428421020507812,0,8,8,1.0,0.8402860164642334,0.9175739288330078,0.17528989911079407,0.09716581339671393,5,2097152,normal
8,1.0,0.08780479431152344,0.15436267852783203,0.9935728907585144,0.02487945556640625,0.25858402252197266,0,0.10422134399414062,0.12269958306606067,0.0,0.020345114171504974,0,10.723121643066406,0,8,8,1.0,0.42129313945770264,0.25858402252197266,0.8265531659126282,0.20276723803544883,10,2097152,normal
8,1.0,0.12748420238494873,0.1673126220703125,0.9877974987030029,0.07109087705612183,0.6397309303283691,0,0.47241830825805664,0.9544817921806545,0.0,0.020117929205298424,1,10.723121643066406,0,8,8,1.0,0.7647631168365479,0.6397309303283691,0.40200087428092957,0.0744811243530421,10,2097152,normal
8,1.0,0.21247458457946777,0.2200183868408203,0.9645629525184631,0.12602734565734863,0.8406143188476562,0,0.6205959320068359,2.613059494449231,0.0,0.02019333280622959,2,10.723121643066406,0,8,8,1.0,0.8250206708908081,0.8406143188476562,0.25048622488975525,0.04822980338758498,10,2097152,normal
8,1.0,0.25298237800598145,0.2129983901977539,0.9486797451972961,0.44110730290412903,0.9857158660888672,0,0.7727174758911133,11.048510913926158,0.0,0.01993696205317974,3,10.723121643066406,0,8,8,1.0,0.865818977355957,0.9857158660888672,0.04737896844744682,0.03992459312758001,10,2097152,normal
