model_seed,step,layer,primary_secondary_cos,primary_winner,secondary_winner,winner_agree,primary_margin,secondary_margin,margin_abs_diff,primary_norm,secondary_norm,norm_abs_diff
0,0,0,0.9844598174095154,6,6,1,0.19507569074630737,0.2799074053764343,0.08483171463012695,8.577649116516113,8.683905601501465,0.10625648498535156
0,0,1,0.9852584004402161,7,7,1,0.033783599734306335,0.019521042704582214,0.014262557029724121,10.880565643310547,11.041271209716797,0.16070556640625
0,0,2,0.9851247072219849,7,7,1,0.3174266815185547,0.30889683961868286,0.008529841899871826,10.32124137878418,10.497832298278809,0.1765909194946289
0,0,3,0.9840507507324219,1,1,1,0.10319304466247559,0.06391431391239166,0.03927873075008392,9.5359525680542,9.681192398071289,0.14523983001708984
0,0,4,0.9838230013847351,6,6,1,0.18620018661022186,0.14614316821098328,0.040057018399238586,9.097200393676758,9.260395050048828,0.1631946563720703
0,0,5,0.9836615920066833,3,3,1,0.19851773977279663,0.2265263795852661,0.028008639812469482,8.699682235717773,8.831191062927246,0.13150882720947266
0,10,0,0.9970695972442627,2,4,0,0.051928550004959106,0.03212249279022217,0.01980605721473694,14.936762809753418,14.898897171020508,0.037865638732910156
0,10,1,0.9996875524520874,5,5,1,0.07580631971359253,0.0881805419921875,0.01237422227859497,21.309162139892578,21.31013298034668,0.0009708404541015625
0,10,2,0.9998996257781982,7,7,1,0.11944586038589478,0.12010461091995239,0.0006587505340576172,21.91185188293457,21.940467834472656,0.028615951538085938
0,10,3,0.9999463558197021,2,2,1,0.4449484348297119,0.4498983919620514,0.0049499571323394775,22.07425308227539,22.118671417236328,0.0444183349609375
0,10,4,0.9999664425849915,1,1,1,0.7137305736541748,0.7171268463134766,0.003396272659301758,22.141489028930664,22.19650650024414,0.05501747131347656
0,10,5,0.9999761581420898,6,6,1,1.166936993598938,1.1740305423736572,0.007093548774719238,22.18043327331543,22.240007400512695,0.059574127197265625
0,300,0,0.9975042343139648,4,4,1,0.313809871673584,0.28680717945098877,0.027002692222595215,10.119438171386719,10.566156387329102,0.4467182159423828
0,300,1,0.9992612600326538,6,6,1,3.4118757247924805,3.434783697128296,0.02290797233581543,12.69753360748291,12.737615585327148,0.04008197784423828
0,300,2,0.9995141625404358,1,1,1,0.027818500995635986,0.01104801893234253,0.016770482063293457,13.398167610168457,13.394457817077637,0.0037097930908203125
0,300,3,0.9995203018188477,5,5,1,0.09500634670257568,0.08557629585266113,0.00943005084991455,13.602514266967773,13.59807014465332,0.004444122314453125
0,300,4,0.9995318651199341,4,4,1,0.07818436622619629,0.07630884647369385,0.0018755197525024414,13.970073699951172,13.957022666931152,0.013051033020019531
0,300,5,0.9995418190956116,2,2,1,0.11903566122055054,0.15571004152297974,0.0366743803024292,14.37171459197998,14.349137306213379,0.022577285766601562
1,0,0,0.984388530254364,2,2,1,0.04069210961461067,0.08591395616531372,0.04522184655070305,7.854340076446533,7.810136318206787,0.044203758239746094
1,0,1,0.9782711267471313,6,7,0,0.06556281447410583,0.031523287296295166,0.03403952717781067,9.27073860168457,9.229111671447754,0.041626930236816406
1,0,2,0.9785325527191162,0,0,1,0.053197234869003296,0.07956432551145554,0.02636709064245224,8.551575660705566,8.565845489501953,0.014269828796386719
1,0,3,0.9746230244636536,5,5,1,0.020452499389648438,0.027927756309509277,0.00747525691986084,7.901728630065918,7.981007099151611,0.07927846908569336
1,0,4,0.9725960493087769,1,1,1,0.0797305554151535,0.03684031963348389,0.04289023578166962,7.504680156707764,7.645600318908691,0.14092016220092773
1,0,5,0.9701367616653442,3,3,1,0.20379424095153809,0.1217302456498146,0.08206399530172348,7.124996185302734,7.315801620483398,0.19080543518066406
1,10,0,0.9974414110183716,1,1,1,0.028657853603363037,0.006378531455993652,0.022279322147369385,14.465110778808594,14.40930461883545,0.05580615997314453
1,10,1,0.9997338652610779,6,6,1,0.7046867609024048,0.6892622709274292,0.015424489974975586,21.159894943237305,21.182449340820312,0.022554397583007812
1,10,2,0.9999061822891235,7,7,1,0.25925666093826294,0.2520185112953186,0.007238149642944336,21.844484329223633,21.900249481201172,0.05576515197753906
1,10,3,0.9999473094940186,7,7,1,0.9608852863311768,0.9615554213523865,0.0006701350212097168,22.030412673950195,22.1021785736084,0.07176589965820312
1,10,4,0.9999643564224243,3,3,1,1.1560660600662231,1.1567331552505493,0.0006670951843261719,22.107553482055664,22.186044692993164,0.0784912109375
1,10,5,0.9999758005142212,5,5,1,1.9287497997283936,1.9342023134231567,0.005452513694763184,22.153898239135742,22.234989166259766,0.08109092712402344
1,300,0,0.9985417723655701,2,2,1,4.189497947692871,4.325436592102051,0.1359386444091797,10.706274032592773,10.89824104309082,0.19196701049804688
1,300,1,0.9994869232177734,3,3,1,1.370473861694336,1.4592455625534058,0.08877170085906982,12.526923179626465,12.682857513427734,0.15593433380126953
1,300,2,0.9995030164718628,1,1,1,0.038416147232055664,0.04260540008544922,0.004189252853393555,12.96505355834961,13.069775581359863,0.1047220230102539
1,300,3,0.9994934797286987,1,1,1,0.0389862060546875,0.03622841835021973,0.0027577877044677734,13.242188453674316,13.340808868408203,0.09862041473388672
1,300,4,0.9994518756866455,6,6,1,0.3430238366127014,0.3433942496776581,0.00037041306495666504,13.570067405700684,13.645318984985352,0.07525157928466797
1,300,5,0.9994660019874573,6,6,1,0.0831148624420166,0.09269917011260986,0.009584307670593262,14.056313514709473,14.096548080444336,0.04023456573486328
2,0,0,0.9879719018936157,4,4,1,0.1876852959394455,0.23556667566299438,0.04788137972354889,8.768716812133789,9.098909378051758,0.33019256591796875
2,0,1,0.9839345216751099,4,4,1,0.06942512840032578,0.03345257043838501,0.035972557961940765,10.858207702636719,11.27285099029541,0.4146432876586914
2,0,2,0.9825249314308167,2,2,1,0.012910768389701843,0.05490732192993164,0.0419965535402298,9.647687911987305,10.229986190795898,0.5822982788085938
2,0,3,0.9837484359741211,6,6,1,0.07863940298557281,0.1251235008239746,0.046484097838401794,9.293920516967773,9.933740615844727,0.6398200988769531
2,0,4,0.9792668223381042,3,3,1,0.23279491066932678,0.18004503846168518,0.0527498722076416,8.318428993225098,9.006074905395508,0.6876459121704102
2,0,5,0.9789121150970459,4,4,1,0.050142548978328705,0.09043975174427032,0.04029720276594162,8.11918830871582,8.83639144897461,0.7172031402587891
2,10,0,0.997962236404419,0,0,1,0.23637747764587402,0.2145962119102478,0.02178126573562622,15.433441162109375,15.547597885131836,0.11415672302246094
2,10,1,0.9997737407684326,0,0,1,0.308278888463974,0.3132057785987854,0.004926890134811401,21.443708419799805,21.493635177612305,0.0499267578125
2,10,2,0.9999057054519653,5,5,1,0.3240111470222473,0.3328559696674347,0.008844822645187378,21.923995971679688,21.99834632873535,0.07435035705566406
2,10,3,0.9999492168426514,6,6,1,0.6641187071800232,0.6702218055725098,0.006103098392486572,22.06683349609375,22.155412673950195,0.08857917785644531
2,10,4,0.9999697804450989,0,0,1,0.9967764616012573,1.0107574462890625,0.013980984687805176,22.141477584838867,22.240293502807617,0.09881591796875
2,10,5,0.9999801516532898,7,7,1,1.1751017570495605,1.1851556301116943,0.010053873062133789,22.176193237304688,22.28217124938965,0.10597801208496094
2,300,0,0.997779130935669,4,4,1,3.098184823989868,3.2569758892059326,0.15879106521606445,11.067818641662598,11.217388153076172,0.14956951141357422
2,300,1,0.9993749260902405,3,3,1,0.10432237386703491,0.11316698789596558,0.008844614028930664,12.780041694641113,12.7648344039917,0.015207290649414062
2,300,2,0.999333381652832,5,5,1,0.23287278413772583,0.18231096863746643,0.0505618155002594,12.961328506469727,12.958418846130371,0.0029096603393554688
2,300,3,0.9992894530296326,5,5,1,0.11664247512817383,0.1299370527267456,0.013294577598571777,13.065314292907715,13.067277908325195,0.0019636154174804688
2,300,4,0.9993101954460144,2,2,1,0.22421777248382568,0.22695541381835938,0.0027376413345336914,13.421222686767578,13.406851768493652,0.014370918273925781
2,300,5,0.999382734298706,1,1,1,0.04273611307144165,0.046280622482299805,0.0035445094108581543,13.974732398986816,13.946548461914062,0.028183937072753906
