centered_active_experts,centered_active_experts_ratio,centered_effective_experts,centered_gini_load,centered_max_load,centered_routing_entropy,common_margin,common_winner_agreement,delta_max_load,dominance_ratio,gate_reconstruction_max_error,hidden_checkpoint_token_count,layer,log_dominance_ratio,model_seed,raw_active_experts,raw_active_experts_ratio,raw_effective_experts,raw_gini_load,raw_max_load,raw_routing_entropy,replay_a_step,replay_b_step,residual_margin,token_count,variant
8,1.0,7.930107116699219,0.07248222827911377,0.1549663543701172,0.9957801103591919,0.22573815286159515,0.36598682403564453,0.21102046966552734,0.921260017418697,0.0,2097152,0,-0.08201295832509636,0,8,1.0,5.996915340423584,0.4077019691467285,0.36598682403564453,0.8614068627357483,0,0,0.24503196556179319,2097152,normal
8,1.0,7.939304828643799,0.06554520130157471,0.1422581672668457,0.9963375926017761,0.029365643858909607,0.25419139862060547,0.11193323135375977,0.12991627363927297,0.0,2097152,1,-2.040864788650799,0,8,1.0,6.971746921539307,0.29007720947265625,0.25419139862060547,0.9338400363922119,0,0,0.22603514583897777,2097152,normal
8,1.0,7.912697792053223,0.08092010021209717,0.14537763595581055,0.9947232007980347,0.31275689601898193,0.43079471588134766,0.2854170799255371,1.4008002362655243,0.0,2097152,2,0.3370436578391276,0,8,1.0,5.449130535125732,0.45247673988342285,0.43079471588134766,0.8153420090675354,0,0,0.2232701622415334,2097152,normal
8,1.0,7.891751289367676,0.08607947826385498,0.16413021087646484,0.9934484958648682,0.08045519888401031,0.27244997024536133,0.10831975936889648,0.3552331852343642,0.0,2097152,3,-1.0349807651897447,0,8,1.0,6.835579872131348,0.3076876401901245,0.27244997024536133,0.9243545532226562,0,0,0.22648559376830235,2097152,normal
8,1.0,7.974174499511719,0.03903055191040039,0.15029573440551758,0.9984450340270996,0.17560437321662903,0.2869076728820801,0.1366119384765625,0.7399161718182706,0.0,2097152,4,-0.30121836571661453,0,8,1.0,6.860877513885498,0.2889453172683716,0.2869076728820801,0.9261310696601868,0,0,0.23733009211719036,2097152,normal
8,1.0,7.97703218460083,0.03948771953582764,0.1386866569519043,0.9986173510551453,0.19357463717460632,0.2796797752380371,0.1409931182861328,0.8270530395058406,0.0,2097152,5,-0.1898864422488855,0,8,1.0,6.9311747550964355,0.2927817106246948,0.2796797752380371,0.9310333132743835,0,0,0.2340534741160809,2097152,normal
8,1.0,7.925869464874268,0.07438719272613525,0.15552568435668945,0.9955230355262756,0.2385461926460266,0.3725776672363281,0.21705198287963867,0.9719507498477126,,2097152,0,-0.028450143510521775,0,8,1.0,5.902299404144287,0.41833317279815674,0.3725776672363281,0.8537590503692627,1,0,0.24543032934889197,2097152,normal
8,1.0,7.933010101318359,0.06737792491912842,0.14190959930419922,0.9959561228752136,0.09285831451416016,0.27753639221191406,0.13562679290771484,0.41129224501738204,,2097152,1,-0.8884511953332337,0,8,1.0,6.997739315032959,0.27763915061950684,0.27753639221191406,0.935629665851593,1,0,0.22577210156305227,2097152,normal
8,1.0,7.902895927429199,0.08693790435791016,0.14938879013061523,0.9941271543502808,0.37442952394485474,0.46906566619873047,0.31967687606811523,1.6667295930380384,,2097152,2,0.5108633610695369,0,8,1.0,5.122775077819824,0.48083698749542236,0.46906566619873047,0.7856418490409851,1,0,0.22464923255029134,2097152,normal
8,1.0,7.880988597869873,0.0904688835144043,0.16805791854858398,0.9927921891212463,0.12192042171955109,0.30118894577026367,0.1331310272216797,0.5357517786479908,,2097152,3,-0.6240842866344054,0,8,1.0,6.645742893218994,0.3293684720993042,0.30118894577026367,0.910810112953186,1,0,0.2275688603913295,2097152,normal
8,1.0,7.973569869995117,0.04098010063171387,0.1498122215270996,0.9984086155891418,0.15207350254058838,0.2636260986328125,0.11381387710571289,0.6426388239584641,,2097152,4,-0.4421723936350992,0,8,1.0,6.976120471954346,0.27789974212646484,0.2636260986328125,0.9341416358947754,1,0,0.23663914608187042,2097152,normal
8,1.0,7.976615905761719,0.04054546356201172,0.1384420394897461,0.9985922574996948,0.18003696203231812,0.2802157402038574,0.14177370071411133,0.7683253207703297,,2097152,5,-0.2635420279041889,0,8,1.0,6.893056392669678,0.3008391857147217,0.2802157402038574,0.9283812642097473,1,0,0.23432386928470805,2097152,normal
8,1.0,7.9216227531433105,0.07647705078125,0.15650081634521484,0.9952653050422668,0.24917611479759216,0.38116979598999023,0.2246689796447754,1.01260550153033,,2097152,0,0.012526713106627785,0,8,1.0,5.807315826416016,0.42912209033966064,0.38116979598999023,0.8459571599960327,2,0,0.24607422576809768,2097152,normal
8,1.0,7.928502082824707,0.06842672824859619,0.14203977584838867,0.9956827759742737,0.12798632681369781,0.27639150619506836,0.1343517303466797,0.566600560025273,,2097152,1,-0.5681006693270871,0,8,1.0,7.056515216827393,0.26129353046417236,0.27639150619506836,0.9396519660949707,2,0,0.2258845752076013,2097152,normal
8,1.0,7.896691799163818,0.09056460857391357,0.1527414321899414,0.9937494397163391,0.402272492647171,0.49094486236572266,0.33820343017578125,1.7811590626104503,,2097152,2,0.5772642917433709,0,8,1.0,4.936542510986328,0.49719250202178955,0.49094486236572266,0.7678336501121521,2,0,0.22584871901199222,2097152,normal
8,1.0,7.873765468597412,0.09263300895690918,0.17153644561767578,0.992351233959198,0.14076800644397736,0.31988954544067383,0.14835309982299805,0.6166991287618577,,2097152,3,-0.4833739824986736,0,8,1.0,6.495721340179443,0.34684228897094727,0.31988954544067383,0.8998299241065979,2,0,0.2282604269712465,2097152,normal
8,1.0,7.970599174499512,0.04427826404571533,0.1500244140625,0.9982293844223022,0.11280424892902374,0.24988985061645508,0.09986543655395508,0.4764434786595628,,2097152,4,-0.7414061342240879,0,8,1.0,7.009407997131348,0.27403807640075684,0.24988985061645508,0.9364308714866638,2,0,0.23676312927273102,2097152,normal
8,1.0,7.976071834564209,0.041753172874450684,0.13843107223510742,0.9985594749450684,0.17632819712162018,0.28414297103881836,0.14571189880371094,0.7509064679237435,,2097152,5,-0.2864741642246471,0,8,1.0,6.843052864074707,0.3089301586151123,0.28414297103881836,0.9248800277709961,2,0,0.2348204532172531,2097152,normal
8,1.0,7.9191694259643555,0.07750248908996582,0.15715360641479492,0.9951163530349731,0.25818508863449097,0.3867359161376953,0.2295823097229004,1.0470466194282098,,2097152,0,0.04597345574941958,0,8,1.0,5.755167484283447,0.4344298839569092,0.3867359161376953,0.8416193127632141,3,0,0.24658413851284422,2097152,normal
8,1.0,7.9274396896362305,0.06739592552185059,0.14240789413452148,0.9956183433532715,0.13512763381004333,0.27732181549072266,0.13491392135620117,0.5973962611470661,,2097152,1,-0.5151746019672883,0,8,1.0,7.051797866821289,0.2602924108505249,0.27732181549072266,0.9393303394317627,3,0,0.2261943078628974,2097152,normal
8,1.0,7.89077091217041,0.09355604648590088,0.1548480987548828,0.9933887720108032,0.4123096466064453,0.5014123916625977,0.34656429290771484,1.8192656136118888,,2097152,2,0.5984328907824293,0,8,1.0,4.835452556610107,0.5079669952392578,0.5014123916625977,0.757883608341217,3,0,0.22663521122012753,2097152,normal
8,1.0,7.864983081817627,0.09519565105438232,0.17457294464111328,0.9918145537376404,0.15813642740249634,0.3361039161682129,0.1615309715270996,0.6909501153156022,,2097152,3,-0.36968763029513463,0,8,1.0,6.367929458618164,0.36164331436157227,0.3361039161682129,0.8902747631072998,3,0,0.22886808164184913,2097152,normal
8,1.0,7.968334197998047,0.046980977058410645,0.15042352676391602,0.9980927109718323,0.09040626883506775,0.24533462524414062,0.09491109848022461,0.3812692104465224,,2097152,4,-0.9642494958345786,0,8,1.0,6.992080211639404,0.27960288524627686,0.24533462524414062,0.9352405667304993,3,0,0.23711924896633718,2097152,normal
8,1.0,7.976132869720459,0.0421980619430542,0.13832521438598633,0.9985631704330444,0.1805153489112854,0.29430150985717773,0.1559762954711914,0.767016451259763,,2097152,5,-0.26524701609900037,0,8,1.0,6.748720169067383,0.3220890760421753,0.29430150985717773,0.918204665184021,3,0,0.23534742783522233,2097152,normal
8,1.0,7.915371894836426,0.0791327953338623,0.15851736068725586,0.9948856830596924,0.2807103991508484,0.39954042434692383,0.24102306365966797,1.1326553967539545,,2097152,0,0.12456477991292059,0,8,1.0,5.653501510620117,0.4452575445175171,0.39954042434692383,0.8330482244491577,5,0,0.24783389542426448,2097152,normal
8,1.0,7.9275288581848145,0.06354176998138428,0.1419816017150879,0.9956237077713013,0.09455573558807373,0.2698326110839844,0.12785100936889648,0.416655688510098,,2097152,1,-0.8754950235836023,0,8,1.0,7.0172600746154785,0.27306175231933594,0.2698326110839844,0.9369692802429199,5,0,0.2269397447234951,2097152,normal
8,1.0,7.879718780517578,0.09875988960266113,0.15964269638061523,0.9927147030830383,0.437990665435791,0.5221762657165527,0.3625335693359375,1.920322219383489,,2097152,2,0.652492973542251,0,8,1.0,4.648722171783447,0.525958776473999,0.5221762657165527,0.7389447093009949,5,0,0.22808186095790006,2097152,normal
8,1.0,7.851820945739746,0.09901320934295654,0.17891263961791992,0.9910091161727905,0.18749859929084778,0.35616302490234375,0.17725038528442383,0.8157455586642058,,2097152,3,-0.2036527781780646,0,8,1.0,6.194468975067139,0.38383400440216064,0.35616302490234375,0.8769935369491577,5,0,0.22984936577267945,2097152,normal
8,1.0,7.958178520202637,0.05469512939453125,0.15415430068969727,0.9974794387817383,0.053647175431251526,0.2370738983154297,0.08291959762573242,0.22449708728935094,,2097152,4,-1.4938924015401058,0,8,1.0,6.9243035316467285,0.29309797286987305,0.2370738983154297,0.9305563569068909,5,0,0.23896601991145872,2097152,normal
