model_seed,step,set_name,layer,num_splits,seqs_per_split,tokens_per_split,cos_to_global_mean,cos_to_global_min,pairwise_cos_mean,pairwise_cos_min,pairwise_cos_median,winner_match_global_rate,pairwise_same_winner_rate,unique_common_winners,margin_mean,margin_std,margin_cv,norm_mean,norm_std,norm_cv
0,0,primary,0,8,128,32768,0.9869880825281143,0.9784486889839172,0.9704551420041493,0.9474422931671143,0.9700930714607239,1.0,1.0,1,0.19507568888366222,0.0477598168009862,0.24482710825882992,8.691092848777771,0.2187648117745245,0.025171151152215503
0,0,primary,1,8,128,32768,0.9839210286736488,0.97606360912323,0.9635468295642308,0.9366426467895508,0.9623537063598633,0.75,0.5714285714285714,2,0.04293267801403999,0.025850082674987954,0.6021073893069138,11.058860778808594,0.2604683015713238,0.023552905383386592
0,0,primary,2,8,128,32768,0.9807442501187325,0.973811149597168,0.9564168623515538,0.932285487651825,0.957389235496521,1.0,1.0,1,0.30854093469679356,0.04706601516853787,0.1525438276603075,10.524431347846985,0.2933984176276292,0.027877840420105035
0,0,primary,3,8,128,32768,0.9771829396486282,0.9698960185050964,0.9484507249934333,0.9200810790061951,0.9494481980800629,1.0,1.0,1,0.0845491774380207,0.05733624762094519,0.6781408093884281,9.759069919586182,0.29327035119030337,0.03005105543938341
0,0,primary,4,8,128,32768,0.9755364134907722,0.9667415618896484,0.9447765052318573,0.9117392301559448,0.9461382329463959,1.0,1.0,1,0.15897227823734283,0.02340032711181753,0.14719753262189053,9.325632452964783,0.2681995421140238,0.028759394439650948
0,0,primary,5,8,128,32768,0.9734448939561844,0.9631025791168213,0.9401217401027679,0.9031836986541748,0.9405483901500702,1.0,1.0,1,0.1872953362762928,0.044631659840685234,0.23829562832704956,8.937170267105103,0.30069312908106716,0.033645227750423806
0,0,secondary,0,8,128,32768,0.9618111699819565,0.8803015351295471,0.9151477707283837,0.7577018141746521,0.9467057883739471,1.0,1.0,1,0.2248398344963789,0.07519672853899126,0.334445756497843,9.064695000648499,1.1897005268874246,0.1312455109413292
0,0,secondary,1,8,128,32768,0.9630191847681999,0.8891968727111816,0.9175594917365483,0.7776472568511963,0.9433870017528534,0.375,0.25,3,0.06254219822585583,0.046634643411715616,0.7456508522982519,11.501686692237854,1.3202875248816945,0.11479077462375299
0,0,secondary,2,8,128,32768,0.9602178558707237,0.8819150328636169,0.9115032809121268,0.7657065391540527,0.9371405243873596,1.0,1.0,1,0.2963774837553501,0.05924171082740095,0.19988600374346602,10.971253275871277,1.3492291604269717,0.12297858107006679
0,0,secondary,3,8,128,32768,0.9546145349740982,0.8640638589859009,0.8993803092411586,0.7326279878616333,0.9268864393234253,0.75,0.5714285714285714,2,0.06550945155322552,0.04304757647524135,0.6571200865613384,10.185024619102478,1.3043890054111216,0.1280693031379306
0,0,secondary,4,8,128,32768,0.9552833884954453,0.8769212961196899,0.9008541383913585,0.7508676052093506,0.9245423674583435,1.0,1.0,1,0.1410721205174923,0.05221575359805737,0.37013517204189794,9.730911493301392,1.2905245231280356,0.13262113461995956
0,0,secondary,5,8,128,32768,0.9519639983773232,0.8681138157844543,0.8935902523142951,0.7374697923660278,0.9191319346427917,1.0,1.0,1,0.19054634682834148,0.03843666420237151,0.2017181900474752,9.313250064849854,1.1914084760653678,0.1279261769811155
0,10,primary,0,8,128,32768,0.9973837584257126,0.9955826997756958,0.9940280573708671,0.9892513155937195,0.9940780997276306,1.0,1.0,1,0.04163416847586632,0.02304416420332152,0.5534916403261256,14.975944638252258,0.23683533031109794,0.015814383401642797
0,10,primary,1,8,128,32768,0.9996450617909431,0.9994306564331055,0.9991888254880905,0.9986723065376282,0.9991890490055084,1.0,1.0,1,0.07580621540546417,0.019699819607008028,0.2598707705118867,21.316723585128784,0.16777529247695505,0.007870594737832992
0,10,primary,2,8,128,32768,0.9998466745018959,0.999747633934021,0.9996497418199267,0.9994052648544312,0.9996504783630371,1.0,1.0,1,0.11944587528705597,0.012362247570084072,0.10349664683166951,21.915207147598267,0.1488783010777362,0.006793378683351943
0,10,primary,3,8,128,32768,0.9999092593789101,0.9998422861099243,0.9997926503419876,0.9996257424354553,0.9997974336147308,1.0,1.0,1,0.4449485167860985,0.011773557678533822,0.026460494269258936,22.076256275177002,0.1446536137196816,0.006552452187390718
0,10,primary,4,8,128,32768,0.9999392479658127,0.9998920559883118,0.9998610892466137,0.9997480511665344,0.999867707490921,1.0,1.0,1,0.7137305960059166,0.009570352659859723,0.013408914670908108,22.14283275604248,0.14414540757516886,0.006509799769671905
0,10,primary,5,8,128,32768,0.999955877661705,0.9999210834503174,0.9998991787433624,0.9998158812522888,0.9999053776264191,1.0,1.0,1,1.1669371277093887,0.016909292723688883,0.014490320277049178,22.181410789489746,0.14435598670170005,0.006507971385215069
0,10,secondary,0,8,128,32768,0.9910879135131836,0.9661250114440918,0.9797396574701581,0.9381228685379028,0.9885206520557404,0.375,0.4642857142857143,2,0.04323689639568329,0.04169246656148883,0.9642798174026975,15.038296580314636,0.6322946790643059,0.04204563167692739
0,10,secondary,1,8,128,32768,0.9989302307367325,0.996319591999054,0.9975561052560806,0.9932506084442139,0.998295247554779,1.0,1.0,1,0.08818051218986511,0.043464599031305576,0.49290481481577414,21.333029985427856,0.13435547263237596,0.006298002333665276
0,10,secondary,2,8,128,32768,0.9995700940489769,0.9984777569770813,0.9990176132747105,0.9972562193870544,0.9993451535701752,1.0,1.0,1,0.12010461837053299,0.015217874365042537,0.12670515565100168,21.94992160797119,0.07971788668852678,0.00363180735276872
0,10,secondary,3,8,128,32768,0.9997547268867493,0.999146044254303,0.9994394992079053,0.998347282409668,0.9996349215507507,1.0,1.0,1,0.4498983807861805,0.020598488662586303,0.04578475838608536,22.124104976654053,0.06370103102483055,0.0028792591199530817
0,10,secondary,4,8,128,32768,0.999839298427105,0.9994500279426575,0.9996327119214194,0.9988908767700195,0.9997552335262299,1.0,1.0,1,0.7171267792582512,0.009134016199573994,0.012736961530040227,22.20008111000061,0.057342555549856115,0.0025829885605248826
0,10,secondary,5,8,128,32768,0.9998859167098999,0.9996118545532227,0.9997393935918808,0.9992035031318665,0.999828040599823,1.0,1.0,1,1.174030527472496,0.026195368667922284,0.02231234031394125,22.24254822731018,0.05487295593517771,0.0024670265013881265
0,300,primary,0,8,128,32768,0.9952818751335144,0.988207221031189,0.9892467260360718,0.9592733383178711,0.9912453591823578,1.0,1.0,1,0.31380996108055115,0.13349483322088712,0.42540024147487354,10.167824268341064,0.31224715026682937,0.03070933781173366
0,300,primary,1,8,128,32768,0.9977832287549973,0.9922974109649658,0.9949393719434738,0.9762611985206604,0.9966620206832886,1.0,1.0,1,3.411876082420349,0.09675724222351553,0.02835895556759991,12.725952863693237,0.17172827770734178,0.013494335516303649
0,300,primary,2,8,128,32768,0.9984648898243904,0.9947048425674438,0.9964941676173892,0.9827667474746704,0.997933566570282,1.0,1.0,1,0.02781853824853897,0.012989123150219354,0.4669232809492261,13.418915748596191,0.169591069080009,0.012638209543699583
0,300,primary,3,8,128,32768,0.9984844997525215,0.9946759939193726,0.9965389221906662,0.9829752445220947,0.9980092942714691,1.0,1.0,1,0.09500641375780106,0.013623514052722841,0.14339572997095898,13.623303771018982,0.16108906703235307,0.011824522871980568
0,300,primary,4,8,128,32768,0.9985489696264267,0.9948091506958008,0.9966859668493271,0.983612060546875,0.9981496930122375,1.0,1.0,1,0.07818438112735748,0.03232476145115578,0.41344269769815994,13.990505337715149,0.14921754089404732,0.010665629102888194
0,300,primary,5,8,128,32768,0.998590350151062,0.9948598146438599,0.9967803742204394,0.9840599298477173,0.9982224702835083,1.0,1.0,1,0.1190355122089386,0.02011449479119591,0.16897894097258714,14.392122030258179,0.13208684261480513,0.009177718361274598
0,300,secondary,0,8,128,32768,0.9906296879053116,0.9730364084243774,0.9786893214498248,0.9328784942626953,0.9837661683559418,0.875,0.75,2,0.2784980982542038,0.19602158743952847,0.7038525170129043,10.666268229484558,0.3625108420586429,0.03398666096325623
0,300,secondary,1,8,128,32768,0.9956048354506493,0.9858838319778442,0.9899775981903076,0.9616011381149292,0.99216228723526,1.0,1.0,1,3.434783786535263,0.19721149511543498,0.05741598521820387,12.793472647666931,0.2827392339412151,0.022100272672469154
0,300,secondary,2,8,128,32768,0.9963347539305687,0.9887126088142395,0.9916406657014575,0.9715946316719055,0.9934948682785034,0.75,0.5714285714285714,2,0.03873196989297867,0.029185957817110673,0.7535366235633035,13.443028330802917,0.42435092090284354,0.031566616573328175
0,300,secondary,3,8,128,32768,0.9964888617396355,0.9890414476394653,0.9919912368059158,0.9721865653991699,0.9937792420387268,1.0,1.0,1,0.08557628095149994,0.01816091959422431,0.21221907977652066,13.645379662513733,0.40930213912793145,0.02999565781612927
0,300,secondary,4,8,128,32768,0.9967124685645103,0.9896056056022644,0.9924999518053872,0.9735139608383179,0.994165450334549,1.0,1.0,1,0.07396542280912399,0.03784952386095447,0.5117191577290023,14.00254774093628,0.3996821337627413,0.028543529446021842
0,300,secondary,5,8,128,32768,0.9968933016061783,0.9900926351547241,0.9929115218775613,0.9744744300842285,0.9944465160369873,1.0,1.0,1,0.1517484188079834,0.039872889388328864,0.26275653941925076,14.393449068069458,0.38492400327603027,0.02674299964210446
1,0,primary,0,8,128,32768,0.9847406297922134,0.9776642322540283,0.9653927939278739,0.94724440574646,0.9657882750034332,0.75,0.5357142857142857,3,0.0394488493911922,0.02303133700876647,0.5838278521225694,7.97633159160614,0.2399579753796983,0.030083751236247135
1,0,primary,1,8,128,32768,0.9772118777036667,0.966802179813385,0.948512098618916,0.9213261604309082,0.9527711868286133,0.75,0.5714285714285714,2,0.07002836093306541,0.036972880851589424,0.5279701018124483,9.48735499382019,0.27499869277251426,0.028985812478993466
1,0,primary,2,8,128,32768,0.9740211963653564,0.9652395844459534,0.9413975775241852,0.9178338050842285,0.9425575733184814,0.75,0.5714285714285714,2,0.07011119415983558,0.04090660708369274,0.583453292643057,8.77992832660675,0.28149663819224807,0.032061382248326435
