model_seed,step,set_name,split_id,layer,token_count,c_norm,cos_to_set_global,common_margin,common_winner,set_global_margin,set_global_winner,winner_matches_set_global
0,0,primary,0,0,32768,8.424406051635742,0.9887279272079468,0.17040839791297913,6,0.19507569074630737,6,1
0,0,primary,1,0,32768,9.004246711730957,0.9889322519302368,0.12001597881317139,6,0.19507569074630737,6,1
0,0,primary,2,0,32768,8.706132888793945,0.9930598735809326,0.1840020716190338,6,0.19507569074630737,6,1
0,0,primary,3,0,32768,8.347067832946777,0.986770749092102,0.14850187301635742,6,0.19507569074630737,6,1
0,0,primary,4,0,32768,8.959922790527344,0.9784486889839172,0.19908300042152405,6,0.19507569074630737,6,1
0,0,primary,5,0,32768,8.613654136657715,0.9906707406044006,0.2237883061170578,6,0.19507569074630737,6,1
0,0,primary,6,0,32768,8.657033920288086,0.9869881868362427,0.2808973491191864,6,0.19507569074630737,6,1
0,0,primary,7,0,32768,8.816278457641602,0.9823062419891357,0.2339085340499878,6,0.19507569074630737,6,1
0,0,primary,0,1,32768,10.726632118225098,0.9843450784683228,0.011994168162345886,7,0.033783599734306335,7,1
0,0,primary,1,1,32768,11.271740913391113,0.9847517013549805,0.02552586793899536,7,0.033783599734306335,7,1
0,0,primary,2,1,32768,11.250153541564941,0.9926338195800781,0.07738010585308075,7,0.033783599734306335,7,1
0,0,primary,3,1,32768,10.636222839355469,0.9880486726760864,0.08224232494831085,7,0.033783599734306335,7,1
0,0,primary,4,1,32768,11.453590393066406,0.97606360912323,0.019275084137916565,7,0.033783599734306335,7,1
0,0,primary,5,1,32768,10.948075294494629,0.9859451055526733,0.049079954624176025,7,0.033783599734306335,7,1
0,0,primary,6,1,32768,11.064598083496094,0.9832951426506042,0.05802224576473236,6,0.033783599734306335,7,0
0,0,primary,7,1,32768,11.119873046875,0.9762850999832153,0.019941672682762146,6,0.033783599734306335,7,0
0,0,primary,0,2,32768,10.258089065551758,0.9812941551208496,0.31630629301071167,7,0.3174266815185547,7,1
0,0,primary,1,2,32768,10.696273803710938,0.9817245006561279,0.23478683829307556,7,0.3174266815185547,7,1
0,0,primary,2,2,32768,10.692718505859375,0.9899383783340454,0.35090988874435425,7,0.3174266815185547,7,1
0,0,primary,3,2,32768,9.999861717224121,0.9850820899009705,0.3172316551208496,7,0.3174266815185547,7,1
0,0,primary,4,2,32768,11.030386924743652,0.973811149597168,0.377319872379303,7,0.3174266815185547,7,1
0,0,primary,5,2,32768,10.374757766723633,0.9782887697219849,0.32989662885665894,7,0.3174266815185547,7,1
0,0,primary,6,2,32768,10.541343688964844,0.9806164503097534,0.23675842583179474,7,0.3174266815185547,7,1
0,0,primary,7,2,32768,10.602019309997559,0.97519850730896,0.3051178753376007,7,0.3174266815185547,7,1
0,0,primary,0,3,32768,9.578970909118652,0.9769042730331421,0.04539918899536133,1,0.10319304466247559,1,1
0,0,primary,1,3,32768,9.935489654541016,0.9790356159210205,0.15664689242839813,1,0.10319304466247559,1,1
0,0,primary,2,3,32768,9.902140617370605,0.9869394302368164,0.15037938952445984,1,0.10319304466247559,1,1
0,0,primary,3,3,32768,9.232911109924316,0.9832547903060913,0.021965354681015015,1,0.10319304466247559,1,1
0,0,primary,4,3,32768,10.264277458190918,0.9698960185050964,0.033853888511657715,1,0.10319304466247559,1,1
0,0,primary,5,3,32768,9.507821083068848,0.970153272151947,0.050454214215278625,1,0.10319304466247559,1,1
0,0,primary,6,3,32768,9.823426246643066,0.9775675535202026,0.05225600302219391,1,0.10319304466247559,1,1
0,0,primary,7,3,32768,9.827522277832031,0.9737125635147095,0.1654384881258011,1,0.10319304466247559,1,1
0,0,primary,0,4,32768,9.081963539123535,0.9745140671730042,0.1321355700492859,6,0.18620018661022186,6,1
0,0,primary,1,4,32768,9.465949058532715,0.9781654477119446,0.16003940999507904,6,0.18620018661022186,6,1
0,0,primary,2,4,32768,9.520432472229004,0.9853795766830444,0.17462818324565887,6,0.18620018661022186,6,1
0,0,primary,3,4,32768,8.875975608825684,0.9819859862327576,0.20023968815803528,6,0.18620018661022186,6,1
0,0,primary,4,4,32768,9.772737503051758,0.9674111008644104,0.13338539004325867,6,0.18620018661022186,6,1
0,0,primary,5,4,32768,9.109777450561523,0.9667415618896484,0.18103346228599548,6,0.18620018661022186,6,1
0,0,primary,6,4,32768,9.360036849975586,0.9784353971481323,0.13546007871627808,6,0.18620018661022186,6,1
0,0,primary,7,4,32768,9.418187141418457,0.9716581702232361,0.15485644340515137,6,0.18620018661022186,6,1
0,0,primary,0,5,32768,8.756669998168945,0.9716395735740662,0.18016822636127472,3,0.19851773977279663,3,1
0,0,primary,1,5,32768,9.03944206237793,0.9747881293296814,0.20741941034793854,3,0.19851773977279663,3,1
0,0,primary,2,5,32768,9.135795593261719,0.9835314154624939,0.21550440788269043,3,0.19851773977279663,3,1
0,0,primary,3,5,32768,8.45345401763916,0.9799313545227051,0.12662392854690552,3,0.19851773977279663,3,1
0,0,primary,4,5,32768,9.473366737365723,0.9663857221603394,0.16374844312667847,3,0.19851773977279663,3,1
0,0,primary,5,5,32768,8.612655639648438,0.9631025791168213,0.128774031996727,3,0.19851773977279663,3,1
0,0,primary,6,5,32768,8.977322578430176,0.977885901927948,0.26863664388656616,3,0.19851773977279663,3,1
0,0,primary,7,5,32768,9.04865550994873,0.9702944755554199,0.20748759806156158,3,0.19851773977279663,3,1
0,0,secondary,0,0,32768,12.032458305358887,0.8803015351295471,0.3456759452819824,6,0.2799074053764343,6,1
0,0,secondary,1,0,32768,9.276022911071777,0.9744585752487183,0.2255842089653015,6,0.2799074053764343,6,1
0,0,secondary,2,0,32768,8.200644493103027,0.981023371219635,0.22640833258628845,6,0.2799074053764343,6,1
0,0,secondary,3,0,32768,8.48819637298584,0.9619033336639404,0.2160855382680893,6,0.2799074053764343,6,1
0,0,secondary,4,0,32768,8.744670867919922,0.9848242998123169,0.21644189953804016,6,0.2799074053764343,6,1
0,0,secondary,5,0,32768,8.005683898925781,0.9755207896232605,0.19411003589630127,6,0.2799074053764343,6,1
0,0,secondary,6,0,32768,9.112256050109863,0.9750847816467285,0.30276578664779663,6,0.2799074053764343,6,1
0,0,secondary,7,0,32768,8.65762710571289,0.9613726735115051,0.07164692878723145,6,0.2799074053764343,6,1
0,0,secondary,0,1,32768,14.815847396850586,0.8891968727111816,0.16634684801101685,5,0.019521042704582214,7,0
0,0,secondary,1,1,32768,11.571191787719727,0.9728735685348511,0.099008709192276,5,0.019521042704582214,7,0
0,0,secondary,2,1,32768,10.54216194152832,0.9791252613067627,0.0050051212310791016,7,0.019521042704582214,7,1
0,0,secondary,3,1,32768,10.98831558227539,0.964621365070343,0.04284459352493286,6,0.019521042704582214,7,0
0,0,secondary,4,1,32768,11.110219955444336,0.9844911694526672,0.05929304659366608,6,0.019521042704582214,7,0
0,0,secondary,5,1,32768,10.356266975402832,0.9716284871101379,0.0529995858669281,7,0.019521042704582214,7,1
0,0,secondary,6,1,32768,11.659285545349121,0.9724799394607544,0.026679426431655884,7,0.019521042704582214,7,1
0,0,secondary,7,1,32768,10.97020435333252,0.9697368144989014,0.04816025495529175,6,0.019521042704582214,7,0
0,0,secondary,0,2,32768,14.299495697021484,0.8819150328636169,0.36753708124160767,7,0.30889683961868286,7,1
0,0,secondary,1,2,32768,10.997135162353516,0.9698979258537292,0.24620020389556885,7,0.30889683961868286,7,1
0,0,secondary,2,2,32768,10.041465759277344,0.9774618148803711,0.386299729347229,7,0.30889683961868286,7,1
0,0,secondary,3,2,32768,10.604315757751465,0.9660623669624329,0.3255295157432556,7,0.30889683961868286,7,1
0,0,secondary,4,2,32768,10.40185260772705,0.9803097248077393,0.21600601077079773,7,0.30889683961868286,7,1
0,0,secondary,5,2,32768,9.55597972869873,0.9640178680419922,0.3116541802883148,7,0.30889683961868286,7,1
0,0,secondary,6,2,32768,11.214603424072266,0.9718561172485352,0.22682824730873108,7,0.30889683961868286,7,1
0,0,secondary,7,2,32768,10.65517807006836,0.970221996307373,0.29096490144729614,7,0.30889683961868286,7,1
0,0,secondary,0,3,32768,13.40020751953125,0.8640638589859009,0.09224063158035278,1,0.06391431391239166,1,1
0,0,secondary,1,3,32768,10.201753616333008,0.9633632302284241,0.000697791576385498,0,0.06391431391239166,1,0
0,0,secondary,2,3,32768,9.284475326538086,0.9751596450805664,0.10234922170639038,1,0.06391431391239166,1,1
0,0,secondary,3,3,32768,9.757019996643066,0.9618648886680603,0.07093895971775055,1,0.06391431391239166,1,1
0,0,secondary,4,3,32768,9.630468368530273,0.9754409193992615,0.09204038977622986,1,0.06391431391239166,1,1
0,0,secondary,5,3,32768,8.82165241241455,0.9600174427032471,0.011605769395828247,0,0.06391431391239166,1,0
0,0,secondary,6,3,32768,10.430180549621582,0.965701162815094,0.028910398483276367,1,0.06391431391239166,1,1
0,0,secondary,7,3,32768,9.954439163208008,0.9713051319122314,0.12529245018959045,1,0.06391431391239166,1,1
0,0,secondary,0,4,32768,12.925546646118164,0.8769212961196899,0.03262816369533539,6,0.14614316821098328,6,1
0,0,secondary,1,4,32768,9.811383247375488,0.9651830196380615,0.15707725286483765,6,0.14614316821098328,6,1
0,0,secondary,2,4,32768,8.912457466125488,0.9743792414665222,0.19480562210083008,6,0.14614316821098328,6,1
0,0,secondary,3,4,32768,9.246846199035645,0.9615851640701294,0.17023015022277832,6,0.14614316821098328,6,1
0,0,secondary,4,4,32768,9.181985855102539,0.9738678932189941,0.08631159365177155,6,0.14614316821098328,6,1
0,0,secondary,5,4,32768,8.412333488464355,0.9564558267593384,0.179254412651062,6,0.14614316821098328,6,1
0,0,secondary,6,4,32768,9.962784767150879,0.963649570941925,0.17923736572265625,6,0.14614316821098328,6,1
0,0,secondary,7,4,32768,9.393954277038574,0.9702250957489014,0.12903240323066711,6,0.14614316821098328,6,1
0,0,secondary,0,5,32768,12.254878044128418,0.8681138157844543,0.19457396864891052,3,0.2265263795852661,3,1
0,0,secondary,1,5,32768,9.296881675720215,0.9621973037719727,0.23616547882556915,3,0.2265263795852661,3,1
0,0,secondary,2,5,32768,8.57664966583252,0.9740791320800781,0.23391589522361755,3,0.2265263795852661,3,1
0,0,secondary,3,5,32768,8.943097114562988,0.9603095054626465,0.1474577635526657,3,0.2265263795852661,3,1
0,0,secondary,4,5,32768,8.805407524108887,0.9731700420379639,0.20256008207798004,3,0.2265263795852661,3,1
0,0,secondary,5,5,32768,8.025671005249023,0.9503597617149353,0.2211933135986328,3,0.2265263795852661,3,1
0,0,secondary,6,5,32768,9.532539367675781,0.9587002992630005,0.12672683596611023,3,0.2265263795852661,3,1
0,0,secondary,7,5,32768,9.070876121520996,0.9687821269035339,0.16177743673324585,3,0.2265263795852661,3,1
0,10,primary,0,0,32768,14.560380935668945,0.9977058172225952,0.0674707293510437,2,0.051928550004959106,2,1
0,10,primary,1,0,32768,15.322837829589844,0.9976698160171509,0.07082009315490723,2,0.051928550004959106,2,1
0,10,primary,2,0,32768,15.191886901855469,0.9986302852630615,0.037187010049819946,2,0.051928550004959106,2,1
0,10,primary,3,0,32768,14.675202369689941,0.9973984956741333,0.06871664524078369,2,0.051928550004959106,2,1
0,10,primary,4,0,32768,15.074477195739746,0.9955826997756958,0.008635550737380981,2,0.051928550004959106,2,1
0,10,primary,5,0,32768,14.994636535644531,0.9981141090393066,0.02215912938117981,2,0.051928550004959106,2,1
0,10,primary,6,0,32768,14.931187629699707,0.9975005388259888,0.019285619258880615,2,0.051928550004959106,2,1
