model_seed,layer,common_margin_00,common_margin_1010,A_actual,A_gate,A_hidden,F_gate,F_hidden,F_interaction
0,0,0.22573815286159515,0.02487945556640625,-0.2008586972951889,0.12280996143817902,-0.06208251416683197,-0.6114246636663845,0.30908551634980164,1.3023391473165828
0,1,0.029365643858909607,0.07109087705612183,0.04172523319721222,-0.003980949521064758,0.5119196325540543,-0.09540868237330155,12.26882615932886,-11.173417476955558
0,2,0.31275689601898193,0.12602734565734863,-0.1867295503616333,0.1680178940296173,0.03457123041152954,-0.8997927414499863,-0.18514065044646932,2.0849333918964557
0,3,0.08045519888401031,0.44110730290412903,0.3606521040201187,0.1369425505399704,0.5115484446287155,0.3797081703212001,1.4183986144170093,-0.7981067847382094
0,4,0.17560437321662903,0.7139877080917358,0.5383833348751068,-0.16327640414237976,-0.15190264582633972,-0.3032716534219179,-0.2821458912014389,1.585417544623357
0,5,0.19357463717460632,1.1637189388275146,0.9701443016529083,-0.08081185817718506,0.2040242850780487,-0.0832988020849061,0.21030302886945487,0.8729957732154513
1,0,0.06416909396648407,0.0014013051986694336,-0.06276778876781464,0.15332336723804474,0.0916888564825058,-2.4427078004166396,-1.4607628894124909,4.90347068982913
1,1,0.054410964250564575,0.7013166546821594,0.6469056904315948,0.046257346868515015,0.37511029839515686,0.07150554949926873,0.5798531438870096,0.3486413066137217
1,2,0.0698438286781311,0.2619847059249878,0.1921408772468567,-0.02845454216003418,0.29417967796325684,-0.1480920799766968,1.5310624276233726,-0.3829703476466759
1,3,0.06765773892402649,0.9566776752471924,0.8890199363231659,0.09097889065742493,0.40936973690986633,0.10233616473630279,0.46047306723283327,0.43719076803086393
1,4,0.0821462869644165,1.1529502868652344,1.0708039999008179,-0.04163823276758194,0.03160655498504639,-0.038885017959812106,0.029516657565692613,1.0093683603941195
1,5,0.1882818341255188,1.9276708364486694,1.7393890023231506,-0.040476441383361816,0.6163714528083801,-0.023270494023649082,0.35436090028460937,0.6689095937390397
2,0,0.2093672752380371,0.21675878763198853,0.007391512393951416,-0.13649480044841766,-0.11156722903251648,-18.466423807949422,-15.093964954156553,34.56038876210597
2,1,0.0840168297290802,0.2976776361465454,0.2136608064174652,0.17712631821632385,0.4967047870159149,0.8290070658548496,2.3247351507483263,-2.1537422166031757
2,2,0.06157518923282623,0.3203107714653015,0.2587355822324753,-0.007022738456726074,0.13830715417861938,-0.027142530594868496,0.5345501882085537,0.4925923423863148
2,3,0.04675722122192383,0.6645888090133667,0.6178315877914429,-0.04374098777770996,0.2525712251663208,-0.0707975905441651,0.40880270636401894,0.6619948841801462
2,4,0.21841707825660706,1.0012903213500977,0.7828732430934906,0.20212802290916443,-0.047592997550964355,0.2581874201121807,-0.060792724710966785,0.802605304598786
2,5,0.0628061443567276,1.1811401844024658,1.1183340400457382,0.08020800352096558,0.6371022313833237,0.07172097123832982,0.5696886695474879,0.35859035921418236
