gate_checkpoint,lm_loss,model_checkpoint,model_seed,step,variant
checkpoints/freeze_last_layer_hidden_producer_seed2_step10_gates.pt,11.751493453979492,checkpoints/freeze_last_layer_hidden_producer_seed2_step10.pt,2,10,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed2_step20_gates.pt,11.486833572387695,checkpoints/freeze_last_layer_hidden_producer_seed2_step20.pt,2,20,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed2_step50_gates.pt,9.239448547363281,checkpoints/freeze_last_layer_hidden_producer_seed2_step50.pt,2,50,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed2_step100_gates.pt,8.210413932800293,checkpoints/freeze_last_layer_hidden_producer_seed2_step100.pt,2,100,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed2_step200_gates.pt,7.537511348724365,checkpoints/freeze_last_layer_hidden_producer_seed2_step200.pt,2,200,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed2_step300_gates.pt,7.621632099151611,checkpoints/freeze_last_layer_hidden_producer_seed2_step300.pt,2,300,freeze_last_layer_hidden_producer
checkpoints/normal_seed2_step0_gates.pt,,checkpoints/normal_seed2_step0.pt,2,0,normal
checkpoints/normal_seed2_step1_gates.pt,12.02901554107666,checkpoints/normal_seed2_step1.pt,2,1,normal
checkpoints/normal_seed2_step2_gates.pt,11.9784574508667,checkpoints/normal_seed2_step2.pt,2,2,normal
checkpoints/normal_seed2_step3_gates.pt,11.729630470275879,checkpoints/normal_seed2_step3.pt,2,3,normal
checkpoints/normal_seed2_step5_gates.pt,11.210721015930176,checkpoints/normal_seed2_step5.pt,2,5,normal
checkpoints/normal_seed2_step10_gates.pt,10.70031452178955,checkpoints/normal_seed2_step10.pt,2,10,normal
checkpoints/normal_seed2_step20_gates.pt,9.249417304992676,checkpoints/normal_seed2_step20.pt,2,20,normal
checkpoints/normal_seed2_step50_gates.pt,7.642361164093018,checkpoints/normal_seed2_step50.pt,2,50,normal
checkpoints/normal_seed2_step100_gates.pt,7.885587692260742,checkpoints/normal_seed2_step100.pt,2,100,normal
checkpoints/normal_seed2_step200_gates.pt,6.906022071838379,checkpoints/normal_seed2_step200.pt,2,200,normal
checkpoints/normal_seed2_step300_gates.pt,7.013782024383545,checkpoints/normal_seed2_step300.pt,2,300,normal
checkpoints/freeze_last_layer_hidden_producer_seed0_step0_gates.pt,,checkpoints/freeze_last_layer_hidden_producer_seed0_step0.pt,0,0,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step1_gates.pt,11.998552322387695,checkpoints/freeze_last_layer_hidden_producer_seed0_step1.pt,0,1,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step2_gates.pt,12.081409454345703,checkpoints/freeze_last_layer_hidden_producer_seed0_step2.pt,0,2,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step3_gates.pt,12.045735359191895,checkpoints/freeze_last_layer_hidden_producer_seed0_step3.pt,0,3,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step5_gates.pt,11.95040512084961,checkpoints/freeze_last_layer_hidden_producer_seed0_step5.pt,0,5,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step10_gates.pt,11.73714828491211,checkpoints/freeze_last_layer_hidden_producer_seed0_step10.pt,0,10,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step20_gates.pt,11.403026580810547,checkpoints/freeze_last_layer_hidden_producer_seed0_step20.pt,0,20,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step50_gates.pt,8.446533203125,checkpoints/freeze_last_layer_hidden_producer_seed0_step50.pt,0,50,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step100_gates.pt,7.4869890213012695,checkpoints/freeze_last_layer_hidden_producer_seed0_step100.pt,0,100,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step200_gates.pt,7.977423191070557,checkpoints/freeze_last_layer_hidden_producer_seed0_step200.pt,0,200,freeze_last_layer_hidden_producer
checkpoints/freeze_last_layer_hidden_producer_seed0_step300_gates.pt,8.282465934753418,checkpoints/freeze_last_layer_hidden_producer_seed0_step300.pt,0,300,freeze_last_layer_hidden_producer
