size,method,step,num_sequences,sequence_length,mean_normalized_entropy,mean_coefficient_of_variation,minimum_expert_share,maximum_expert_share,max_to_min_share_ratio,zero_load_expert_layer_pairs
L,baseline,352000,64,2048,0.9943055032258862,0.14599108436159383,0.0712890625,0.21770477294921875,3.0538313356164384,0
L,proposed,352000,64,2048,0.9470262183905535,0.45134230909955103,0.0144805908203125,0.32480621337890625,22.4304531085353,0
M,baseline,152000,64,2048,0.992790246668787,0.16602004718918575,0.08404541015625,0.21006011962890625,2.4993645606390706,0
M,proposed,152000,64,2048,0.9374469356552888,0.49201890257036646,0.002716064453125,0.37181854248046875,136.89606741573033,0
