size,method,step,tokens_per_step,training_tokens,backward_multiplier,attention_projection_flops_per_token,attention_core_flops_per_token,active_ffn_flops_per_token,router_flops_per_token,lm_head_flops_per_token,forward_flops_per_token,training_flops,log10_training_flops
L,baseline,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
L,proposed,352000,262144,92274688000,3.0,352321536.0,117555200.0,704643072.0,458752.0,311164928.0,1486143488.0,4.114002800352952e+20,20.614264582977913
M,baseline,152000,262144,39845888000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,9.788314648943002e+19,19.990707921458597
M,proposed,152000,262144,39845888000,3.0,169869312.0,75571200.0,339738624.0,294912.0,233373696.0,818847744.0,9.788314648943002e+19,19.990707921458597
