dim,seed,variant,switch_step,switch_reason,switch_full_accuracy,switch_to_K_accuracy,switch_non_K_accuracy,switch_value_output_direction_K_alignment,initial_loss,final_loss,initial_non_K_loss,final_non_K_loss,final_full_accuracy,final_to_K_accuracy,final_non_K_accuracy,first_stable_all_post_step,first_stable_non_K_post_step,final_adapter_norm,final_adapter_output_common_energy_fraction,final_adapter_input_common_energy_fraction,final_base_relative_drift,final_frozen_input_direction_angle_deg,final_frozen_output_direction_angle_deg
2,0,baseline_continue,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.6168715357780457,2.000295877456665,1.9887735843658447,1.5127058029174805,1.502199649810791,0.25,0.0,0.3333333432674408,,,0.0,0.0,nan,1.6260652143690189,49.676719665527344,49.66341781616211
2,0,frozen_no_bridge,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.6168715357780457,2.000295877456665,2.000295877456665,1.5127058029174805,1.5127058029174805,0.25,0.0,0.3333333432674408,,,0.0,0.0,0.4889211654663086,0.0,0.0,0.0
2,0,unconstrained_bridge,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.6168715357780457,2.000295877456665,2.000241994857788,1.5127058029174805,1.506410002708435,0.25,0.0,0.3333333432674408,,,0.1871042102575302,0.5184552669525146,0.4889211654663086,0.0,0.0,0.0
2,0,common_to_residual,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.6168715357780457,2.000295877456665,2.000295877456665,1.5127058029174805,1.5127058029174805,0.25,0.0,0.3333333432674408,,,0.005618619732558727,2.5772356495729336e-16,0.4889211654663086,0.0,0.0,0.0
2,0,residual_to_residual,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.6168715357780457,2.000295877456665,2.0002689361572266,1.5127058029174805,1.5095411539077759,0.25,0.0,0.3333333432674408,,,0.16001848876476288,4.76204622863887e-16,0.4889211654663086,0.0,0.0,0.0
2,1,baseline_continue,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.06406888365745544,1.9993348121643066,1.540235996246338,1.5115303993225098,1.5482959747314453,0.3125,0.75,0.1666666716337204,,,0.0,0.0,nan,1.4263314914867071,61.03006362915039,8.850262641906738
2,1,frozen_no_bridge,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.06406888365745544,1.9993348121643066,1.9993348121643066,1.5115303993225098,1.5115303993225098,0.25,0.0,0.3333333432674408,,,0.0,0.0,0.4228955805301666,0.0,0.0,0.0
2,1,unconstrained_bridge,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.06406888365745544,1.9993348121643066,1.9992872476577759,1.5115303993225098,1.5057293176651,0.25,0.0,0.3333333432674408,,,0.20562726259231567,0.7592869400978088,0.4228955805301666,0.0,0.0,0.0
2,1,common_to_residual,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.06406888365745544,1.9993348121643066,1.9993349313735962,1.5115303993225098,1.5115299224853516,0.25,0.0,0.3333333432674408,,,0.01868141070008278,7.722123565014007e-16,0.4228955805301666,0.0,0.0,0.0
2,1,residual_to_residual,300,forced_max_steps,0.25,0.0,0.3333333432674408,0.06406888365745544,1.9993348121643066,1.9993195533752441,1.5115303993225098,1.5091075897216797,0.25,0.0,0.3333333432674408,,,0.15176080167293549,5.235515940934751e-16,0.4228955805301666,0.0,0.0,0.0
2,2,baseline_continue,300,forced_max_steps,0.375,0.75,0.25,0.9778289198875427,1.7650891542434692,0.9272191524505615,1.9800324440002441,1.0786207914352417,0.4375,1.0,0.25,,,0.0,0.0,nan,0.6039123547532326,70.87789916992188,73.45409393310547
2,2,frozen_no_bridge,300,forced_max_steps,0.375,0.75,0.25,0.9778289198875427,1.7650891542434692,1.7650891542434692,1.9800324440002441,1.9800324440002441,0.375,0.75,0.25,,,0.0,0.0,0.554060161113739,0.0,0.0,0.0
2,2,unconstrained_bridge,300,forced_max_steps,0.375,0.75,0.25,0.9778289198875427,1.7650891542434692,1.4632354974746704,1.9800324440002441,1.426002860069275,0.3125,0.75,0.1666666716337204,,,22.895000457763672,0.7230837345123291,0.554060161113739,0.0,0.0,0.0
2,2,common_to_residual,300,forced_max_steps,0.375,0.75,0.25,0.9778289198875427,1.7650891542434692,1.744093894958496,1.9800324440002441,2.010552167892456,0.375,0.75,0.25,,,3.068567991256714,4.954006658497152e-16,0.554060161113739,0.0,0.0,0.0
2,2,residual_to_residual,300,forced_max_steps,0.375,0.75,0.25,0.9778289198875427,1.7650891542434692,1.7650885581970215,1.9800324440002441,1.9803876876831055,0.375,0.75,0.25,,,0.010879620909690857,1.2143360793369189e-15,0.554060161113739,0.0,0.0,0.0
3,0,baseline_continue,108,detected_stable_common,0.9375,1.0,0.9166666865348816,0.7401648163795471,0.13853256404399872,0.00021265778923407197,0.16035524010658264,0.0001963403046829626,1.0,1.0,1.0,26,26,0.0,0.0,nan,0.533246405487376,68.13661193847656,75.24999237060547
3,0,frozen_no_bridge,108,detected_stable_common,0.9375,1.0,0.9166666865348816,0.7401648163795471,0.13853256404399872,0.13853256404399872,0.16035524010658264,0.16035524010658264,0.9375,1.0,0.9166666865348816,,,0.0,0.0,0.6091472506523132,0.0,0.0,0.0
3,0,unconstrained_bridge,108,detected_stable_common,0.9375,1.0,0.9166666865348816,0.7401648163795471,0.13853256404399872,0.13183259963989258,0.16035524010658264,0.1552855521440506,0.9375,1.0,0.9166666865348816,,,2.5474791526794434,0.869288980960846,0.6091472506523132,0.0,0.0,0.0
3,0,common_to_residual,108,detected_stable_common,0.9375,1.0,0.9166666865348816,0.7401648163795471,0.13853256404399872,0.1382751613855362,0.16035524010658264,0.1589682251214981,0.9375,1.0,0.9166666865348816,,,0.03894408419728279,8.535509716625406e-16,0.6091472506523132,0.0,0.0,0.0
3,0,residual_to_residual,108,detected_stable_common,0.9375,1.0,0.9166666865348816,0.7401648163795471,0.13853256404399872,0.13712912797927856,0.16035524010658264,0.15662993490695953,0.9375,1.0,0.9166666865348816,,,0.2386704385280609,1.111943877936622e-15,0.6091472506523132,0.0,0.0,0.0
