size,method,step,task,metric,value
L,baseline,20000,winogrande,acc,0.494869771112865
L,baseline,20000,macro_average,accuracy,0.42879514657855666
L,proposed,20000,arc_challenge,acc_norm,0.2508532423208191
L,proposed,20000,arc_easy,acc_norm,0.4659090909090909
L,proposed,20000,hellaswag,acc_norm,0.3381796454889464
L,proposed,20000,lambada_openai,acc,0.32156025616145933
L,proposed,20000,piqa,acc_norm,0.6545157780195865
L,proposed,20000,race,acc,0.49635184434535873
L,proposed,20000,siqa,acc,0.38485158648925283
L,proposed,20000,winogrande,acc,0.5224940805051302
L,proposed,20000,macro_average,accuracy,0.4293394405299555
L,baseline,44000,arc_challenge,acc_norm,0.25597269624573377
L,baseline,44000,arc_easy,acc_norm,0.4882154882154882
L,baseline,44000,hellaswag,acc_norm,0.3994224258115913
L,baseline,44000,lambada_openai,acc,0.4187851736852319
L,baseline,44000,piqa,acc_norm,0.6882480957562568
L,baseline,44000,race,acc,0.49979732468585325
L,baseline,44000,siqa,acc,0.394575230296827
L,baseline,44000,winogrande,acc,0.5114443567482242
L,baseline,44000,macro_average,accuracy,0.4570575989306508
L,proposed,44000,arc_challenge,acc_norm,0.27474402730375425
L,proposed,44000,arc_easy,acc_norm,0.5092592592592593
L,proposed,44000,hellaswag,acc_norm,0.3846843258315077
L,proposed,44000,lambada_openai,acc,0.39918494081117795
L,proposed,44000,piqa,acc_norm,0.6588683351468988
L,proposed,44000,race,acc,0.49513579246047834
L,proposed,44000,siqa,acc,0.3940634595701126
L,proposed,44000,winogrande,acc,0.5098658247829518
L,proposed,44000,macro_average,accuracy,0.45322574564576756
L,baseline,84000,arc_challenge,acc_norm,0.26706484641638223
L,baseline,84000,arc_easy,acc_norm,0.49663299663299665
L,baseline,84000,hellaswag,acc_norm,0.4117705636327425
L,baseline,84000,lambada_openai,acc,0.443042887638269
L,baseline,84000,piqa,acc_norm,0.690424374319913
L,baseline,84000,race,acc,0.5040535062829348
L,baseline,84000,siqa,acc,0.39969293756397134
L,baseline,84000,winogrande,acc,0.5351223362273086
L,baseline,84000,macro_average,accuracy,0.4684755560893148
L,proposed,84000,arc_challenge,acc_norm,0.2687713310580205
L,proposed,84000,arc_easy,acc_norm,0.5113636363636364
L,proposed,84000,hellaswag,acc_norm,0.3999203345947023
L,proposed,84000,lambada_openai,acc,0.4232485930525907
L,proposed,84000,piqa,acc_norm,0.6789989118607181
L,proposed,84000,race,acc,0.5006080259424402
L,proposed,84000,siqa,acc,0.3925281473899693
L,proposed,84000,winogrande,acc,0.489344909234412
L,proposed,84000,macro_average,accuracy,0.4580979861870612
L,baseline,172000,arc_challenge,acc_norm,0.2593856655290102
L,baseline,172000,arc_easy,acc_norm,0.5147306397306397
L,baseline,172000,hellaswag,acc_norm,0.4312885879306911
L,baseline,172000,lambada_openai,acc,0.46671841645643314
L,baseline,172000,piqa,acc_norm,0.6942328618063112
L,baseline,172000,race,acc,0.5066882853668423
L,baseline,172000,siqa,acc,0.39969293756397134
L,baseline,172000,winogrande,acc,0.5209155485398579
L,baseline,172000,macro_average,accuracy,0.4742066178654696
L,proposed,172000,arc_challenge,acc_norm,0.2858361774744027
L,proposed,172000,arc_easy,acc_norm,0.5345117845117845
L,proposed,172000,hellaswag,acc_norm,0.41435968930491934
L,proposed,172000,lambada_openai,acc,0.4401319619639045
L,proposed,172000,piqa,acc_norm,0.6811751904243744
L,proposed,172000,race,acc,0.5020267531414674
L,proposed,172000,siqa,acc,0.3976458546571136
L,proposed,172000,winogrande,acc,0.516179952644041
L,proposed,172000,macro_average,accuracy,0.47148342051525094
L,baseline,344000,arc_challenge,acc_norm,0.27474402730375425
L,baseline,344000,arc_easy,acc_norm,0.5164141414141414
L,baseline,344000,hellaswag,acc_norm,0.4584744074885481
L,baseline,344000,lambada_openai,acc,0.48301960023287405
L,baseline,344000,piqa,acc_norm,0.6953210010881393
L,baseline,344000,race,acc,0.5054722334819619
L,baseline,344000,siqa,acc,0.4068577277379734
L,baseline,344000,winogrande,acc,0.5256511444356748
L,baseline,344000,macro_average,accuracy,0.48324428539788344
L,proposed,344000,arc_challenge,acc_norm,0.2773037542662116
L,proposed,344000,arc_easy,acc_norm,0.5500841750841751
L,proposed,344000,hellaswag,acc_norm,0.4439354710217088
L,proposed,344000,lambada_openai,acc,0.46594216960993595
L,proposed,344000,piqa,acc_norm,0.6953210010881393
L,proposed,344000,race,acc,0.5006080259424402
L,proposed,344000,siqa,acc,0.3986693961105425
L,proposed,344000,winogrande,acc,0.5043409629044988
L,proposed,344000,macro_average,accuracy,0.4795256195034565
L,baseline,352000,arc_challenge,acc_norm,0.2696245733788396
L,baseline,352000,arc_easy,acc_norm,0.531986531986532
L,baseline,352000,hellaswag,acc_norm,0.4587731527584147
L,baseline,352000,lambada_openai,acc,0.48961769842810016
L,baseline,352000,piqa,acc_norm,0.6953210010881393
L,baseline,352000,race,acc,0.5056749087961087
L,baseline,352000,siqa,acc,0.4053224155578301
L,baseline,352000,winogrande,acc,0.5169692186266772
L,baseline,352000,macro_average,accuracy,0.4841611875775802
L,proposed,352000,arc_challenge,acc_norm,0.28924914675767915
L,proposed,352000,arc_easy,acc_norm,0.5521885521885522
L,proposed,352000,hellaswag,acc_norm,0.4442342162915754
L,proposed,352000,lambada_openai,acc,0.45915000970308556
L,proposed,352000,piqa,acc_norm,0.6964091403699674
L,proposed,352000,race,acc,0.5012160518848804
L,proposed,352000,siqa,acc,0.39969293756397134
L,proposed,352000,winogrande,acc,0.500394632991318
L,proposed,352000,macro_average,accuracy,0.4803168359688787
