size,method,step,layer,expert,activation_count,activation_share
L,baseline,352000,14,0,16477,0.12570953369140625
L,baseline,352000,14,1,17418,0.1328887939453125
L,baseline,352000,14,2,15191,0.11589813232421875
L,baseline,352000,14,3,15538,0.1185455322265625
L,baseline,352000,14,4,14900,0.113677978515625
L,baseline,352000,14,5,18371,0.14015960693359375
L,baseline,352000,14,6,15086,0.1150970458984375
L,baseline,352000,14,7,18091,0.13802337646484375
L,baseline,352000,15,0,14619,0.11153411865234375
L,baseline,352000,15,1,17293,0.13193511962890625
L,baseline,352000,15,2,19435,0.14827728271484375
L,baseline,352000,15,3,16641,0.12696075439453125
L,baseline,352000,15,4,17495,0.13347625732421875
L,baseline,352000,15,5,19449,0.14838409423828125
L,baseline,352000,15,6,16796,0.128143310546875
L,baseline,352000,15,7,9344,0.0712890625
L,baseline,352000,16,0,12672,0.0966796875
L,baseline,352000,16,1,15501,0.11826324462890625
L,baseline,352000,16,2,17702,0.1350555419921875
L,baseline,352000,16,3,13558,0.1034393310546875
L,baseline,352000,16,4,20549,0.15677642822265625
L,baseline,352000,16,5,19923,0.15200042724609375
L,baseline,352000,16,6,16233,0.12384796142578125
L,baseline,352000,16,7,14934,0.1139373779296875
L,baseline,352000,17,0,18847,0.14379119873046875
L,baseline,352000,17,1,22810,0.1740264892578125
L,baseline,352000,17,2,13370,0.1020050048828125
L,baseline,352000,17,3,17271,0.13176727294921875
L,baseline,352000,17,4,14416,0.1099853515625
L,baseline,352000,17,5,18889,0.14411163330078125
L,baseline,352000,17,6,12378,0.0944366455078125
L,baseline,352000,17,7,13091,0.09987640380859375
L,baseline,352000,18,0,13207,0.10076141357421875
L,baseline,352000,18,1,17063,0.13018035888671875
L,baseline,352000,18,2,15084,0.115081787109375
L,baseline,352000,18,3,18277,0.13944244384765625
L,baseline,352000,18,4,22052,0.168243408203125
L,baseline,352000,18,5,13456,0.1026611328125
L,baseline,352000,18,6,18156,0.138519287109375
L,baseline,352000,18,7,13777,0.10511016845703125
L,baseline,352000,19,0,18435,0.14064788818359375
L,baseline,352000,19,1,17373,0.13254547119140625
L,baseline,352000,19,2,14508,0.110687255859375
L,baseline,352000,19,3,16663,0.12712860107421875
L,baseline,352000,19,4,15641,0.11933135986328125
L,baseline,352000,19,5,17683,0.13491058349609375
L,baseline,352000,19,6,14382,0.1097259521484375
L,baseline,352000,19,7,16387,0.12502288818359375
L,baseline,352000,20,0,17131,0.13069915771484375
L,baseline,352000,20,1,16167,0.12334442138671875
L,baseline,352000,20,2,13886,0.1059417724609375
L,baseline,352000,20,3,15299,0.11672210693359375
L,baseline,352000,20,4,17956,0.136993408203125
L,baseline,352000,20,5,17951,0.13695526123046875
L,baseline,352000,20,6,14864,0.1134033203125
L,baseline,352000,20,7,17818,0.1359405517578125
L,baseline,352000,21,0,18889,0.14411163330078125
L,baseline,352000,21,1,17384,0.13262939453125
L,baseline,352000,21,2,15912,0.12139892578125
L,baseline,352000,21,3,14296,0.10906982421875
L,baseline,352000,21,4,13491,0.10292816162109375
L,baseline,352000,21,5,16504,0.12591552734375
L,baseline,352000,21,6,16450,0.1255035400390625
L,baseline,352000,21,7,18146,0.1384429931640625
L,baseline,352000,22,0,18704,0.1427001953125
L,baseline,352000,22,1,14831,0.11315155029296875
L,baseline,352000,22,2,15121,0.11536407470703125
L,baseline,352000,22,3,14614,0.1114959716796875
L,baseline,352000,22,4,19197,0.14646148681640625
L,baseline,352000,22,5,17281,0.13184356689453125
L,baseline,352000,22,6,14967,0.11418914794921875
L,baseline,352000,22,7,16357,0.12479400634765625
L,baseline,352000,23,0,16277,0.12418365478515625
L,baseline,352000,23,1,14829,0.11313629150390625
L,baseline,352000,23,2,17577,0.13410186767578125
L,baseline,352000,23,3,13797,0.10526275634765625
L,baseline,352000,23,4,16841,0.12848663330078125
L,baseline,352000,23,5,18372,0.140167236328125
L,baseline,352000,23,6,18379,0.14022064208984375
L,baseline,352000,23,7,15000,0.11444091796875
L,baseline,352000,24,0,14355,0.10951995849609375
L,baseline,352000,24,1,17243,0.13155364990234375
L,baseline,352000,24,2,18759,0.14311981201171875
L,baseline,352000,24,3,17622,0.1344451904296875
L,baseline,352000,24,4,13349,0.10184478759765625
L,baseline,352000,24,5,15971,0.12184906005859375
L,baseline,352000,24,6,17932,0.136810302734375
L,baseline,352000,24,7,15841,0.12085723876953125
L,baseline,352000,25,0,15949,0.12168121337890625
L,baseline,352000,25,1,15794,0.1204986572265625
L,baseline,352000,25,2,14593,0.11133575439453125
L,baseline,352000,25,3,17597,0.13425445556640625
L,baseline,352000,25,4,13302,0.1014862060546875
L,baseline,352000,25,5,20750,0.1583099365234375
L,baseline,352000,25,6,17448,0.13311767578125
L,baseline,352000,25,7,15639,0.11931610107421875
