size,method,step,hardware,device_name,evaluation_mode,cache_state,cache_capacity,is_unlimited,repeat,prompt_length,ttft_seconds,ttft_milliseconds,expert_accesses,expert_loads,expert_evictions,bytes_loaded,loaded_gib,ttft_ratio_vs_same_size_baseline_unlimited,extra_ttft_fraction_vs_same_size_baseline_unlimited
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,1024,0.08752151411026717,87.52151411026716,153.0,152.4,152.4,1078670131.2,1.00458984375,1.631100240123034,0.6311002401230339
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,1,0,mean,2048,0.10008993092924356,100.08993092924356,159.4,158.8,158.8,1123968614.4,1.04677734375,1.821271990791718,0.8212719907917181
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,32,0.5510062513872981,551.0062513872981,67.4,67.4,22.6,477049651.2,0.444287109375,1.0599405170164475,0.059940517016447536
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,128,0.06591114923357963,65.91114923357964,97.2,97.2,50.2,687970713.6,0.64072265625,1.2437194096923385,0.24371940969233852
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,512,0.08150221854448318,81.50221854448318,133.2,133.2,85.8,942774681.6,0.87802734375,1.2938384389617934,0.2938384389617934
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,1024,0.08957456629723311,89.5745662972331,153.0,153.0,105.6,1082916864.0,1.008544921875,1.6775353177151064,0.6775353177151064
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,2,0,mean,2048,0.09784440323710442,97.84440323710442,159.4,159.4,112.0,1128215347.2,1.050732421875,1.7694129523790711,0.7694129523790711
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,32,0.05124541688710451,51.24541688710451,67.4,51.0,51.0,360972288.0,0.336181640625,1.0168825612028909,0.01688256120289089
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,128,0.06450304929167032,64.50304929167032,97.2,89.0,89.0,629932032.0,0.586669921875,1.2100195681114334,0.2100195681114334
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,512,0.07833799570798874,78.33799570798874,133.2,131.4,131.4,930034483.2,0.866162109375,1.340815428492771,0.3408154284927709
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,1024,0.08761241752654314,87.61241752654314,153.0,151.2,151.2,1070176665.6,0.9966796875,1.6327943673970313,0.6327943673970313
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,2,0,mean,2048,0.09797427505254745,97.97427505254745,159.4,158.4,158.4,1121137459.2,1.044140625,1.7827747638018778,0.7827747638018778
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,4,0,mean,32,0.5738380722701549,573.838072270155,67.4,67.4,3.0,477049651.2,0.444287109375,1.1038608391000384,0.1038608391000384
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,4,0,mean,128,0.06622487343847752,66.22487343847752,97.2,97.2,17.4,687970713.6,0.64072265625,1.249639271316038,0.24963927131603803
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,4,0,mean,512,0.08283147290349006,82.83147290349007,133.2,133.2,42.8,942774681.6,0.87802734375,1.3149402005525155,0.3149402005525155
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,4,0,mean,1024,0.09061416685581207,90.61416685581207,153.0,153.0,60.2,1082916864.0,1.008544921875,1.697004757818736,0.6970047578187359
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,4,0,mean,2048,0.09986413735896349,99.86413735896349,159.4,159.4,66.0,1128215347.2,1.050732421875,1.8059377161605952,0.8059377161605952
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,4,0,mean,32,0.04127554707229138,41.275547072291374,67.4,11.8,11.8,83519078.4,0.077783203125,0.8190465913154498,-0.18095340868455023
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,4,0,mean,128,0.054786494374275206,54.78649437427521,97.2,52.6,52.6,372296908.8,0.346728515625,1.0277456800737754,0.027745680073775425
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,4,0,mean,512,0.07436581272631884,74.36581272631884,133.2,107.6,107.6,761580748.8,0.70927734375,1.2728284423759395,0.2728284423759395
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,4,0,mean,1024,0.08668519705533981,86.68519705533981,153.0,141.8,141.8,1003644518.4,0.934716796875,1.615514164368079,0.615514164368079
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,4,0,mean,2048,0.09764028005301953,97.64028005301952,159.4,153.2,153.2,1084332441.6,1.00986328125,1.77669727196971,0.7766972719697101
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,8,1,mean,32,0.5402583559975028,540.2583559975028,67.4,0.0,0.0,0.0,0.0,1.0392653799057239,0.039265379905723874
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,8,1,mean,128,0.04291476327925921,42.914763279259205,97.2,0.0,0.0,0.0,0.0,0.8097859720760928,-0.19021402792390718
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,8,1,mean,512,0.05245347302407026,52.45347302407026,133.2,0.0,0.0,0.0,0.0,0.8326929115254301,-0.16730708847456988
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,8,1,mean,1024,0.05326556824147701,53.26556824147701,153.0,0.0,0.0,0.0,0.0,0.9975473578821217,-0.002452642117878323
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,cold,8,1,mean,2048,0.06227961890399456,62.27961890399456,159.4,0.0,0.0,0.0,0.0,1.1262612956095088,0.12626129560950883
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,8,1,mean,32,0.038638943992555144,38.63894399255514,67.4,0.0,0.0,0.0,0.0,0.7667274600552981,-0.23327253994470187
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,8,1,mean,128,0.04241901636123657,42.41901636123657,97.2,0.0,0.0,0.0,0.0,0.7957428434900921,-0.20425715650990794
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,8,1,mean,512,0.04918946046382189,49.18946046382189,133.2,0.0,0.0,0.0,0.0,0.8419156874395461,-0.15808431256045385
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,8,1,mean,1024,0.053438182920217514,53.438182920217514,153.0,0.0,0.0,0.0,0.0,0.9959040800309954,-0.004095919969004602
M,proposed,172000,PPU-ZW810,PPU-ZW810,batch1_full_causal_prefill_to_first_output,warm,8,1,mean,2048,0.061970699764788154,61.97069976478815,159.4,0.0,0.0,0.0,0.0,1.1276408993743778,0.12764089937437784
