variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until,mean_abs_common_margin,mean_abs_slot_margin,load_entropy
R2P4_route_at_slot,dot_product,20260521,1600,route_at_slot,0,0.6707905761124943,0.9500000029802322,0.5,0.6172489156256612,3,1.0,3.6396898940438406e-05,0.8656395673751831,0.0557841882109642,0.07857616990804672,,,0.18043521866202356,0.20665332302451134,
R2P4_route_at_slot,dot_product,20260522,1600,route_at_slot,0,0.08852022993815487,0.9749999940395355,0.9750000238418579,0.0843304513508173,2,1.0,4.405579347803723e-05,0.8919563293457031,0.05336955189704895,0.05467415228486061,,,0.9430733695626259,0.34595988467335703,
R2P4_route_at_slot,dot_product,20260523,1600,route_at_slot,0,0.5764638946393464,0.9500000029802322,0.550000011920929,0.4963872478185681,2,1.0,3.569358204913442e-05,0.8030864596366882,0.10418751835823059,0.09272602945566177,,,0.2776296783238649,0.3793761100620031,
R2P4_route_at_slot,dot_product,20260524,1600,route_at_slot,0,0.47577344276570044,0.9249999821186066,0.675000011920929,0.5184451406789539,3,1.0,4.100053331228537e-05,0.8889418840408325,0.05908564105629921,0.0519724115729332,,,0.41963199600577356,0.32877440452575685,
R2P4_route_at_slot,dot_product,20260525,1600,route_at_slot,0,0.9057917190389749,0.9500000029802322,0.30000001192092896,0.9927376913498516,4,1.0,3.9061129336914745e-05,0.8899207711219788,0.04809869825839996,0.061980534344911575,,,0.0758372474461794,0.29945647716522217,
R2P4_route_at_slot,dot_product,20260526,1600,route_at_slot,0,0.5058030003437588,0.9000000059604645,0.6499999761581421,0.4670340228912328,2,1.0,4.0756821999821116e-05,0.8961701393127441,0.04823623597621918,0.055593717843294144,,,0.5340729206800461,0.3789888583123684,
R2P4_route_at_slot,dot_product,20260527,1600,route_at_slot,0,0.507369805899628,0.9000000059604645,0.6499999761581421,0.5319996953327298,3,1.0,4.187729127806961e-05,0.9422258734703064,0.029527146369218826,0.02824697457253933,,,0.6256896026432515,0.5577677261084318,
R2P4_route_at_slot,dot_product,20260528,1600,route_at_slot,0,0.304199313294813,0.8250000029802322,0.824999988079071,0.4100309752020329,3,1.0,3.327075301058357e-05,0.886753261089325,0.0596468523144722,0.05359994247555733,,,0.6881051793694496,0.5033823274075985,
R2P4_varied_b,dot_product,20260521,1600,varied_b,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,5.502772553427349e-05,0.9987770318984985,0.0007332623354159296,0.0004897610051557422,,,2.7220754861831664,0.126085002720356,
R2P4_varied_b,dot_product,20260522,1600,varied_b,0,0.026260685060528352,0.5,0.4375,0.7730898768177646,3,1.0,5.533615913009271e-05,0.9982699751853943,0.0012077454011887312,0.0005223391344770789,,,0.18519998155534267,0.5262143760919571,
R2P4_varied_b,dot_product,20260523,1600,varied_b,0,0.17452117117275687,0.5625,0.5625,0.6831573109678627,3,1.0,5.046671735726704e-05,0.9982605576515198,0.0011202194727957249,0.0006191906286403537,,,0.9204515814781189,0.6658463217318058,
R2P4_varied_b,dot_product,20260524,1600,varied_b,0,0.17712022268544642,0.4375,0.3125,0.9886084738939609,4,1.0,5.619516466595087e-05,0.9985217452049255,0.000855645164847374,0.0006225921679288149,,,0.2270805850625038,0.6209528870880604,
R2P4_varied_b,dot_product,20260525,1600,varied_b,0,1.0202301375871509e-12,0.5,0.5,0.5000000013739176,2,1.0,5.637471529098548e-05,0.9995154738426208,0.00028712957282550633,0.00019737175898626447,,,0.08820457011461258,0.10714404657483101,
R2P4_varied_b,dot_product,20260526,1600,varied_b,0,0.05454787271317307,0.5625,0.5625,0.7098683664299927,3,1.0,5.403089292030927e-05,0.9994021058082581,0.0003111449768766761,0.0002867958683054894,,,1.2569270431995392,0.48810555040836334,
R2P4_varied_b,dot_product,20260527,1600,varied_b,0,1.132695735916693e-12,0.75,0.75,0.40563905424694935,2,1.0,5.4094959409667354e-05,0.9996684193611145,0.00018335362256038934,0.00014824073878116906,,,1.7140687704086304,0.08900431171059608,
R2P4_varied_b,dot_product,20260528,1600,varied_b,0,0.12417335784243465,0.5625,0.4375,0.7730898768177646,3,1.0,4.2000273924713835e-05,0.9999526143074036,2.0687715732492507e-05,2.677513111848384e-05,,,0.508747048676014,0.7125205844640732,
R2P4_varied_filler,dot_product,20260521,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.622294407250593e-05,0.9994727969169617,0.00017817340267356485,0.00034897829755209386,,,2.2299875140190126,0.6357680499553681,
R2P4_varied_filler,dot_product,20260522,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.29069685765171e-05,0.9998520016670227,0.00010612147889332846,4.197806993033737e-05,,,2.0872433185577393,0.3966158777475357,
R2P4_varied_filler,dot_product,20260523,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.942805459473675e-05,0.9997407793998718,7.261263090185821e-05,0.0001866215607151389,,,1.923528015613556,0.6563516408205032,
R2P4_varied_filler,dot_product,20260524,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.119488587548403e-05,0.9996692538261414,0.00010843243944691494,0.0002223323826910928,,,2.0564104318618774,0.32844216376543045,
R2P4_varied_filler,dot_product,20260525,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.7380345395376936e-05,0.9987148642539978,0.00039917303365655243,0.0008859266526997089,,,2.0183539390563965,0.5125351212918758,
R2P4_varied_filler,dot_product,20260526,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.149513613356248e-05,0.9998862147331238,2.762079020612873e-05,8.617674757260829e-05,,,2.1497501134872437,0.5232688188552856,
R2P4_varied_filler,dot_product,20260527,1600,varied_filler,0,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.013769922721622e-05,0.9998343586921692,4.467309918254614e-05,0.00012100870662834495,,,1.9218677878379822,0.34170496836304665,
R2P4_varied_filler,dot_product,20260528,1600,varied_filler,0,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,3.589922031324022e-05,0.9992038607597351,0.00024302751990035176,0.0005530115449801087,,,1.2443898022174835,1.1771291866898537,
R2P4_original,dot_product,20260521,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.6396898940438406e-05,0.9999994039535522,2.826101024311356e-07,3.8508156308125763e-07,,,2.221108555793762,0.504953445866704,-0.0
R2P4_original,dot_product,20260522,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.405579347803723e-05,0.9998599886894226,8.263083873316646e-05,5.733241778216325e-05,,,2.822883129119873,0.37411462515592575,-0.0
R2P4_original,dot_product,20260523,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.569358204913442e-05,0.9996725916862488,0.00014652482059318572,0.00018092077516485006,,,2.3857175707817078,0.42556970566511154,-0.0
R2P4_original,dot_product,20260524,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.100053331228537e-05,0.9995688796043396,0.00020316206791903824,0.0002278818574268371,,,2.5746783018112183,0.3483858983963728,-0.0
R2P4_original,dot_product,20260525,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.9061129336914745e-05,0.9999834895133972,1.0051535355160013e-05,6.494194622064242e-06,,,2.1829118728637695,0.4702242836356163,-0.0
R2P4_original,dot_product,20260526,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,4.0756821999821116e-05,0.9949929118156433,0.0027646319940686226,0.002242500428110361,,,2.9637133538722993,0.4406752195209265,-0.0
R2P4_original,dot_product,20260527,1600,original,,0.6368979998637679,1.0,0.75,0.40563905424694935,2,1.0,4.187729127806961e-05,0.9999524354934692,1.7374397430103272e-05,3.01790041703498e-05,,,0.6390256285667419,1.1974967122077942,0.5623351335525513
R2P4_original,dot_product,20260528,1600,original,,1.000088900581841e-06,1.0,1.0,-0.0,1,1.0,3.327075301058357e-05,0.9999949932098389,1.4807454817855614e-06,3.4521196994319325e-06,,,2.7360517382621765,0.6861073598265648,-0.0
