metric,band,final_layer_reversal_pass,layer36_delta,layer35_delta,layers1_35_median_delta
raw,H,False,-27.11620851921035,-14.573059251755332,-0.02603908133223451
raw,M,False,2.586789914785337,3.11055728555119,0.016508201903308994
raw,T,False,3.1937293627744237,3.0776455356631667,0.01237281654674928
white,H,False,-0.038430653504586965,-0.0067352069985104675,-0.011879964861540217
white,M,False,0.026883921171214187,0.034095851807979596,0.026846162544535854
white,T,False,0.0873890778961129,0.09518555053710796,0.032511049712992665
