layer,D_coarse,D_coarse_ci_low,D_coarse_ci_high,D_fine,D_fine_ci_low,D_fine_ci_high,R,R_ci_low,R_ci_high
0,0.01542543713003397,2.3794411065262964e+26,2.3794411065262964e+26,9605423078565440.0,9.22641525182378e+61,9.22641525182378e+61,40.972841608433555,81.94568321686711,81.94568321686711
1,0.535843014717102,0.3513495402761227,0.7931144814459581,0.4555179476737976,0.21695056978133162,0.32949287409181016,-0.16240611712008687,-1.1717266466379817,-0.17701472045225547
2,0.5044248104095459,0.33580555778623983,0.7142154541113859,0.4891358017921448,0.24195742568544937,0.355954528463498,-0.030778626650028198,-0.9434760771497551,-0.044716385163688074
3,0.3578334152698517,0.22716810494721842,0.49258391689206266,0.37784624099731445,0.17103752629127605,0.2523947852037557,0.054419785387659375,-0.942132664337942,0.0029253099416405998
4,0.3101543188095093,0.21126076902195837,0.38816122137967224,0.29814714193344116,0.12055084463810674,0.18567811234103615,-0.03948284670693749,-1.053996579986676,-0.2547619177902105
5,0.30701950192451477,0.2122385120862351,0.3804601910752848,0.31646841764450073,0.1310353802738736,0.20227196289576108,0.030312180578241154,-0.9443623325248447,-0.15453232724228216
6,0.3404408395290375,0.23325233460732755,0.4273795444132589,0.3720686733722687,0.164350688482252,0.2539411392088197,0.08883707845755547,-0.815410595175106,-0.02752229763091138
7,0.4027184247970581,0.2765004696958723,0.5252804417424857,0.422025203704834,0.1907427117958379,0.3069268991357967,0.04682741670202976,-0.8620432532295085,-0.023697771757791933
8,0.41765686869621277,0.2596957126234718,0.6051960966115674,0.41616472601890564,0.18416521184289067,0.308717870910976,-0.0035790492344548804,-1.0365329662593323,0.004110592985157472
9,0.3819666802883148,0.23628561694786573,0.5416838948545006,0.38405007123947144,0.16449299972514173,0.27402449493186304,0.0054395575138087935,-1.0261889891098153,-0.01552255424862159
10,0.3493432402610779,0.21844999762019696,0.4790180269904378,0.34542110562324524,0.14339762785150803,0.23527965336926615,-0.01129066661766739,-1.0442265043066778,-0.09310936953626298
11,0.31392282247543335,0.19256045177092984,0.4281439945477624,0.30751439929008484,0.1219605368857829,0.19973242567539504,-0.020625254292711524,-1.0818164940186725,-0.14198761103181357
12,0.30136820673942566,0.1908697543868004,0.390119312349155,0.30894169211387634,0.12418643900148235,0.19808200995101796,0.02481976507353774,-0.988854359391702,-0.122801384472352
13,0.29904454946517944,0.18584550325320262,0.3927619230568104,0.30199623107910156,0.11974229554892299,0.19217319122911428,0.009821980267596295,-1.0199258490678864,-0.13053047701740775
14,0.2914573848247528,0.17345158645834538,0.3958472437163163,0.2884528338909149,0.11130298961150191,0.18137287721129206,-0.010362217189591544,-1.0886447317955397,-0.13408300696541278
