layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
12,eigen_floor_1e-06,0.02481976507353774,,,0.01913511997785817,-0.015297020101537825
12,eigen_floor_1e-05,0.02481976507353774,,,0.026355659194126767,-0.032115736610527246
12,eigen_floor_1e-04,0.02481976507353774,,,0.029338295093993945,-0.029133100710660262
12,calibration_half0_basis,0.02481976507353774,0.028019703437094933,-0.031466722970573596,,
12,calibration_half1_basis,0.02481976507353774,0.0298685622993048,-0.030450422640455357,,
12,wrong_layer_basis_30,0.02481976507353774,0.00863374007785823,-0.013923134769585666,,
13,length_template_bundle_residualized,0.40825646144688227,0.03224150659451503,0.013173519867912995,,
13,eigen_floor_1e-06,0.009821980267596295,,,0.0037556719669652747,-0.0014460320128265225
13,eigen_floor_1e-05,0.009821980267596295,,,0.014397496345332808,-0.004658506536437634
13,eigen_floor_1e-04,0.009821980267596295,,,0.030835477126114216,0.011779474244344255
13,calibration_half0_basis,0.009821980267596295,0.03787152993313474,-0.0006726915798718286,,
13,calibration_half1_basis,0.009821980267596295,0.04709688904124325,0.0018187177623716583,,
13,wrong_layer_basis_31,0.009821980267596295,0.02089222707289142,0.008336073505895292,,
14,length_template_bundle_residualized,0.393900932383225,0.018563414896190462,0.00984055517798856,,
14,eigen_floor_1e-06,-0.010362217189591544,,,-0.003975609836732069,0.0031002406414121254
14,eigen_floor_1e-05,-0.010362217189591544,,,0.005380403720923066,-0.005959244163534731
14,eigen_floor_1e-04,-0.010362217189591544,,,0.019096822383900428,0.007757174499442593
14,calibration_half0_basis,-0.010362217189591544,0.02629876828694929,-0.003601823975883881,,
14,calibration_half1_basis,-0.010362217189591544,0.02740078503942969,0.00043159726416399757,,
14,wrong_layer_basis_32,-0.010362217189591544,0.020676725370462314,0.00457220244234904,,
15,length_template_bundle_residualized,0.3986730246597738,0.010745450559146767,-0.0036752403011085406,,
15,eigen_floor_1e-06,0.007702859580413316,,,0.007842237098148262,-0.006942872979806696
15,eigen_floor_1e-05,0.007702859580413316,,,0.004412460287767532,-0.012551683865098372
