summary,layer_or_range,D_coarse,D_fine,R_log_fine_over_coarse,fine_over_coarse_ratio
registered_early_median,1-12,0.3535883277654648,0.37495745718479156,0.0009302541396769498,1.0009306869602599
registered_late_median,25-35,0.8252544403076172,1.2980353832244873,0.4523087589338512,1.5719372233184907
block_1,1,0.535843014717102,0.4555179476737976,-0.1624061171200868,0.8500958959300572
block_12,12,0.3013682067394256,0.3089416921138763,0.0248197650735377,1.0251303395815705
block_24,24,0.2427531331777572,0.2907808721065521,0.1805249525933611,1.1978460104719897
block_28,28,0.7096361517906189,0.937570571899414,0.2785396552891642,1.3211989968854463
block_30,30,0.8252544403076172,1.2980353832244873,0.452915405416237,1.5728911228161813
block_35,35,0.8712850213050842,1.5895655155181885,0.6012468393046229,1.8243921066578226
block_36,36,0.8225222229957581,1.513008952140808,0.6094801294713099,1.8394748613966763
