layer,draws,coarse_e_q05,coarse_e_q50,coarse_e_q95,fine_e_q05,fine_e_q50,fine_e_q95,fine_coarse_log_ratio_q05,fine_coarse_log_ratio_q50,fine_coarse_log_ratio_q95
0,256,,,,,,,,,
1,256,0.9223612695932388,0.9933190643787384,1.0724881291389465,0.9618567079305649,0.9979130327701569,1.0392776727676392,-0.06334829330444336,0.0022428681841120124,0.067820118740201
2,256,0.9291700720787048,1.0004961490631104,1.076225906610489,0.9670675992965698,1.0002124905586243,1.0304185450077057,-0.063786955550313,-0.001365586940664798,0.06433450430631638
3,256,0.9311650693416595,0.9948464334011078,1.0744777917861938,0.9679258763790131,0.9988923072814941,1.0330372750759125,-0.06317770108580589,-0.0008036484068725258,0.06871741078794003
4,256,0.9350956827402115,0.9958537518978119,1.0738902688026428,0.966020867228508,1.0003950595855713,1.0367156863212585,-0.0661931112408638,0.002924978150986135,0.05769391730427742
5,256,0.9300462007522583,0.9955608248710632,1.0675455331802368,0.9601148962974548,0.9992588758468628,1.0426068603992462,-0.06352715566754341,0.0012733550975099206,0.06446080841124058
6,256,0.9351022392511368,0.997277021408081,1.073308914899826,0.9635749608278275,0.9988186359405518,1.043504923582077,-0.056563603691756725,-0.0005605762416962534,0.060151902958750725
7,256,0.9300357550382614,0.9990111589431763,1.0716685950756073,0.9532832652330399,0.9974664449691772,1.036888986825943,-0.059537640772759914,-0.0006143987120594829,0.06089434400200844
8,256,0.9269432723522186,1.000594973564148,1.0830828249454498,0.9471690505743027,1.000403344631195,1.0497897267341614,-0.06443567015230656,0.0012340474058873951,0.06503620557487011
9,256,0.9234225153923035,0.9956055581569672,1.077942818403244,0.9483072757720947,0.9991661906242371,1.0468094646930695,-0.05854376871138811,0.0012637959443964064,0.06171496957540512
10,256,0.9189244210720062,0.9954236447811127,1.0777496695518494,0.9570352584123611,0.996732085943222,1.0405495166778564,-0.06252604071050882,0.0016113640740513802,0.06648579426109791
11,256,0.9250037670135498,0.9963296353816986,1.0639223158359528,0.9579052478075027,0.9932007491588593,1.0367551147937775,-0.05739588011056185,-0.00032334915158571675,0.05749651603400707
12,256,0.928767591714859,0.99847212433815,1.0718620121479034,0.9618637263774872,0.998310774564743,1.0387270152568817,-0.06281891744583845,0.0004144979902775958,0.060748049058020115
13,256,0.9318703413009644,0.9942534565925598,1.0628924071788788,0.9666015356779099,0.9960775971412659,1.0368589162826538,-0.05836301948875189,0.0035981691908091307,0.05551273934543133
14,256,0.9308788329362869,0.9999809861183167,1.0747020840644836,0.9614294022321701,0.9976316690444946,1.0404756963253021,-0.05679944343864918,0.0008570296631660312,0.05301060155034065
15,256,0.9362568557262421,0.9999057352542877,1.0684219002723694,0.9584168344736099,0.9991398453712463,1.033248782157898,-0.05563152302056551,0.001470258110202849,0.050627825781702995
16,256,0.9270025789737701,0.9994758069515228,1.0703329741954803,0.9570226967334747,0.9972495436668396,1.0356741845607758,-0.050549441017210484,-0.0002301016756973695,0.058841350488364697
17,256,0.9319559186697006,1.0016841292381287,1.0649125576019287,0.9608375281095505,0.9975756704807281,1.0308019518852234,-0.05453029368072748,-0.0028201492968946695,0.04978006146848202
18,256,0.9337285906076431,1.0010877847671509,1.0731156170368195,0.9620969146490097,0.9982291758060455,1.034170389175415,-0.05912524554878473,-0.004434505477547646,0.053894211538136005
19,256,0.9301825314760208,1.0001397728919983,1.0719592571258545,0.9639681875705719,1.0014113783836365,1.0366854071617126,-0.06033647060394287,-0.0007141210371628404,0.06160619109869003
20,256,0.9269216805696487,1.0035766959190369,1.0781221091747284,0.961533933877945,1.001069962978363,1.039933204650879,-0.05828928016126156,-0.0028151259757578373,0.05764778796583414
21,256,0.9230794906616211,0.9981113076210022,1.0869979560375214,0.960271880030632,1.0036370158195496,1.0474620461463928,-0.0619412949308753,-0.00030400398827623576,0.06193380802869797
22,256,0.9169950783252716,1.0085453391075134,1.0898175239562988,0.956535592675209,1.004180669784546,1.0456760227680206,-0.06870344653725624,-0.0015257011400535703,0.06587749719619751
23,256,0.9180026948451996,1.0075803995132446,1.0810270011425018,0.9575758576393127,1.0045800805091858,1.0450874865055084,-0.05482119042426348,-0.0045496781822294,0.0646491814404726
24,256,0.93941830098629,1.000991404056549,1.0911951065063477,0.9582980424165726,0.9986812174320221,1.0511780083179474,-0.06306679081171751,-0.00517621636390686,0.053693962283432484
25,256,0.9385975748300552,0.9985836744308472,1.0609334111213684,0.9658859819173813,0.9998534917831421,1.0342756509780884,-0.06007717177271843,-8.500966941937804e-05,0.06354378908872604
26,256,0.944989413022995,0.9992761015892029,1.0607161819934845,0.9672652333974838,0.9974686205387115,1.0357883870601654,-0.05385699309408665,0.0008507911988999695,0.05867724306881428
27,256,0.9400665014982224,0.9991609752178192,1.0628999173641205,0.9676538109779358,0.9986762404441833,1.0309416949748993,-0.05761237721890211,0.002072142029646784,0.06056924629956484
28,256,0.9384256154298782,0.9999275505542755,1.055168092250824,0.9717183113098145,1.000974178314209,1.029986560344696,-0.0540865296497941,0.0009416582761332393,0.06075872853398323
29,256,0.9433688819408417,1.0006675124168396,1.0608807802200317,0.9739578068256378,0.9997893571853638,1.0297754108905792,-0.05997611302882433,-0.0029935335041955113,0.05661154817789793
30,256,0.9321796000003815,1.0088415145874023,1.0635598301887512,0.9764422178268433,1.0011709928512573,1.0253542363643646,-0.06335717998445034,-0.003700457513332367,0.06827653013169765
31,256,0.9381026029586792,1.0072526931762695,1.059129685163498,0.9779572039842606,1.0015284419059753,1.0273878574371338,-0.05664534028619528,-0.004725966602563858,0.062417672015726566
32,256,0.9476875066757202,1.005996286869049,1.0621978342533112,0.97649747133255,1.0019745230674744,1.0244529247283936,-0.05876316223293543,-0.0048482781276106834,0.061658214777708054
33,256,0.939589649438858,1.0031690001487732,1.0650148391723633,0.978376492857933,1.0016443729400635,1.026819258928299,-0.05505457427352667,-0.003152658580802381,0.06126190349459648
34,256,0.9398737251758575,1.0032272338867188,1.0547857582569122,0.9784453213214874,1.0006629824638367,1.0264213681221008,-0.05403792019933462,-0.0033356386702507734,0.0656705442816019
35,256,0.9373182058334351,1.0022974014282227,1.0604329705238342,0.977321982383728,1.000144362449646,1.0248082876205444,-0.055252051912248135,-0.001969129196368158,0.07202741876244545
36,256,0.9427157789468765,1.0048695802688599,1.0596612393856049,0.9772560298442841,1.0007022619247437,1.0241385996341705,-0.05556969903409481,-0.0032683364115655422,0.060383159667253494
