seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median
20260623,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,4,nan,nan,,nan,nan,393216,0,0.9145503044128418,0.9145503044128418,0.08262555405783353,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.589054822921753,0.6435931921005249,1.666059970855713,1.8983378410339355,2.4395852088928223
20260623,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,8,nan,nan,,nan,nan,393216,0,0.8435211181640625,0.8435211181640625,0.15387412709996123,8.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.309683322906494,0.1956232488155365,1.769081473350525,1.9717761278152466,2.352942705154419
20260623,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,16,nan,nan,,nan,nan,393216,0,0.7221873998641968,0.7221873998641968,0.2755826777029634,16.0,1.0,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.75,0.0,0.0,3072,9216,0,0,2.1911754608154297,0.39157167077064514,1.1967518329620361,1.5089653730392456,2.3312149047851562
20260623,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,32,nan,nan,,nan,nan,393216,0,0.5334233641624451,0.5334233641624451,0.4649296293191819,32.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.479627847671509,0.9465392231941223,0.8954005241394043,1.2016234397888184,3.0981452465057373
20260623,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.988085750490427,0.9846604193250338,nan,1.9150899251302083,0.47877248128255206,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.0,0.5,3072,3072,0,6144,2.1797382831573486,0.32738539576530457,1.3493711948394775,1.601890206336975,2.261641502380371
20260623,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9158260971307755,0.912795701995492,nan,3.8707784016927085,0.48384730021158856,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.5,0.0,3072,3072,6144,0,2.18700909614563,0.808127224445343,0.500735878944397,0.7859206795692444,2.480973958969116
20260623,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.79706871509552,0.7931669118503729,nan,7.943868001302083,0.4964917500813802,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.0,0.5,3072,3072,0,6144,1.9649944305419922,0.4401385486125946,1.2198560237884521,1.3890231847763062,1.885297179222107
20260623,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.6050253957509995,0.5990457218140364,nan,16.134808858235676,0.5042127768198649,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.5,0.0,3072,3072,6144,0,2.1808178424835205,0.5638878345489502,1.1077803373336792,1.373477578163147,2.193063259124756
20260623,sae_l1_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,l1,nan,0.0001,65536,10,0.013586027664132416,0.012656300008529797,nan,258.67170969645184,0.5052181830008825,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.0,0.25,9216,0,0,3072,1.8507075309753418,0.4296741485595703,0.7839177846908569,1.0876336097717285,2.0032856464385986
20260623,sae_topk_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,topk,8,nan,65536,10,0.1314397882670164,0.12718680376807848,nan,8.0,0.015625,0.5944996792844802,0.00010827032991343459,0.03589249511220793,0.9149576822916666,2.0,1.6598308086395264,0.6649577021598816,4,0.6386821245024505,0.035888671875,0.6649577021598816,0.25,0.0491536445915699,441,8171,3072,604,1.0026183128356934,1.305058240890503,3.540515899658203e-05,0.02361878752708435,0.3621619939804077
