seed,pool,cluster,position,count,fraction,cluster_total
20260623,all_position,3,6,3285,0.04067708462319523,80758
20260623,all_position,3,7,2316,0.028678273359914807,80758
20260623,all_position,3,8,1945,0.02408430124569702,80758
20260623,all_position,3,9,1962,0.024294806706456326,80758
20260623,all_position,3,10,1282,0.015874588276084102,80758
20260623,all_position,3,11,3324,0.041160008915525396,80758
20260623,all_position,3,12,3305,0.04092473810644147,80758
20260623,all_position,3,13,4446,0.05505336932563956,80758
20260623,all_position,3,14,3323,0.04114762624136308,80758
20260623,all_position,3,15,2334,0.028901161494836423,80758
20260623,all_position,3,16,1968,0.0243691027514302,80758
20260623,all_position,3,17,1891,0.023415636840932168,80758
20260623,all_position,3,18,1301,0.016109859085168033,80758
20260623,all_position,3,19,3389,0.04196488273607568,80758
20260623,all_position,3,20,3329,0.041221922286336955,80758
20260623,all_position,3,21,4372,0.054137051437628474,80758
20260623,all_position,3,22,3380,0.04185343866861487,80758
20260623,all_position,3,23,2245,0.02779910349439065,80758
20260623,all_position,3,24,1963,0.024307189380618637,80758
20260623,all_position,3,25,1876,0.023229896728497488,80758
20260623,all_position,3,26,1887,0.02336610614428292,80758
20260623,all_position,3,27,1964,0.02431957205478095,80758
20260623,all_position,3,28,1970,0.02439386809975482,80758
20260623,all_position,3,29,1949,0.02413383194234627,80758
20260623,all_position,3,30,1880,0.023279427425146736,80758
20260623,all_position,3,31,1969,0.02438148542559251,80758
20260623,route_only,0,5,1024,0.3333333333333333,3072
20260623,route_only,0,13,1024,0.3333333333333333,3072
20260623,route_only,0,21,1024,0.3333333333333333,3072
20260623,route_only,1,5,1024,0.3333333333333333,3072
20260623,route_only,1,13,1024,0.3333333333333333,3072
20260623,route_only,1,21,1024,0.3333333333333333,3072
20260623,route_only,2,5,1024,0.3333333333333333,3072
20260623,route_only,2,13,1024,0.3333333333333333,3072
20260623,route_only,2,21,1024,0.3333333333333333,3072
20260623,route_only,3,5,1024,0.3333333333333333,3072
20260623,route_only,3,13,1024,0.3333333333333333,3072
20260623,route_only,3,21,1024,0.3333333333333333,3072
20260623,slot_offset_3,0,5,1024,0.3333333333333333,3072
20260623,slot_offset_3,0,13,1024,0.3333333333333333,3072
20260623,slot_offset_3,0,21,1024,0.3333333333333333,3072
20260623,slot_offset_3,1,5,1024,0.3333333333333333,3072
20260623,slot_offset_3,1,13,1024,0.3333333333333333,3072
20260623,slot_offset_3,1,21,1024,0.3333333333333333,3072
20260623,slot_offset_3,2,5,1024,0.3333333333333333,3072
20260623,slot_offset_3,2,13,1024,0.3333333333333333,3072
20260623,slot_offset_3,2,21,1024,0.3333333333333333,3072
20260623,slot_offset_3,3,5,1024,0.3333333333333333,3072
20260623,slot_offset_3,3,13,1024,0.3333333333333333,3072
20260623,slot_offset_3,3,21,1024,0.3333333333333333,3072
20260623,selector_stability_top1_position,0,11,1024,1.0,1024
20260623,selector_stability_top1_position,1,11,2048,1.0,2048
20260623,selector_stability_top1_position,2,11,8192,1.0,8192
20260623,selector_stability_top1_position,3,11,1024,1.0,1024
20260623,selector_stability_top3_positions,0,11,1075,0.20417853751187084,5265
20260623,selector_stability_top3_positions,0,13,3124,0.5933523266856601,5265
20260623,selector_stability_top3_positions,0,14,1066,0.20246913580246914,5265
20260623,selector_stability_top3_positions,1,11,8141,0.31981928894126893,25455
20260623,selector_stability_top3_positions,1,13,8140,0.31978000392850126,25455
20260623,selector_stability_top3_positions,1,14,9174,0.3604007071302298,25455
20260623,selector_stability_top3_positions,2,11,2048,1.0,2048
20260623,selector_stability_top3_positions,3,11,1024,0.25,4096
20260623,selector_stability_top3_positions,3,13,1024,0.25,4096
20260623,selector_stability_top3_positions,3,14,2048,0.5,4096
20260623,selector_stability_threshold_positions,0,7,1024,0.3333333333333333,3072
20260623,selector_stability_threshold_positions,0,13,1024,0.3333333333333333,3072
20260623,selector_stability_threshold_positions,0,15,1024,0.3333333333333333,3072
20260623,selector_stability_threshold_positions,1,7,2048,0.5,4096
20260623,selector_stability_threshold_positions,1,15,2048,0.5,4096
20260623,selector_stability_threshold_positions,2,7,8153,0.17371942384726838,46932
20260623,selector_stability_threshold_positions,2,11,10208,0.21750617915281684,46932
20260623,selector_stability_threshold_positions,2,13,10214,0.21763402369385493,46932
20260623,selector_stability_threshold_positions,2,14,10206,0.21746356430580413,46932
20260623,selector_stability_threshold_positions,2,15,8151,0.1736768090002557,46932
20260623,selector_stability_threshold_positions,3,7,1063,0.14482288828337875,7340
20260623,selector_stability_threshold_positions,3,11,2080,0.28337874659400547,7340
20260623,selector_stability_threshold_positions,3,13,1050,0.14305177111716622,7340
20260623,selector_stability_threshold_positions,3,14,2082,0.28365122615803817,7340
20260623,selector_stability_threshold_positions,3,15,1065,0.14509536784741145,7340
20260623,pca_q4,0,0,3012,0.034102488621181586,88322
