seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction
20260623,all_position,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.0,0.0,0.75,3072,0,0,9216,2.297618865966797,0.6131059527397156,1.2025604248046875,1.4260873794555664,2.328941822052002,,,,,,,,,,,,,,
20260623,route_only,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.959787368774414,0.26052263379096985,5.4997382164001465,5.657186508178711,5.881832599639893,,,,,,,,,,,,,,
20260623,slot_offset_3,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.959787368774414,0.26052263379096985,5.4997382164001465,5.657186508178711,5.881832599639893,,,,,,,,,,,,,,
20260623,selector_stability_top1_position,12288,False,11,0.9182958602905273,0.0,0.3333333333333333,0.0,0.6666666666666666,0.856101083640877,2.0678097399342034e-06,5.039584892752246e-06,0.9981282552083334,3.0,1.0,0.4982096254825592,3,0.7508886364178846,0.4982096254825592,0.0,0.251708984375,0.2500813901424408,6122,0,3093,3073,0.4251910448074341,0.2314712107181549,0.0005635917186737061,0.15027040243148804,0.35412395000457764,,,,,,,,,,,,,,
20260623,selector_stability_top3_positions,36864,False,11 13 14,1.4466166496276855,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.0,0.25,9216,0,0,3072,3.0491559505462646,0.3393334150314331,2.4124441146850586,2.6402292251586914,2.943281650543213,,,,,,,,,,,,,,
20260623,selector_stability_threshold_positions,61440,False,11 13 14 15 7,1.5589385032653809,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.5,0.25,3072,0,6144,3072,2.664349317550659,0.43630272150039673,1.6609781980514526,1.8836913108825684,2.8451554775238037,,,,,,,,,,,,,,
20260623,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.589054822921753,0.6435931921005249,1.666059970855713,1.8983378410339355,2.4395852088928223,pca,4,nan,nan,,nan,nan,393216,0,0.9145503044128418,0.9145503044128418,0.08262555405783353,4.0,1.0
20260623,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.309683322906494,0.1956232488155365,1.769081473350525,1.9717761278152466,2.352942705154419,pca,8,nan,nan,,nan,nan,393216,0,0.8435211181640625,0.8435211181640625,0.15387412709996123,8.0,1.0
20260623,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.75,0.0,0.0,3072,9216,0,0,2.1911754608154297,0.39157167077064514,1.1967518329620361,1.5089653730392456,2.3312149047851562,pca,16,nan,nan,,nan,nan,393216,0,0.7221873998641968,0.7221873998641968,0.2755826777029634,16.0,1.0
20260623,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.479627847671509,0.9465392231941223,0.8954005241394043,1.2016234397888184,3.0981452465057373,pca,32,nan,nan,,nan,nan,393216,0,0.5334233641624451,0.5334233641624451,0.4649296293191819,32.0,1.0
