layer,a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0,0_1,0_1,0.971128102796242,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,1_2,0.0030462343463651836,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,2_5,0.0020857866694922404,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,5_10,0.001536565843383084,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,10_20,0.00273792570264993,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,20_50,0.0067849352236462185,0.0878615528345108,0.06883539631962776,0.2109375
0,0_1,50_100,0.012679867629358474,0.0878615528345108,0.06883539631962776,0.2109375
0,1_2,0_1,0.005546869066080224,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,1_2,0.8828501002716836,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,2_5,0.09179335763429818,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,5_10,0.0024625551223831517,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,10_20,0.002540018201314803,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,20_50,0.005759536068094087,0.10163062065839767,0.09474210487678647,0.203125
0,1_2,50_100,0.009047331145022739,0.10163062065839767,0.09474210487678647,0.203125
0,2_5,0_1,0.0010232036801424602,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,1_2,0.04448085714277663,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,2_5,0.9082237733230283,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,5_10,0.026115034981489614,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,10_20,0.00393540437243728,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,20_50,0.006816559837359228,0.10297887027263641,0.09499178733676672,0.236328125
0,2_5,50_100,0.009405056126687454,0.10297887027263641,0.09499178733676672,0.236328125
0,5_10,0_1,0.00041207344447621516,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,1_2,0.0005284405245668877,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,2_5,0.02496462569585095,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,5_10,0.9178773949175044,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,10_20,0.03389493664988302,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,20_50,0.010521329350564016,0.12934069335460663,0.12708302587270737,0.28125
0,5_10,50_100,0.011801160655674593,0.12934069335460663,0.12708302587270737,0.28125
0,10_20,0_1,0.0003005143862406452,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,1_2,0.000273360254275424,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,2_5,0.0013115876705915217,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,5_10,0.027791251455281166,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,10_20,0.906772839689324,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,20_50,0.04683323626866515,0.1286020576953888,0.13457241049036384,0.279296875
0,10_20,50_100,0.016717120455012124,0.1286020576953888,0.13457241049036384,0.279296875
0,20_50,0_1,0.0002363183827607931,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,1_2,0.00019751216716821276,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,2_5,0.0007531420331024714,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,5_10,0.0021238393318893456,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,10_20,0.03723105747793708,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,20_50,0.9136066740719282,0.06830966472625732,0.07011494983453304,0.283203125
0,20_50,50_100,0.04585147894490918,0.06830966472625732,0.07011494983453304,0.283203125
0,50_100,0_1,0.00022461288288882375,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,1_2,0.00017489247502382237,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,2_5,0.0005954459001685345,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,5_10,0.0012229697187693543,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,10_20,0.00364221441607529,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,20_50,0.2005081248432041,-0.014049815945327282,-0.016103634843602777,0.12890625
0,50_100,50_100,0.7936318369348669,-0.014049815945327282,-0.016103634843602777,0.12890625
1,0_1,0_1,0.12511458692175095,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,1_2,0.043182379830850395,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,2_5,0.07869658533618004,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,5_10,0.13281854899764545,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,10_20,0.17530832014779266,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,20_50,0.22870584221387488,0.5338621735572815,0.44748879969120026,0.419921875
1,0_1,50_100,0.21617388119061962,0.5338621735572815,0.44748879969120026,0.419921875
1,1_2,0_1,0.0384331015336926,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,1_2,0.03603118909628727,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,2_5,0.07704564990329556,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,5_10,0.08489689647632848,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,10_20,0.1771023079955351,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,20_50,0.3233349636886776,0.4823031723499298,0.4749555788002908,0.26953125
1,1_2,50_100,0.2631560129572004,0.4823031723499298,0.4749555788002908,0.26953125
1,2_5,0_1,0.010243510252930592,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,1_2,0.014746927596331016,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,2_5,0.05876598914056614,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,5_10,0.07904648892848551,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,10_20,0.16049696995328874,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,20_50,0.3695294567751684,0.42138636112213135,0.42507515545003116,0.474609375
1,2_5,50_100,0.30717067664731906,0.42138636112213135,0.42507515545003116,0.474609375
1,5_10,0_1,0.005624127961723806,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,1_2,0.00567586963774509,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,2_5,0.026482676012509424,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,5_10,0.049648568996579684,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,10_20,0.11455244143716634,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,20_50,0.38643022377506253,0.36885547637939453,0.3776133628562093,0.373046875
1,5_10,50_100,0.4115861359498813,0.36885547637939453,0.3776133628562093,0.373046875
1,10_20,0_1,0.005152530944588694,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,1_2,0.004570954746827248,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,2_5,0.016069891511219223,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,5_10,0.03426570306616571,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,10_20,0.08846437303841803,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,20_50,0.3350755827714351,0.29063576459884644,0.29514802247285843,0.28125
1,10_20,50_100,0.5164009524946027,0.29063576459884644,0.29514802247285843,0.28125
1,20_50,0_1,0.006030331197760547,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,1_2,0.005614182029593558,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,2_5,0.017284796230462952,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,5_10,0.03409114002911935,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,10_20,0.08430432152924475,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,20_50,0.2980223721932361,0.1319219172000885,0.13237482417025603,0.119140625
1,20_50,50_100,0.5546527957356739,0.1319219172000885,0.13237482417025603,0.119140625
1,50_100,0_1,0.008928172157702944,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,1_2,0.008577235223117492,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,2_5,0.027498481838999025,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,5_10,0.04766895682115555,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,10_20,0.09504664420391709,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,20_50,0.28700408933841887,-0.10192204266786575,-0.10125342704122886,0.02734375
1,50_100,50_100,0.525276457210623,-0.10192204266786575,-0.10125342704122886,0.02734375
2,0_1,0_1,0.5619672125162112,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,1_2,0.027238908564786866,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,2_5,0.04467274025001653,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,5_10,0.04864054993049195,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,10_20,0.06371068073904813,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,20_50,0.1113805742419192,0.5108086466789246,0.40679699182510376,0.4140625
2,0_1,50_100,0.14238897072081996,0.5108086466789246,0.40679699182510376,0.4140625
2,1_2,0_1,0.045573527214799986,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,1_2,0.04471355999189094,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,2_5,0.08527711041756461,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,5_10,0.11813295178399684,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,10_20,0.18758968903387827,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,20_50,0.28723788763946034,0.48957931995391846,0.48017924930900335,0.33203125
2,1_2,50_100,0.23147523943588927,0.48957931995391846,0.48017924930900335,0.33203125
2,2_5,0_1,0.013777492231772206,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,1_2,0.03261839727729855,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,2_5,0.09339259878570663,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,5_10,0.08959879559535033,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,10_20,0.16114163028444206,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,20_50,0.31892468776218214,0.43259936571121216,0.43709133146330714,0.4375
2,2_5,50_100,0.29054628165074053,0.43259936571121216,0.43709133146330714,0.4375
2,5_10,0_1,0.008054063884000083,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,1_2,0.01137497803621434,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,2_5,0.04934546382805131,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,5_10,0.08820851895889403,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,10_20,0.1293575843562962,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,20_50,0.34200790573409423,0.33261486887931824,0.33166859205812216,0.3828125
2,5_10,50_100,0.3716513776874151,0.33261486887931824,0.33166859205812216,0.3828125
