band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
0_1,0.8758213700621587,0.10397969862933751,0.883654520182338,0.04386792479718735,0.9561320752028128,0.012374145955214494,0.048271307273470274,0.9517286870695544,0.9495291888280538,0.5958827026188374,0.1349615332936602,0.4609211693251772,0.49930245535714285,0.5544930273400885,0.21934300388342567,0.3351500234566629,0.49142020089285715
1_2,0.01064326949885958,0.03163520678095227,0.014462366933550448,0.06839845342479019,0.93160154657521,0.13645868754678134,0.1295349321423552,0.87046510018316,0.8110026988853328,0.5971138394836869,0.0289224235540522,0.5681914159296346,0.49086216517857145,0.40616868569382597,0.009727943611453935,0.39644074208237207,0.3594447544642857
2_5,0.02026927838001878,0.062479493142626054,0.02716256170987087,0.06831022581820854,0.9316897741817914,0.10996664749678027,0.11724516176530818,0.8827548216550289,0.6778613300940266,0.5593551309513194,0.021619320747309496,0.53773581020401,0.5966099330357143,0.34149069605129106,7.04633369293463e-05,0.3414202327143617,0.37388392857142855
5_10,0.019510095352561065,0.07419523466659128,0.024920785296542514,0.0758997351946845,0.9241002648053155,0.09303070525359272,0.11603114252995649,0.8839688674239924,0.5724746899334596,0.5327835913215365,0.023638633279395953,0.5091449580421405,0.6540178571428571,0.30735091120004654,0.000812331749979681,0.30653857945006685,0.32400948660714285
10_20,0.02197824499469454,0.12812116015963634,0.02495784454000971,0.10517165961479609,0.8948283403852039,0.06751723856338752,0.13169265513676548,0.8683073359617531,0.5186853832658105,0.5124546539570604,0.023233200805926963,0.48922145315113347,0.7237723214285714,0.2896186645541872,-0.0038707194450710502,0.2934893839992583,0.26736886160714285
20_50,0.028623059335004673,0.27481502616005743,0.02194495296163126,0.1819954502987728,0.8180045497012273,-0.11024640028225745,0.14652958445926095,0.8534704191952823,0.5452133986607806,0.47348402972732273,0.02364052416357611,0.4498435055637466,0.8070591517857143,0.16127573060137884,-0.0018418486264896014,0.16311757922786846,0.11167689732142858
50_100,0.023151274685693213,0.3247741990402102,0.0028935645078961977,0.38339727205758833,0.6166027279424117,-2.3328331504647437,0.15917948685432673,0.8408205500103553,0.7941038921852731,0.4511581174364047,0.024725796862704947,0.4264323205736998,0.8312639508928571,-0.10437545951988016,-0.0011886649211062053,-0.10318679459877396,0.024762834821428572
