layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
0,0_1,0.011752391019567376,0.2278280593099772,0.2247054983077221,0.998476384477378,0.0015236155226220807,0.00634084844316809,0.9953156399277054,0.004684378757560683,25.59948358810796,0.09144757688045502,0.018880559131503105,0.07256701774895191,0.216796875,0.0931171253323555,0.01954631693661213,0.07357080839574337,0.21875
0,1_2,0.009964676539861675,0.09504758277056347,0.0950871956966268,0.9969083101888342,0.003091689811165804,0.018827165637040243,0.9875530169811287,0.012447065127366756,17.956829158060035,0.107428640127182,0.004035317339003086,0.10339332278817892,0.21875,0.1129128709435463,0.0032459013164043427,0.10966696962714195,0.212890625
0,2_5,0.03188772589177142,0.18961636028116827,0.19020214239125907,0.9950499317648397,0.0049500682351602855,0.01961368657764674,0.985340219315653,0.014659822644788306,14.178061123939784,0.10361089557409286,0.007368863560259342,0.09624203201383352,0.220703125,0.10504016280174255,0.007404432166367769,0.09763573063537478,0.2265625
0,5_10,0.05179647971337494,0.17109933121224952,0.17525186962133427,0.9911243807969361,0.008875619203063866,0.03608392820738031,0.9734026886091859,0.02659731614281154,10.56731732987186,0.12844106554985046,0.004299101885408163,0.1241419636644423,0.287109375,0.12862078845500946,0.00366595177911222,0.12495483667589724,0.291015625
0,10_20,0.10834105006348561,0.16170302308911821,0.17050886518245376,0.9805656444672504,0.019434355532749633,0.05359671468256668,0.9548088919631309,0.04519109501238212,7.1031872721335345,0.12025938928127289,-0.005461681168526411,0.1257210704497993,0.28515625,0.11981801688671112,-0.0068366085179150105,0.12665462540462613,0.279296875
0,20_50,0.3001319388236558,0.13103903392160607,0.13405660571111985,0.9365459713563327,0.06345402864366735,-0.02132770959038018,0.9458564524509858,0.054143499921576244,3.841801748529704,0.07134795188903809,-0.0011946950107812881,0.07254264689981937,0.287109375,0.06520621478557587,-0.0005193672841414809,0.06572558206971735,0.267578125
0,50_100,0.486125728358312,0.02366645509085535,0.010187705387587991,0.6220365153614326,0.3779634846385675,-2.6544556715175385,0.9459769678967909,0.0540229231095541,1.2828710884875771,0.003481728956103325,0.002602325053885579,0.0008794039022177458,0.22265625,-0.014400549232959747,0.0014196442207321525,-0.0158201934536919,0.123046875
1,0_1,0.1933655840559518,0.04844825088233908,0.2024976129731923,0.028175837329164035,0.9718241626708359,0.13011363956710917,0.0895666008829967,0.9104335592906435,0.17027252222477743,0.4805934727191925,0.10141614824533463,0.3791773244738579,0.29296875,0.16030454635620117,0.023484408855438232,0.13682013750076294,0.203125
1,1_2,0.08872494204905536,0.02284624632495914,0.09310390567336367,0.028933975232740706,0.9710660247672593,0.1311994744694529,0.0907375908786031,0.9092624352492856,0.17261545324445268,0.517767071723938,0.07793159782886505,0.43983547389507294,0.341796875,0.11867478489875793,0.02404797077178955,0.09462681412696838,0.20703125
1,2_5,0.17755420674070818,0.053562322158079566,0.1865478835259619,0.033730060120125936,0.9662699398798741,0.12796643811551148,0.09339696313591436,0.9066030252728597,0.1868354675142632,0.4906936287879944,0.047552790492773056,0.44314083829522133,0.44140625,0.1354321837425232,0.002693325513973832,0.13273885822854936,0.271484375
1,5_10,0.16525925866872507,0.08316275945649163,0.1728169697937577,0.055026625245776936,0.944973374754223,0.10411790040857803,0.10135631945140956,0.8986436930607798,0.24131074097772423,0.4919896721839905,0.04436957836151123,0.44762009382247925,0.54296875,0.13548927009105682,0.0022938624024391174,0.1331954076886177,0.30078125
1,10_20,0.1658012518248158,0.14486741526530625,0.17344691376237287,0.09182149129934959,0.9081785087006504,0.06816075674745185,0.11964325420872365,0.8803568205917536,0.31797030302987395,0.4812755882740021,0.029919764026999474,0.4513558242470026,0.59765625,0.1258220672607422,-0.006214306689798832,0.13203637395054102,0.294921875
1,20_50,0.159424869798933,0.31173802689375946,0.15311080848644684,0.1845178500839819,0.8154821499160181,-0.1303859823628263,0.14338341047271305,0.8566166460175811,0.4756767923534967,0.4172409176826477,0.0142752630636096,0.4029656546190381,0.71484375,0.05183059722185135,0.0016937743639573455,0.050136822857894,0.212890625
1,50_100,0.049869877091943515,0.3353750977492058,0.018475888486355493,0.43762874697596954,0.5623712530240305,-3.2491381570323763,0.2349760313091025,0.7650242027601446,0.8821478192205311,0.3490126132965088,0.011526323854923248,0.33748628944158554,0.62109375,-0.027233988046646118,-7.742909656371921e-05,-0.0271565589500824,0.099609375
2,0_1,0.19026546204140563,0.2788889554041072,0.24065392593272916,0.19271698310629692,0.8072830168937031,0.2071568799743093,0.2563727699300784,0.743627208146524,0.4885928261728768,0.4331534206867218,0.1109042689204216,0.3222491517663002,0.236328125,0.21314555406570435,0.025158625096082687,0.18798692896962166,0.240234375
2,1_2,0.08963807463013862,0.024233162455026196,0.09202760225976186,0.04217234613866964,0.9578276538613304,0.17674751032572442,0.12309224774354457,0.8769078382516062,0.20983126334126573,0.42292672395706177,0.0819534882903099,0.34097323566675186,0.2890625,0.15426340699195862,0.01432804111391306,0.13993536587804556,0.2421875
2,2_5,0.17651681981517073,0.05273081796698405,0.18210736536362196,0.046394854413591514,0.9536051455864085,0.17712078885411775,0.12673775243582083,0.8732621787564995,0.2205721189030689,0.3909536898136139,0.039129648357629776,0.3518240414559841,0.443359375,0.15634122490882874,0.005181459244340658,0.15115976566448808,0.291015625
2,5_10,0.16082559787665404,0.06558951295280724,0.1644960486920536,0.06228358019655447,0.9377164198034456,0.15593825031768727,0.13054031533308572,0.8694597247586956,0.2577217217347656,0.43997159600257874,0.051869023591279984,0.38810257241129875,0.54296875,0.15582774579524994,0.00804554857313633,0.1477821972221136,0.333984375
2,10_20,0.16134807422659944,0.10216045919616822,0.15825933564878675,0.09348010793673239,0.9065198920632676,0.08953506122309915,0.1298778796745925,0.8701219953102307,0.3211226457868421,0.43232160806655884,0.03835665434598923,0.3939649537205696,0.666015625,0.13512420654296875,-0.004547678399831057,0.1396718849427998,0.3046875
2,20_50,0.16368334864940026,0.21887223838684305,0.14230197707214903,0.17883057248055115,0.8211694275194489,-0.13398369379113276,0.13579912613954154,0.8642009850876908,0.46666421289868965,0.3933148980140686,0.013455399312078953,0.37985949870198965,0.751953125,0.05652184039354324,-0.00117822817992419,0.05770006857346743,0.205078125
2,50_100,0.057722407696148975,0.2575246585608447,0.020153497061168285,0.4208280720843962,0.5791719279156038,-3.003433093037764,0.18304048374307144,0.8169595162569285,0.8524101244584,0.3372710347175598,0.018094271421432495,0.3191767632961273,0.744140625,-0.03397916629910469,0.0011169600766152143,-0.035096126375719905,0.0625
