metric,statistic,attention_fixed,mlp_fixed,attention_random_q95,mlp_random_q95,attention_minus_mlp_calibrated,paired_bootstrap_low,paired_bootstrap_high,winner
coarse,mean,-0.009948925176545994,-0.0051275015554762965,,,-0.0048214236210696974,-0.0379271293990314,0.02417518547736106,indistinguishable
coarse,median,-0.02205103635787964,-0.003115256899036467,-0.011015926906839014,-0.0006503064825665286,-0.008570159034570686,-0.038611273653805255,0.012865639827214165,indistinguishable
coarse,maximum,3.221403121948242,0.8774402737617493,1.2155173122882843,0.964523309469223,2.0929688453674316,1.6484601974487305,2.4370786249637604,attention
fine,mean,-0.09045472732416654,-0.012028420888688223,,,-0.07842630643547832,-0.07841049656271934,-0.029063968081027302,mlp
fine,median,-0.06726424023509026,-0.012501936871558428,-0.0005569613189436503,-0.0060219089034944774,-0.060227250948082664,-0.06643063817173242,-0.027428422681987294,mlp
fine,maximum,1.0454167127609253,0.6236433386802673,0.5893171101808546,0.7315307229757309,0.5639869868755342,0.2786558657884598,0.8933040887117382,attention
fine_relative,mean,-0.08050581163926317,-0.006900913447939924,,,-0.07360489819132324,-0.08895699270069599,-0.005236139788758014,mlp
fine_relative,median,-0.02613861858844757,-0.007020175457000732,0.021190296486020072,0.0020920794457197165,-0.03821666017174719,-0.04807079313322902,0.01514050576370208,indistinguishable
fine_relative,maximum,2.544071674346924,0.9454307556152344,1.4081509053707122,1.1056809306144715,1.2961709439754487,0.18665850162506104,1.5739945352077478,attention
