layer,D_coarse,D_coarse_ci_low,D_coarse_ci_high,D_fine,D_fine_ci_low,D_fine_ci_high,R,R_ci_low,R_ci_high
1,0.315656840801239,0.21020607074356448,0.402382154004903,0.38010111451148987,0.1720707021662072,0.2536938267060631,0.18578163145635548,-0.7113428215420754,0.073499810759522
2,0.4191405177116394,0.28147935060393053,0.5497180312984672,0.4642130136489868,0.2278588143997091,0.32636504188084253,0.10213729985384244,-0.7471593692615058,0.03996168861561697
3,0.2248336225748062,0.14220838187717777,0.26177585147347887,0.31642940640449524,0.13326160473851287,0.1971254618734428,0.34173949872106724,-0.5693788089388527,0.20707753472701024
4,0.2445424497127533,0.17205639498484704,0.28725510599651816,0.21779143810272217,0.07447729056363513,0.12007082335214145,-0.11585101339901639,-1.2234836817583539,-0.4810425849458714
5,0.33554142713546753,0.23914202185653477,0.4023014307939834,0.3847523033618927,0.17229339042464994,0.26287706926167514,0.13685433176356604,-0.7192037953396954,-0.012460657092066063
6,0.40912654995918274,0.2861164397896719,0.5159177282696804,0.4411754608154297,0.20883838066194874,0.31547293072718435,0.07541814535963146,-0.7930448270654775,-0.008461606679142808
7,0.41249462962150574,0.28632993321640243,0.5231961985103378,0.4670259654521942,0.21397159914657093,0.3602509163645179,0.12416167007266857,-0.7528850792352066,0.09237446048035539
8,0.4211421608924866,0.28357890013524234,0.5632706153084845,0.4399459958076477,0.20012614160650488,0.32280283762442513,0.04368153156654561,-0.9094348948158093,-0.017498527081948614
9,0.31527385115623474,0.19719984730018525,0.41598253235400484,0.3573578894138336,0.15134603217314438,0.24299820541186967,0.12529614108258139,-0.8526859104581381,0.05694457247415663
10,0.2046293020248413,0.13139029833817917,0.23923516867812944,0.2415502816438675,0.08887597186233613,0.13781845251280825,0.16587759756975898,-0.8537823865984326,-0.09087760996721395
11,0.2681947946548462,0.18186350626693193,0.31084220409674984,0.3622770309448242,0.16115894464682273,0.237210023110366,0.3006956357888569,-0.5224660024944457,0.1488885971450204
12,0.3442831337451935,0.24548356670480453,0.44323963122850485,0.39788052439689636,0.18519599729618513,0.26719781872292414,0.14468738820548044,-0.7358598694336018,-0.013188927282671459
13,0.32300087809562683,0.20658894060091748,0.4313617534192601,0.35876262187957764,0.15667040484537112,0.23930023465695244,0.10500590761324166,-0.855072685361979,-0.0009341082142001744
14,0.2698770761489868,0.16174931632419953,0.3693863384039765,0.2848924994468689,0.11050598448137525,0.177354827709382,0.05414533238183737,-1.0223821308828072,-0.07774781068642697
15,0.32980892062187195,0.22598180569096932,0.4048528293876142,0.3779031038284302,0.16980559596225966,0.2512975533292847,0.13612436534062117,-0.7144606522386482,-0.031755793246709185
16,0.30838996171951294,0.20141633483208338,0.39548362245201313,0.3258914053440094,0.13786902838578655,0.2101385250855461,0.05519912181894209,-0.9026469281839214,-0.11517073324968345
17,0.23415720462799072,0.14668721203624857,0.2819087216579884,0.29388171434402466,0.1170693405917007,0.18499704211353313,0.22718464977740715,-0.7278518911013943,0.05806297363934493
18,0.266807496547699,0.1723577910841525,0.3344729871208485,0.30783921480178833,0.12732054348722244,0.1926180783363481,0.14305020515262656,-0.8094825938268515,-0.04343269628296714
19,0.26608210802078247,0.16799030405926277,0.33305667476887574,0.31405749917030334,0.13019689986840394,0.20061909151633694,0.1657711496002069,-0.789035273836866,-0.005126417077040757
20,0.24654746055603027,0.1560712610669246,0.2952219664136423,0.33094075322151184,0.14124535879774694,0.21379608835224523,0.2943848533649797,-0.5868682409078804,0.15545879040917976
21,0.22674767673015594,0.13054661468590634,0.3052334699256038,0.23958152532577515,0.08420066363752471,0.1415558204186337,0.05505591395889581,-1.1114941838292798,-0.13378792799827613
22,0.23002324998378754,0.13191810810096513,0.3046539162311343,0.30531445145606995,0.1212994299905131,0.19778097618460946,0.2831618431841649,-0.751097203157563,0.19196970913040673
23,0.237189382314682,0.14144426212567718,0.29662444351341377,0.31124091148376465,0.12586672381235423,0.20232170231864416,0.27170834376438746,-0.6911975741183976,0.15347459266138158
24,0.3387562036514282,0.23846158788243493,0.39014723746297697,0.519462525844574,0.25150049823070775,0.4035155076524974,0.42751398750492087,-0.307995278624843,0.3795957874795
25,0.9164042472839355,0.6959516211575428,1.1915191339956426,1.1430580615997314,0.6881907876169732,1.0162492514018346,0.22100487473718236,-0.4720252456678414,0.29213830904038335
26,0.23032957315444946,0.14397473826879018,0.24070329430986273,0.6272593140602112,0.3305757682670625,0.4972063738579407,1.0018488241542767,0.44965767871380335,1.099550029350233
27,0.308923602104187,0.19879362460189365,0.36632502301595404,0.7933312058448792,0.4525395930552242,0.643910980517711,0.943146792338642,0.3659368309066997,1.034688696479496
28,0.591050922870636,0.3872521256758871,0.7422208779030249,2.1419081687927246,1.3632364469508143,2.008033172612086,1.2875502007726884,0.7089040764589045,1.5838042308018716
29,0.37529635429382324,0.25256191028834335,0.44585725958973865,0.6683124303817749,0.3507777314050182,0.5513770141911501,0.5770397823647581,-0.10841610031955917,0.6258226271711372
30,0.34607014060020447,0.19344678193566273,0.4429163827260141,1.7299467325210571,1.0702009422770271,1.6785066467911074,1.6092044235567262,1.0586230362660474,2.047489312509491
