layer,draws,coarse_e_q05,coarse_e_q50,coarse_e_q95,fine_e_q05,fine_e_q50,fine_e_q95,fine_coarse_log_ratio_q05,fine_coarse_log_ratio_q50,fine_coarse_log_ratio_q95
1,256,0.9398283213376999,0.9964678287506104,1.071589469909668,0.9713206440210342,0.9997390806674957,1.0281203389167786,-0.06433954648673534,-6.0355241657816805e-05,0.057340580970048904
2,256,0.9213732033967972,0.9985954761505127,1.0724298357963562,0.9659370929002762,1.002655804157257,1.0363916754722595,-0.0659919660538435,0.0028948483522981405,0.0693237129598856
3,256,0.9318306893110275,0.9998116791248322,1.073269546031952,0.9694195240736008,1.002340316772461,1.028943806886673,-0.07730837911367416,-0.001909886603243649,0.07446501031517982
4,256,0.9352813810110092,0.9996254146099091,1.060911238193512,0.9665181040763855,0.9978079795837402,1.0353413820266724,-0.05778454337269068,-0.00012940792657900602,0.06285019218921661
5,256,0.9356525242328644,1.0013046860694885,1.064851999282837,0.964041993021965,1.000548005104065,1.0359079241752625,-0.06674676574766636,0.00023308140225708485,0.06628163531422615
6,256,0.9298189878463745,0.99885493516922,1.074012130498886,0.9626733213663101,0.9993837177753448,1.0359593331813812,-0.059698671102523804,-0.002554040984250605,0.06123016495257616
7,256,0.9365342408418655,1.0006941556930542,1.0708343982696533,0.9536736011505127,0.9966903626918793,1.0466993749141693,-0.06461202539503574,-0.004451854154467583,0.059061107225716114
8,256,0.9218281805515289,0.9961594939231873,1.0744400918483734,0.9573473334312439,0.9981147646903992,1.0442017316818237,-0.06091189943253994,0.0023336937883868814,0.07252966426312923
9,256,0.9121796041727066,0.9990653097629547,1.0880922377109528,0.9546466767787933,0.9999581873416901,1.0444194972515106,-0.06728340499103069,0.0009016995609272271,0.06934331357479095
10,256,0.935999184846878,0.9985812306404114,1.0651723742485046,0.9700595438480377,0.9989393949508667,1.0318702161312103,-0.05786316376179457,-0.0016485158703289926,0.06520459614694118
11,256,0.9240939617156982,0.9943183064460754,1.065107822418213,0.9682875424623489,0.9979344606399536,1.0294193029403687,-0.06367902457714081,0.0023469558218494058,0.06787308678030968
12,256,0.932489737868309,1.0000284910202026,1.0599420070648193,0.9743912816047668,0.9968783259391785,1.0292213261127472,-0.06622068956494331,-0.0017868526629172266,0.05696819815784693
13,256,0.9325728416442871,1.0008525848388672,1.0791493654251099,0.965758666396141,0.9987542629241943,1.0346990823745728,-0.06957638822495937,-0.0010380470630479977,0.06306669488549232
14,256,0.9263404458761215,0.9951959848403931,1.0691208243370056,0.961115226149559,1.0003233551979065,1.0426686108112335,-0.055299144238233566,0.0004154107882641256,0.06156437750905752
15,256,0.9390626698732376,0.9968881011009216,1.0645478665828705,0.966240406036377,0.9995805621147156,1.031124472618103,-0.055858785286545753,-0.0003841700527118519,0.05772659368813038
16,256,0.9347313493490219,1.0005831122398376,1.0747798085212708,0.9636494517326355,0.9994006156921387,1.0305655896663666,-0.06260475981980562,-9.140813926933333e-05,0.05704434309154749
17,256,0.934156060218811,1.0020485520362854,1.0629856586456299,0.9601133167743683,0.9985783100128174,1.0368215441703796,-0.0623279195278883,-0.0054949510376900434,0.054746498353779316
18,256,0.9285890311002731,0.9997168779373169,1.0744458734989166,0.9703879952430725,0.999966025352478,1.0296729505062103,-0.05852728150784969,-0.0013376935967244208,0.06194154638797045
19,256,0.9334934204816818,0.9969193935394287,1.079655110836029,0.9657778590917587,1.000643253326416,1.037873774766922,-0.06490231677889824,0.0019707047613337636,0.06748039461672306
20,256,0.9273452907800674,1.0003552436828613,1.0692434310913086,0.9687113463878632,0.9995459914207458,1.0332962572574615,-0.053662785328924656,-0.0019604595727287233,0.06821450963616371
21,256,0.9225657731294632,0.9995203614234924,1.074601262807846,0.9565853327512741,1.0010139346122742,1.0400110185146332,-0.052530741319060326,-0.0022147824056446552,0.06086280569434166
22,256,0.9280332624912262,1.002528965473175,1.0781139433383942,0.9598970413208008,1.0010784268379211,1.0453892052173615,-0.0611876854673028,-0.003923719399608672,0.053349765948951244
23,256,0.9227002114057541,0.9981395900249481,1.071201115846634,0.9539534449577332,0.9971065819263458,1.0425695180892944,-0.05984292458742857,0.0019726281170733273,0.06565092876553535
24,256,0.9400461316108704,0.9972673654556274,1.0657107830047607,0.9665496051311493,1.0009481310844421,1.0311014354228973,-0.06370056793093681,0.002610068884678185,0.05600868910551071
25,256,0.9436991512775421,0.9974929988384247,1.0563800036907196,0.9740193486213684,0.9999230802059174,1.0254556834697723,-0.05639600194990635,0.0004001009074272588,0.05995177663862705
26,256,0.937865599989891,1.0031213760375977,1.062828540802002,0.9716388881206512,1.0016623139381409,1.0299022495746613,-0.05249798484146595,-0.001372656028252095,0.05972988996654749
27,256,0.9381044805049896,1.0054356455802917,1.0677966475486755,0.9751156121492386,1.000447154045105,1.025173306465149,-0.0625099167227745,-0.004821353824809194,0.06362012214958668
28,256,0.9420688301324844,0.9956544637680054,1.0662682354450226,0.9745676666498184,0.9994791448116302,1.0251098573207855,-0.06612986326217651,0.0017751172417774796,0.05906873010098934
29,256,0.9344403594732285,0.9988735318183899,1.0703469514846802,0.9634025543928146,0.998942643404007,1.0369972586631775,-0.057506819255650043,-0.00419290573336184,0.052281901240348816
30,256,0.9318394064903259,0.9978860318660736,1.0737334787845612,0.9719358384609222,1.001198947429657,1.0286949276924133,-0.07083035819232464,0.0025526919635012746,0.07772176153957844
31,256,0.9314858019351959,1.0016775131225586,1.0588003098964691,0.9733886122703552,1.000338613986969,1.027259886264801,-0.05721190199255943,9.095182758755982e-05,0.06474314630031586
