condition,seed,metric,status,threshold,natural_load_error,calibrated_load_error,natural_mean_margin,calibrated_mean_margin,margin_delta_cal_minus_nat,calibrated_validity,calibrated_validity_reason
C1_random_unconstrained,6,M2_unsigned_prototype,ok,4.163336342344337e-16,0.0,0.0,0.553733449320152,0.553733449320152,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,6,M3_top1_projection,ok,1.5265566588595902e-16,0.0,0.0,0.5208125284094998,0.5208125284094998,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,6,M3_fullspan_control,ok,1.1102230246251565e-16,0.4133,0.048900000000000055,1.2848611063986937e-16,1.2848611063986937e-16,0.0,False,degenerate_scores
C1_random_unconstrained,6,M4_matrix_response,ok,-1.5474705679666911,0.3702,0.0,1.5712578500073655,1.072974119223148,-0.4982837307842176,True,calibrated_load_margin_preserved
C1_random_unconstrained,7,M1_signed_prototype,ok,5.551115123125783e-17,0.0,0.0,0.02686491569208034,0.02686491569208034,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,7,M2_unsigned_prototype,ok,1.253879812479486e-16,0.0,0.0,0.02685893365833365,0.02685893365833365,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,7,M3_top1_projection,ok,1.1102230246251565e-16,0.0,0.0,0.13762300833939173,0.13762300833939173,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,7,M3_fullspan_control,ok,1.1102230246251565e-16,0.4436,0.11519999999999997,1.4338530363033898e-16,1.4338530363033898e-16,0.0,False,degenerate_scores
C1_random_unconstrained,7,M4_matrix_response,ok,3.1647358726750294,0.3808,0.0,3.2022171201359897,2.165071818696123,-1.0371453014398666,True,calibrated_load_margin_preserved
C1_random_unconstrained,8,M1_signed_prototype,ok,0.0,0.0,0.0,0.32982264857345805,0.32982264857345805,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,8,M2_unsigned_prototype,ok,-8.326672684688674e-17,0.0,0.0,0.31856450814957493,0.31856450814957493,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,8,M3_top1_projection,ok,0.0,0.0,0.0,0.5491046528476314,0.5491046528476314,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,8,M3_fullspan_control,ok,2.220446049250313e-16,0.47809999999999997,0.10919999999999996,1.888045275677541e-16,1.52389212360049e-16,-3.641531520770512e-17,False,degenerate_scores
C1_random_unconstrained,8,M4_matrix_response,ok,2.29981903579883,0.16659999999999997,0.0,3.3028722761075815,2.9286270931792298,-0.37424518292835174,True,calibrated_load_margin_preserved
C1_random_unconstrained,9,M1_signed_prototype,ok,-1.1102230246251565e-16,0.0,0.0,0.9977057942816447,0.9977057942816447,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,9,M2_unsigned_prototype,ok,-1.6653345369377348e-16,0.0,0.0,0.6198450084426121,0.6198450084426121,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,9,M3_top1_projection,ok,-5.551115123125783e-17,0.0,0.0,0.5666335491320469,0.5666335491320469,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,9,M3_fullspan_control,ok,0.0,0.3792,0.3792,1.0960121699099545e-16,1.0960121699099545e-16,0.0,False,degenerate_scores
C1_random_unconstrained,9,M4_matrix_response,ok,1.47260020338789,0.15880000000000005,0.0,2.1891388516832713,1.9603786028114496,-0.22876024887182167,True,calibrated_load_margin_preserved
C1_random_unconstrained,10,M1_signed_prototype,ok,0.0,0.0,0.0,0.2962556338821775,0.2962556338821775,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,10,M2_unsigned_prototype,ok,-1.2836953722228372e-16,0.0,0.0,0.2881245183626498,0.2881245183626498,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,10,M3_top1_projection,ok,2.7755575615628914e-17,0.0,0.0,0.6086235175504704,0.6086235175504704,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,10,M3_fullspan_control,ok,-1.1102230246251565e-16,0.07179999999999997,0.009800000000000031,1.4260814751310135e-16,1.244893077512188e-16,-1.8118839761882556e-17,False,degenerate_scores
C1_random_unconstrained,10,M4_matrix_response,ok,0.22260030310818288,0.07140000000000002,0.0,0.653938037464239,0.6381373176807484,-0.015800719783490513,True,calibrated_load_margin_preserved
C1_random_unconstrained,11,M1_signed_prototype,ok,-8.326672684688674e-17,0.0,0.0,1.1842654173780853,1.1842654173780853,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,11,M2_unsigned_prototype,ok,-6.938893903907228e-17,0.0,0.0,0.4349285743956755,0.4349285743956755,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,11,M3_top1_projection,ok,4.2327252813834093e-16,0.0,0.0,0.3388130394910838,0.3388130394910838,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,11,M3_fullspan_control,ok,6.661338147750939e-16,0.5,0.28390000000000004,6.871614388614944e-16,4.799494135454552e-16,-2.0721202531603917e-16,False,degenerate_scores
C1_random_unconstrained,11,M4_matrix_response,ok,-0.01796063515673285,0.007199999999999984,0.0,0.5074048551290621,0.5072759878671929,-0.00012886726186922548,True,calibrated_load_margin_preserved
C1_random_unconstrained,12,M1_signed_prototype,ok,-5.551115123125783e-17,0.0,0.0,1.2563476791907227,1.2563476791907227,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,12,M2_unsigned_prototype,ok,-8.153200337090993e-17,0.0,0.0,0.203968585676789,0.203968585676789,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,12,M3_top1_projection,ok,-7.632783294297951e-17,0.0,0.0,0.25153960682484533,0.25153960682484533,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,12,M3_fullspan_control,ok,-2.220446049250313e-16,0.23020000000000002,0.35240000000000005,1.6971979377444767e-16,-4.770628336814298e-17,-2.1742607714259065e-16,False,degenerate_scores
C1_random_unconstrained,12,M4_matrix_response,ok,1.404884245396076,0.5,0.0,1.4048842453960761,0.6523233390631951,-0.7525609063328811,True,calibrated_load_margin_preserved
C1_random_unconstrained,13,M1_signed_prototype,ok,2.220446049250313e-16,0.0,0.0,0.4291439827313473,0.4291439827313473,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,13,M2_unsigned_prototype,ok,2.0816681711721685e-16,0.0,0.0,0.40403355715557765,0.40403355715557765,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,13,M3_top1_projection,ok,-2.7755575615628914e-17,0.0,0.0,0.6283192072782778,0.6283192072782778,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,13,M3_fullspan_control,ok,0.0,0.31020000000000003,0.31020000000000003,9.732215033864123e-17,9.732215033864123e-17,0.0,False,degenerate_scores
C1_random_unconstrained,13,M4_matrix_response,ok,0.8966657101139295,0.11339999999999995,0.0,1.738966046986366,1.6384841955382152,-0.1004818514481507,True,calibrated_load_margin_preserved
C1_random_unconstrained,14,M1_signed_prototype,ok,5.551115123125783e-17,0.0,0.0,0.6876660135034524,0.6876660135034524,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,14,M2_unsigned_prototype,ok,-2.7755575615628914e-16,0.0,0.0,0.5787440256683088,0.5787440256683088,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,14,M3_top1_projection,ok,-1.3877787807814457e-17,0.0,0.0,0.4566844540010542,0.4566844540010542,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,14,M3_fullspan_control,ok,1.1102230246251565e-16,0.41890000000000005,0.15569999999999995,1.3513634655737406e-16,1.3513634655737406e-16,0.0,False,degenerate_scores
C1_random_unconstrained,14,M4_matrix_response,ok,-2.5167673676742384,0.1824,0.0,3.4014630071070133,2.955436019675652,-0.4460269874313614,True,calibrated_load_margin_preserved
