condition,seed,s1_0,s1_1,s2_0,s2_1,gap1,gap2,dominant_direction_angle_deg,matrix_distance_fro,g_distance_fro
C1_random_unconstrained,0,1.8150268813837305,0.1039179469337713,2.207549352135714,0.4597854623417091,1.7111089344499593,1.747763889794005,68.62089757679426,2.970695263056448,5.392564308020996
C1_random_unconstrained,1,0.2952833385917075,0.12151262755123281,2.3637008378202853,0.7296731657692012,0.1737707110404747,1.6340276720510842,50.87356342409784,2.366335725683695,5.563935672983205
C1_random_unconstrained,2,1.3794681867380814,0.07940926519727065,0.8762936404662838,0.3935685893291448,1.3000589215408107,0.482725051137139,41.33404086905358,1.9588594047142778,1.5246803655772114
C1_random_unconstrained,3,2.0812254297282533,0.9451211690296633,2.2135432994339754,0.6923116909164876,1.13610426069859,1.5212316085174877,4.975163184836418,4.054396547032522,0.8502455501837927
C1_random_unconstrained,4,1.924370505601597,0.08172706537989351,1.7934859882798004,0.7406805071935407,1.8426434402217033,1.0528054810862597,55.66041808831301,3.154119137626462,3.7387913465706695
C1_random_unconstrained,5,3.0928615364778023,0.5698479942730488,0.9523380079348057,0.38318164516875086,2.5230135422047537,0.5691563627660549,23.43005930900491,2.540106636907837,8.787972287722063
C1_random_unconstrained,6,0.50804260321307,0.10803899428736001,1.8226566304356504,0.2065034005252271,0.40000360892571,1.6161532299104233,54.894096945398026,1.645539860237812,3.235836459146462
C1_random_unconstrained,7,3.325015774758859,0.4049786836478707,2.2081117860158948,0.12045012126207903,2.9200370911109883,2.0876616647538158,12.484630693079197,1.9979147520658047,6.5698680485887735
C1_random_unconstrained,8,2.9426621638881985,0.3530442486377778,1.646090193908447,1.2143516188469385,2.589617915250421,0.43173857506150837,59.60202485789513,4.657055594879066,7.273474879538827
C1_random_unconstrained,9,2.2163006257423254,0.7312901862512606,1.5771335094621586,0.1192614217969183,1.4850104394910648,1.4578720876652402,62.881532446658994,2.029317230662802,4.827210516890916
C1_random_unconstrained,10,1.2340236954577126,0.4327980762064536,1.0046910619822933,0.505493738314969,0.801225619251259,0.4991973236673243,72.94499301396681,1.8110441881628978,1.45211862232326
C1_random_unconstrained,11,1.2141606326256427,0.2963848333294198,1.2626136298542106,0.06130337075112582,0.9177757992962229,1.2013102591030846,32.15464965575046,1.0238878764428931,1.127170073003863
C1_random_unconstrained,12,1.6936292432987314,0.7256890911294209,0.7250171971459611,0.24410293687569648,0.9679401521693105,0.4809142602702646,23.273301502239775,2.5809958377205056,2.459122876256975
C1_random_unconstrained,13,1.9585133489143474,0.7194216691197823,1.491989835639922,0.5779074199160997,1.239091679794565,0.9140824157238222,80.7375607150939,2.4931724223130995,3.8543664564091107
C1_random_unconstrained,14,2.2149302574039162,0.004577423659000512,2.9732423810834407,1.0484757873448887,2.2103528337449156,1.924766593738552,45.83679840264335,2.3180855674997725,7.468050179808508
C1_random_unconstrained,15,1.4850272861519003,0.31774015982972303,1.4403812440145647,0.44707845071774666,1.1672871263221771,0.993302793296818,16.288301312787226,2.2078330592191757,0.8047010497104863
C1_random_unconstrained,16,1.7244608878927157,0.07825519217563358,1.955906968551311,0.837682621074147,1.646205695717082,1.118224347477164,65.29398143883647,2.8249660279905635,4.063426506191446
C1_random_unconstrained,17,1.9761189075298455,1.013729928885011,1.4341670552009689,0.22796651364145548,0.9623889786448345,1.2062005415595134,55.03921800203793,3.0140953767957854,3.4809619120856485
C1_random_unconstrained,18,1.57178161740006,0.132680560082894,2.3733868906561444,0.16528452393088564,1.439101057317166,2.208102366725259,39.50710842619098,1.819427318564697,4.596853868598476
C1_random_unconstrained,19,1.7651783542584067,0.6091806757523277,1.3855487150984802,0.31427380632689994,1.155997678506079,1.0712749087715803,80.98754178336621,2.7988295425703553,3.3549682617741383
C1_random_unconstrained,20,1.3155714995135646,0.23087760899856233,3.0437972552835064,1.9308436038989698,1.0846938905150023,1.1129536513845366,38.063293306130404,3.4583133269519792,8.793496583125775
C1_random_unconstrained,21,1.1576566598770122,0.4155955598754631,2.1901190411815863,0.6097852521598213,0.7420611000015491,1.580333789021765,34.54982744549996,3.2046562765657107,3.9127468333845212
C1_random_unconstrained,22,1.0270010720693497,0.8826142492675425,1.4468244445462572,0.6650079208246333,0.14438682280180715,0.7818165237216239,81.26794662753731,1.8604786258154042,1.4427519181253234
C1_random_unconstrained,23,1.6277436274997374,0.17868194336090895,2.154920818172027,0.026487979037459863,1.4490616841388284,2.1284328391345673,23.855867524837237,1.086235966916239,2.82018696617446
C1_random_unconstrained,24,0.9277680795714454,0.14695949926971796,2.04578289331625,0.2535490168562394,0.7808085803017274,1.7922338764600105,9.14856061224954,1.8627150550067073,3.3509383726720396
C1_random_unconstrained,25,1.6637116531445084,0.9495060558946445,1.0140409621085906,0.1370690550491029,0.7142055972498639,0.8769719070594877,12.336336283867524,2.7772410551028934,1.9944174261329688
C1_random_unconstrained,26,1.4142913049681636,1.3565705705941808,1.4096196267954888,0.5291105588143024,0.05772073437398273,0.8805090679811864,56.68530350848731,2.700211017353735,1.6781281919199755
C1_random_unconstrained,27,3.2420079413913188,0.1842116301003685,3.278942958425728,0.860501719765539,3.05779631129095,2.418441238660189,3.0606688391010977,6.498422819979436,1.074801929595506
C1_random_unconstrained,28,2.1594214832592864,1.0964818135007053,1.6701148873073326,1.2892203984376773,1.0629396697585811,0.38089448886965527,21.603688382097772,1.8403292979491583,2.1863823562725617
C1_random_unconstrained,29,1.4912237072585186,0.7414852930733028,2.54613675004547,0.7195502455200882,0.7497384141852158,1.8265865045253817,27.580901932463817,2.560886570224971,4.735155779004411
C1_random_unconstrained,30,1.3529484990491296,0.7355905140595034,1.9412320585833165,1.5096981075662401,0.6173579849896262,0.43153395101707637,84.47566372522164,1.7178870148983663,3.2528678799028965
C1_random_unconstrained,31,2.214492990639684,0.7900262417737941,1.8293533957996226,0.5823816754253599,1.42446674886589,1.2469717203742627,19.629118473839355,2.704812108370789,2.3263312186507026
C1_random_unconstrained,32,1.735592133679978,1.0405332359891937,1.4241144449071856,0.7699318107662408,0.6950588976907843,0.6541826341409448,53.790615931223186,2.9386703012971105,2.1942436936717185
C1_random_unconstrained,33,2.4598860015633015,0.4574298678566497,1.648804768375346,0.765910080016271,2.002456133706652,0.8828946883590749,44.050574976834824,3.343242983790016,4.825922383147942
C1_random_unconstrained,34,2.8096394191502805,0.35037616101061425,2.5819297071185563,1.24389534178023,2.459263258139666,1.3380343653383262,68.14525809976249,3.593927626143335,8.489702203483791
C1_random_unconstrained,35,1.6777047471544488,1.3166171711501826,1.5105792071444555,0.4515865283556168,0.3610875760042662,1.0589926787888386,18.945887482961837,2.1910709290694825,1.759860093106419
C1_random_unconstrained,36,2.084942342809061,0.803191544804074,2.5168978563506146,0.25424550050223416,1.2817507980049871,2.26265235584838,48.026758770509915,2.650304315141809,5.472409253222754
C1_random_unconstrained,37,1.8650000409607426,0.8030120072072385,0.9230047766514544,0.5761741188710946,1.061988033753504,0.3468306577803598,60.45692020666654,2.398257795896027,3.0373345356017283
C1_random_unconstrained,38,2.4703218694684317,0.7760596958144271,2.187618135645259,0.45061843505508276,1.6942621736540047,1.7369997005901763,88.63869442318152,3.456810558808637,7.2301959051953775
C1_random_unconstrained,39,1.1721756368372294,0.8776517164173834,1.6731483771316265,0.41104594980156806,0.294523920419846,1.2621024273300585,19.06085699068673,0.9642094003425075,1.6529254723096496
C1_random_unconstrained,40,1.3530954365098866,0.6789499352036965,1.8501163795132167,0.21487246420118739,0.6741455013061901,1.6352439153120293,23.67358206607952,3.1151126147674155,2.0489746523706143
C1_random_unconstrained,41,3.0537384173541393,1.2442759138391946,1.8776205737314813,0.45268168627267064,1.8094625035149448,1.4249388874588107,59.4347877412858,4.8542072341183005,8.586927240773212
C1_random_unconstrained,42,1.9050074626735196,0.3667998102231325,2.1441190240838797,0.4546973352569991,1.5382076524503872,1.6894216888268805,78.29018499832368,3.3205899440027458,5.510348716803556
C1_random_unconstrained,43,1.790370960231468,0.8608679975384378,2.074753105269904,0.2557614180396008,0.9295029626930301,1.8189916872303034,87.19552186530785,3.3937062823961233,4.744286264017843
C1_random_unconstrained,44,1.5375441399424759,1.0540767200757817,1.7872160529684438,0.5572728558298035,0.48346741986669417,1.2299431971386403,82.5036249085131,2.9101540668714567,2.9039589415067137
C1_random_unconstrained,45,0.6357734230043085,0.13879025509265894,0.924493819184044,0.23209548823265483,0.49698316791164954,0.6923983309513893,60.32438932696222,1.2215813374549493,0.8182613398597127
C1_random_unconstrained,46,2.6413663309272803,0.2054175925117736,1.6197954302370647,1.369704749911881,2.4359487384155067,0.25009068032518367,89.33944355528753,2.3357053426986734,5.7166747698863
C1_random_unconstrained,47,2.3593728230306574,0.6725936088949303,1.4855589204659252,0.3879029757710989,1.6867792141357272,1.0976559446948264,32.57676502041184,3.035406279178109,4.1805515001408615
C1_random_unconstrained,48,1.7012963175066915,0.2165398578471157,2.188749027493419,0.33388191730614836,1.4847564596595757,1.854867110187271,85.42341111158855,2.903680973874407,5.4843460942661935
C1_random_unconstrained,49,1.3289403294154076,0.5836542146476352,0.4565011567535609,0.23964266960633554,0.7452861147677724,0.21685848714722536,34.02451062922269,1.8742370826340709,1.6252260917726988
C1_random_unconstrained,50,1.4615094179232826,0.790357340840367,1.677444596611676,0.4811715393193696,0.6711520770829156,1.1962730572923064,23.203143178668128,2.9510486810947523,1.351158337320848
C1_random_unconstrained,51,1.4885892172536144,0.44354388984111176,0.5759025218763659,0.3078304141980362,1.0450453274125027,0.26807210767832973,12.159579533783386,1.990443925319898,1.8982050773536858
C1_random_unconstrained,52,1.1662669126997325,0.5166809997135108,1.1094400911689806,0.7887895095786537,0.6495859129862217,0.3206505815903269,61.48023160984803,1.5681767128612443,1.081823521015243
C1_random_unconstrained,53,0.9728002120215791,0.21497392652160635,1.8532797526998075,0.06768437862098232,0.7578262854999727,1.785595374078825,80.40281895402538,2.208642128632263,3.4923837594844067
