1.000000357627868652e+00,1.935525424778461456e-02,3.188518062233924866e-02,2.262199111282825470e-02,2.557465247809886932e-02,3.413422033190727234e-02,2.754356339573860168e-02,2.386316470801830292e-02,3.921154513955116272e-02,1.217140033841133118e-01,2.906823344528675079e-02,9.721530228853225708e-02,3.185135498642921448e-02,3.287443891167640686e-02,3.805591538548469543e-02,2.654808200895786285e-02,2.992665767669677734e-02,2.624276839196681976e-02,2.460455149412155151e-02,1.730966754257678986e-02,1.361890509724617004e-02,1.579858362674713135e-02,2.277687005698680878e-02,1.733386330306529999e-02,2.091746218502521515e-02,2.070812135934829712e-02,4.182430356740951538e-02,1.422692276537418365e-02
1.935525238513946533e-02,9.999994635581970215e-01,9.715165942907333374e-02,3.541021421551704407e-02,3.683448210358619690e-02,4.861078038811683655e-02,3.410517796874046326e-02,3.190227597951889038e-02,3.315301239490509033e-02,2.781879901885986328e-02,3.120612539350986481e-02,3.526449948549270630e-02,2.764534950256347656e-02,2.874839864671230316e-02,3.415504470467567444e-02,3.626074641942977905e-02,2.554483897984027863e-02,2.905149385333061218e-02,3.060487098991870880e-02,2.247300744056701660e-02,2.146738767623901367e-02,1.504653412848711014e-02,1.784019917249679565e-02,1.911989599466323853e-02,1.913950033485889435e-02,1.988769508898258209e-02,2.613364532589912415e-02,1.305668428540229797e-02
3.188518062233924866e-02,9.715165942907333374e-02,1.000000119209289551e+00,9.300892055034637451e-02,6.320629268884658813e-02,8.393371105194091797e-02,6.166213378310203552e-02,5.953354015946388245e-02,5.937834084033966064e-02,5.415593460202217102e-02,5.596054717898368835e-02,6.261093914508819580e-02,5.755938217043876648e-02,5.414927005767822266e-02,6.195670738816261292e-02,5.600710958242416382e-02,4.822472110390663147e-02,5.179430171847343445e-02,4.066106304526329041e-02,3.057543188333511353e-02,2.799301221966743469e-02,2.175996080040931702e-02,2.884798683226108551e-02,2.113573811948299408e-02,2.642267383635044098e-02,2.341710962355136871e-02,2.935395762324333191e-02,1.587704382836818695e-02
2.262199111282825470e-02,3.541021421551704407e-02,9.300890564918518066e-02,9.999999403953552246e-01,6.570244580507278442e-02,8.852937817573547363e-02,7.568509131669998169e-02,5.294610559940338135e-02,5.554433912038803101e-02,4.160434007644653320e-02,4.711860045790672302e-02,4.288394749164581299e-02,4.063082113862037659e-02,4.395535215735435486e-02,4.586454853415489197e-02,3.937481343746185303e-02,5.396759510040283203e-02,3.600933775305747986e-02,4.283622652292251587e-02,2.282065898180007935e-02,3.930719941854476929e-02,2.773973532021045685e-02,3.186403959989547729e-02,2.223023772239685059e-02,2.498519606888294220e-02,2.426143921911716461e-02,2.916117757558822632e-02,1.797553151845932007e-02
2.557464875280857086e-02,3.683448210358619690e-02,6.320629268884658813e-02,6.570244580507278442e-02,1.000000119209289551e+00,5.325536429882049561e-02,5.660569295287132263e-02,5.803652107715606689e-02,5.265868827700614929e-02,4.877107217907905579e-02,4.773906618356704712e-02,4.971705749630928040e-02,4.055850952863693237e-02,4.581794887781143188e-02,5.047186464071273804e-02,4.308656230568885803e-02,3.855668008327484131e-02,4.301682859659194946e-02,3.485171869397163391e-02,2.425933443009853363e-02,2.870411984622478485e-02,1.652458868920803070e-02,2.586344443261623383e-02,1.761210709810256958e-02,1.963803917169570923e-02,2.017596364021301270e-02,2.921837754547595978e-02,1.400439068675041199e-02
3.413422033190727234e-02,4.861078038811683655e-02,8.393371105194091797e-02,8.852938562631607056e-02,5.325535684823989868e-02,9.999998211860656738e-01,6.227993965148925781e-02,9.716184437274932861e-02,6.190859898924827576e-02,5.319013819098472595e-02,9.319698065519332886e-02,5.572736263275146484e-02,5.144554004073143005e-02,5.213676765561103821e-02,5.382963642477989197e-02,6.015611812472343445e-02,4.206605255603790283e-02,6.577806919813156128e-02,4.815806075930595398e-02,2.907260693609714508e-02,2.994905784726142883e-02,1.767551340162754059e-02,2.766317129135131836e-02,2.034545689821243286e-02,2.264882810413837433e-02,1.953071169555187225e-02,3.763012588024139404e-02,1.729064434766769409e-02
2.754356339573860168e-02,3.410517796874046326e-02,6.166213378310203552e-02,7.568509131669998169e-02,5.660568550229072571e-02,6.227993965148925781e-02,1.000000715255737305e+00,5.976865068078041077e-02,8.981775492429733276e-02,5.995025485754013062e-02,5.549611896276473999e-02,7.162094861268997192e-02,5.897947773337364197e-02,5.469824001193046570e-02,5.908851698040962219e-02,4.264312237501144409e-02,5.802277103066444397e-02,4.747596010565757751e-02,4.278477653861045837e-02,2.464357763528823853e-02,4.157849773764610291e-02,2.681976556777954102e-02,3.836876526474952698e-02,2.466453798115253448e-02,2.367280237376689911e-02,2.609946019947528839e-02,3.544737398624420166e-02,1.753819175064563751e-02
2.386316657066345215e-02,3.190227597951889038e-02,5.953353643417358398e-02,5.294610559940338135e-02,5.803652107715606689e-02,9.716184437274932861e-02,5.976864323019981384e-02,9.999999403953552246e-01,9.073870629072189331e-02,6.352596729993820190e-02,9.216935932636260986e-02,5.110745131969451904e-02,5.622165277600288391e-02,5.640571191906929016e-02,8.989855647087097168e-02,6.435057520866394043e-02,4.090917482972145081e-02,5.811613425612449646e-02,4.304642602801322937e-02,2.676219306886196136e-02,2.672233618795871735e-02,2.100697904825210571e-02,2.866542153060436249e-02,1.852309890091419220e-02,2.676129341125488281e-02,2.427113242447376251e-02,3.110241331160068512e-02,1.730220206081867218e-02
3.921154513955116272e-02,3.315301239490509033e-02,5.937834084033966064e-02,5.554434284567832947e-02,5.265869200229644775e-02,6.190859898924827576e-02,8.981775492429733276e-02,9.073869884014129639e-02,1.000000000000000000e+00,8.310935646295547485e-02,8.155650645494461060e-02,7.849337905645370483e-02,8.143265545368194580e-02,7.436742633581161499e-02,9.674308449029922485e-02,6.418312340974807739e-02,6.259217113256454468e-02,6.298015266656875610e-02,5.346737056970596313e-02,2.821795456111431122e-02,3.160578384995460510e-02,2.657668106257915497e-02,3.687580674886703491e-02,2.652628906071186066e-02,3.274780511856079102e-02,3.529413789510726929e-02,4.458109289407730103e-02,2.004690282046794891e-02
1.217140033841133118e-01,2.781879901885986328e-02,5.415593460202217102e-02,4.160433635115623474e-02,4.877107217907905579e-02,5.319014564156532288e-02,5.995025485754013062e-02,6.352596729993820190e-02,8.310935646295547485e-02,1.000000119209289551e+00,7.500142604112625122e-02,7.612458616495132446e-02,7.339551299810409546e-02,7.192493975162506104e-02,7.610792666673660278e-02,5.508313328027725220e-02,5.089689418673515320e-02,5.404405295848846436e-02,4.206645861268043518e-02,2.214373461902141571e-02,2.864224836230278015e-02,2.327957004308700562e-02,3.463399410247802734e-02,2.244463004171848297e-02,2.579857036471366882e-02,2.857653610408306122e-02,4.069231450557708740e-02,1.968873851001262665e-02
2.906823344528675079e-02,3.120612353086471558e-02,5.596054717898368835e-02,4.711860045790672302e-02,4.773907363414764404e-02,9.319698065519332886e-02,5.549612268805503845e-02,9.216935932636260986e-02,8.155650645494461060e-02,7.500141859054565430e-02,1.000000119209289551e+00,6.546718627214431763e-02,8.957302570343017578e-02,1.042141020298004150e-01,7.452703267335891724e-02,8.830135315656661987e-02,5.955315753817558289e-02,8.164186030626296997e-02,6.492705643177032471e-02,3.144955635070800781e-02,3.233020752668380737e-02,2.194008231163024902e-02,3.123616054654121399e-02,2.690874785184860229e-02,2.927796728909015656e-02,2.638157457113265991e-02,3.749668598175048828e-02,1.686978898942470551e-02
9.721530228853225708e-02,3.526449948549270630e-02,6.261093914508819580e-02,4.288394749164581299e-02,4.971705749630928040e-02,5.572736263275146484e-02,7.162094861268997192e-02,5.110745131969451904e-02,7.849338650703430176e-02,7.612459361553192139e-02,6.546718627214431763e-02,1.000000119209289551e+00,7.377504557371139526e-02,7.155877351760864258e-02,8.115914463996887207e-02,5.543112382292747498e-02,6.557907909154891968e-02,5.507297441363334656e-02,4.387379810214042664e-02,2.737805992364883423e-02,2.222022041678428650e-02,2.773098833858966827e-02,2.978660911321640015e-02,2.073847502470016479e-02,2.574331313371658325e-02,2.726229466497898102e-02,5.187736824154853821e-02,1.722260750830173492e-02
3.185135498642921448e-02,2.764534950256347656e-02,5.755938217043876648e-02,4.063082113862037659e-02,4.055851325392723083e-02,5.144553259015083313e-02,5.897947773337364197e-02,5.622165277600288391e-02,8.143265545368194580e-02,7.339552044868469238e-02,8.957302570343017578e-02,7.377504557371139526e-02,1.000000000000000000e+00,1.112338528037071228e-01,8.498062193393707275e-02,9.143522381782531738e-02,7.380784302949905396e-02,8.118852972984313965e-02,6.121372804045677185e-02,2.930695377290248871e-02,2.594573050737380981e-02,2.404721826314926147e-02,3.224774822592735291e-02,2.628278732299804688e-02,2.676042169332504272e-02,2.751738019287586212e-02,4.645026102662086487e-02,1.731800660490989685e-02
3.287443891167640686e-02,2.874839864671230316e-02,5.414926633238792419e-02,4.395535215735435486e-02,4.581794887781143188e-02,5.213676765561103821e-02,5.469824001193046570e-02,5.640570819377899170e-02,7.436741888523101807e-02,7.192493975162506104e-02,1.042141243815422058e-01,7.155878096818923950e-02,1.112338528037071228e-01,1.000000000000000000e+00,9.380679577589035034e-02,8.365014195442199707e-02,9.532935172319412231e-02,1.021048128604888916e-01,5.619933828711509705e-02,3.124936111271381378e-02,3.374211862683296204e-02,2.537330240011215210e-02,3.302009031176567078e-02,2.242702990770339966e-02,2.796761877834796906e-02,3.207175433635711670e-02,3.606439009308815002e-02,1.661417447030544281e-02
3.805591538548469543e-02,3.415504470467567444e-02,6.195670738816261292e-02,4.586454853415489197e-02,5.047185719013214111e-02,5.382963642477989197e-02,5.908851325511932373e-02,8.989855647087097168e-02,9.674308449029922485e-02,7.610792666673660278e-02,7.452703267335891724e-02,8.115914463996887207e-02,8.498062938451766968e-02,9.380679577589035034e-02,9.999995827674865723e-01,8.413683623075485229e-02,8.239415287971496582e-02,8.417392522096633911e-02,5.224309116601943970e-02,3.185306489467620850e-02,2.964496053755283356e-02,2.357527427375316620e-02,3.575429320335388184e-02,2.668216079473495483e-02,3.169499337673187256e-02,3.066811151802539825e-02,3.918069973587989807e-02,2.000977471470832825e-02
