start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
0,718,0,179,10.669933240611961,9.446,12.184,0.8741140472878999,719
719,1437,180,359,8.476751043115438,7.359,9.671,0.8625493741307372,719
1438,2156,359,539,7.156072322670376,6.54,7.908,0.8624826147426982,719
2157,2875,539,719,6.58547983310153,5.962,7.189,0.8625076495132128,719
2876,3594,719,898,6.188449235048679,5.65,6.772,0.8686036161335188,719
3595,4313,899,1078,5.906084840055633,5.463,6.407,0.8663546592489568,719
4314,5032,1078,1258,5.6780375521557716,5.135,6.628,0.8630403337969402,719
5033,5751,1258,1438,5.47430876216968,5.005,6.068,0.8627691237830319,719
5752,6470,1438,1617,5.282891515994437,4.892,5.805,0.8620166898470097,719
6471,7189,1618,1797,5.1097468706536855,4.608,5.755,0.8625312934631433,719
7190,7908,1797,1977,4.943282336578581,4.319,5.482,0.8623059805285118,719
7909,8627,1977,2157,4.7936689847009735,4.219,5.356,0.8689471488178024,719
8628,9346,2157,2336,4.686581363004173,4.256,5.251,0.8626411682892907,719
9347,10065,2337,2516,4.5799610570236435,4.141,5.156,0.8624826147426982,719
10066,10784,2516,2696,4.506324061196105,4.003,4.921,0.8623796940194715,719
10785,11503,2696,2876,4.433781641168289,4.066,4.956,0.8621098748261474,719
11504,12222,2876,3055,4.370140472878998,3.946,4.992,0.865413073713491,719
12223,12941,3056,3235,4.324228094575799,3.879,4.911,0.8616105702364395,719
12942,13660,3235,3415,4.275216968011127,3.864,4.919,0.867105702364395,719
13661,14379,3415,3595,4.234927677329624,3.864,4.909,0.8619874826147427,719
14380,15098,3595,3774,4.184986091794158,3.778,4.71,0.8614520166898469,719
15099,15817,3775,3954,4.141998609179415,3.722,4.654,0.8620598052851182,719
15818,16536,3954,4134,4.117539638386648,3.576,4.603,0.8657385257301808,719
16537,17255,4134,4314,4.079746870653685,3.577,4.752,0.8623324061196106,719
17256,17974,4314,4493,4.05075521557719,3.639,4.725,0.8669207232267038,719
17975,18693,4494,4673,4.024041724617525,3.56,4.644,0.862673157162726,719
18694,19412,4673,4853,4.005891515994437,3.298,4.489,0.8617343532684284,719
19413,20131,4853,5033,3.9765897079276775,3.51,4.593,0.8651404728789986,719
20132,20850,5033,5212,3.9589457579972183,3.55,4.511,0.8615563282336578,719
20851,21569,5213,5392,3.9335883171070933,3.416,4.698,0.8615660639777468,719
21570,22288,5392,5572,3.923894297635605,3.454,4.415,0.8616940194714882,719
22289,23007,5572,5752,3.8952559109874825,3.448,4.558,0.8669262865090404,719
23008,23726,5752,5931,3.879709318497914,3.418,4.433,0.8617705146036161,719
23727,24445,5932,6111,3.865662030598053,3.486,4.32,0.8652767732962448,719
24446,25164,6111,6291,3.8563616133518774,3.357,4.487,0.8614798331015299,719
25165,25883,6291,6471,3.8265535465924896,3.338,4.284,0.8621821974965229,719
25884,26602,6471,6650,3.812595271210014,3.341,4.309,0.8623546592489568,719
26603,27321,6651,6830,3.8006842837273993,3.288,4.232,0.8694826147426982,719
27322,28040,6830,7010,3.7952086230876216,3.364,4.182,0.8652781641168289,719
28041,28759,7010,7190,3.771212795549374,3.268,4.294,0.861856745479833,719
28760,29478,7190,7369,3.7728762169680112,3.316,4.487,0.8615757997218358,719
