condition,seed,step,top1_A,top1_B,NMI,logit_A_E0,logit_A_E1,logit_B_E0,logit_B_E1,p_A_E0,p_A_E1,p_B_E0,p_B_E1,selected_gate_A,selected_gate_B,selected_logit_margin_A,selected_logit_margin_B,CE_A_E0,CE_A_E1,CE_B_E0,CE_B_E1,CE_A_selected,CE_A_unselected,CE_B_selected,CE_B_unselected,CE_gap_A_selected_minus_unselected,CE_gap_B_selected_minus_unselected,update_norm_E0,update_norm_E1,top1_stable_from_step0
ntp_no_router_prior,2,0,1,0,1.0,-0.005062375217676163,0.007340693846344948,0.005806822329759598,0.002590784803032875,0.4968993067741394,0.5031007528305054,0.5008040070533752,0.49919599294662476,0.5031007528305054,0.5008040070533752,0.01240306906402111,0.0032160375267267227,0.3754847049713135,0.6392844319343567,0.6443538069725037,0.37912291288375854,0.6392844319343567,0.3754847049713135,0.6443538069725037,0.37912291288375854,0.2637997269630432,0.2652308940887451,0.0,0.0,1
ntp_no_router_prior,2,10,1,0,1.0,-0.4852812886238098,0.48755943775177,0.49151456356048584,-0.48311707377433777,0.27431467175483704,0.7256853580474854,0.7260417342185974,0.273958295583725,0.7256853580474854,0.7260417342185974,0.9728407263755798,0.974631667137146,0.9509223103523254,0.018301548436284065,0.01580626517534256,0.866736114025116,0.018301548436284065,0.9509223103523254,0.01580626517534256,0.866736114025116,-0.9326207619160414,-0.8509298488497734,0.08932234346866608,0.08997245877981186,1
ntp_no_router_prior,2,50,1,0,1.0,-1.1173484325408936,1.119626522064209,1.0099910497665405,-1.0015935897827148,0.09647892415523529,0.9035211205482483,0.8820080161094666,0.11799194663763046,0.9035211205482483,0.8820080161094666,2.2369749546051025,2.011584758758545,3.714123010635376,2.861018856492592e-06,3.099436753473128e-06,3.825474739074707,2.861018856492592e-06,3.714123010635376,3.099436753473128e-06,3.825474739074707,-3.7141201496165195,-3.8254716396379536,0.002477973932400346,0.0024160444736480713,1
ntp_no_router_prior,2,100,1,0,1.0,-1.1272954940795898,1.1295735836029053,1.0299277305603027,-1.021530270576477,0.09475859999656677,0.9052414298057556,0.886094868183136,0.1139051541686058,0.9052414298057556,0.886094868183136,2.256869077682495,2.0514578819274902,3.8317062854766846,2.145764938177308e-06,2.264974000354414e-06,3.939840793609619,2.145764938177308e-06,3.8317062854766846,2.264974000354414e-06,3.939840793609619,-3.8317041397117464,-3.939838528635619,6.139284232631326e-05,4.6044617192819715e-05,1
ntp_no_router_prior,2,200,1,0,1.0,-1.1210517883300781,1.1233298778533936,1.0416733026504517,-1.033275842666626,0.09583520144224167,0.9041648507118225,0.8884444236755371,0.1115555688738823,0.9041648507118225,0.8884444236755371,2.2443816661834717,2.074949264526367,3.8629531860351562,2.0265558760002023e-06,2.145764938177308e-06,3.9577980041503906,2.0265558760002023e-06,3.8629531860351562,2.145764938177308e-06,3.9577980041503906,-3.8629511594792802,-3.9577958583854524,5.7220458984375e-05,3.96670147893019e-05,1
ntp_no_router_prior,2,300,1,0,1.0,-1.1153773069381714,1.1176553964614868,1.0538512468338013,-1.0454537868499756,0.09682311117649078,0.9031769037246704,0.8908356428146362,0.10916437953710556,0.9031769037246704,0.8908356428146362,2.233032703399658,2.0993051528930664,3.8992719650268555,1.9073468138230965e-06,1.9073468138230965e-06,3.980564594268799,1.9073468138230965e-06,3.8992719650268555,1.9073468138230965e-06,3.980564594268799,-3.8992700576800416,-3.980562686921985,6.4849853515625e-05,4.76837158203125e-05,1
ntp_no_prior_no_expert_advantage,2,0,1,0,1.0,-0.005062375217676163,0.007340693846344948,0.005806822329759598,0.002590784803032875,0.4968993067741394,0.5031007528305054,0.5008040070533752,0.49919599294662476,0.5031007528305054,0.5008040070533752,0.01240306906402111,0.0032160375267267227,0.4987516403198242,0.48906055092811584,0.49321380257606506,0.5033137798309326,0.48906055092811584,0.4987516403198242,0.49321380257606506,0.5033137798309326,-0.009691089391708374,-0.010099977254867554,0.0,0.0,1
ntp_no_prior_no_expert_advantage,2,10,1,0,1.0,-0.5048822164535522,0.5071607232093811,0.49575117230415344,-0.48735329508781433,0.2665802240371704,0.7334198355674744,0.7277237772941589,0.27227622270584106,0.7334198355674744,0.7277237772941589,1.0120429992675781,0.9831044673919678,1.4001476764678955,0.009088101796805859,0.008189431391656399,1.3221064805984497,0.009088101796805859,1.4001476764678955,0.008189431391656399,1.3221064805984497,-1.3910595746710896,-1.3139170492067933,0.08477011322975159,0.08560597896575928,1
ntp_no_prior_no_expert_advantage,2,50,1,0,1.0,-1.0541231632232666,1.0564018487930298,0.9806396961212158,-0.9722414612770081,0.10807803273200989,0.8919219374656677,0.8757604360580444,0.12423954904079437,0.8919219374656677,0.8757604360580444,2.110525131225586,1.952881097793579,4.351221561431885,2.622600959512056e-06,2.861018856492592e-06,4.481491565704346,2.622600959512056e-06,4.351221561431885,2.861018856492592e-06,4.481491565704346,-4.351218938830925,-4.481488704685489,0.002283334732055664,0.0022253692150115967,1
ntp_no_prior_no_expert_advantage,2,100,1,0,1.0,-1.062501311302185,1.0647801160812378,0.9991453289985657,-0.9907470941543579,0.10647335648536682,0.8935266733169556,0.8797317147254944,0.12026823312044144,0.8935266733169556,0.8797317147254944,2.127281427383423,1.9898924827575684,4.466324806213379,2.0265558760002023e-06,2.264974000354414e-06,4.592329978942871,2.0265558760002023e-06,4.466324806213379,2.264974000354414e-06,4.592329978942871,-4.466322779657503,-4.592327713968871,6.917136488482356e-05,5.260119360173121e-05,1
