dim,seed,lr,variant,trainable_parameters,first_stable_tail_step,success,final_tail_loss,final_a_bayes_gap,final_cake_loss,final_the_retention_gap,base_max_abs_drift,final_embedding_common_energy_fraction,final_embedding_residual_energy_fraction,final_map_common_energy_fraction,final_map_residual_energy_fraction
8,0,0.003,common_oracle,14,,0,0.850668728351593,0.509888768196106,0.09283643215894699,7.62939453125e-06,0.0,0.9999998807907104,1.1778270111344798e-14,1.0000001192092896,3.290658202062492e-15
8,0,0.01,common_oracle,14,770,1,0.5547835230827332,0.008795619010925293,0.002159111201763153,7.62939453125e-06,0.0,1.0000001192092896,1.1777761044543499e-14,1.0000001192092896,4.361175974949952e-16
8,0,0.03,common_oracle,14,280,1,0.5496496558189392,0.0005500316619873047,0.00013694334484171122,7.62939453125e-06,0.0,0.9999999403953552,1.1365088286707098e-14,1.0000001192092896,1.9630244780084955e-15
8,0,0.1,common_oracle,14,95,1,0.5494006276130676,0.00013685226440429688,5.2130675612716004e-05,7.62939453125e-06,0.0,1.0000001192092896,1.1460640379420961e-14,1.0,7.620155727120284e-15
8,0,0.3,common_oracle,14,55,1,0.5493414998054504,5.543231964111328e-05,1.5179143701971043e-05,7.62939453125e-06,0.0,1.000000238418579,8.068070984793094e-15,0.9999998807907104,4.591444158062079e-15
8,0,1.0,common_oracle,14,150,1,0.5493070483207703,1.7881393432617188e-06,0.0,7.62939453125e-06,0.0,1.0000001192092896,9.213335762446161e-15,1.0000001192092896,1.121223123873793e-15
8,0,0.003,residual_oracle,14,,0,7.342033386230469,6.376124858856201,7.209330081939697,7.62939453125e-06,0.0,4.682209667591008e-15,1.0000001192092896,4.957889669285603e-15,1.0
8,0,0.01,residual_oracle,14,660,1,0.5537562966346741,0.007937431335449219,0.0009628536645323038,7.62939453125e-06,0.0,5.1073401624991514e-15,1.000000238418579,8.548881614005473e-15,1.000000238418579
8,0,0.03,residual_oracle,14,220,1,0.5497386455535889,0.000779271125793457,8.570583304390311e-05,7.62939453125e-06,0.0,4.904396997567652e-15,1.0000001192092896,1.1735500876739087e-14,1.0000003576278687
8,0,0.1,residual_oracle,14,85,1,0.5493904948234558,0.0001634359359741211,5.165715720067965e-06,7.62939453125e-06,0.0,4.487795700921886e-15,1.0000001192092896,9.393852036033209e-15,1.0000003576278687
8,0,0.3,residual_oracle,14,50,1,0.5493666529655457,0.00010764598846435547,1.3311438124219421e-05,7.62939453125e-06,0.0,5.331067821890377e-15,1.000000238418579,9.659487497522788e-15,1.000000238418579
8,0,1.0,residual_oracle,14,55,1,0.549464225769043,0.0003161430358886719,0.0,7.62939453125e-06,0.0,7.483940123707584e-15,1.0000003576278687,7.954635485463851e-15,1.000000238418579
8,1,0.003,common_oracle,14,,0,1.052200198173523,0.9802443981170654,0.025543825700879097,7.212162017822266e-06,0.0,1.0000003576278687,3.773449787228614e-14,1.0000004768371582,2.531325097991123e-14
8,1,0.01,common_oracle,14,,0,0.5741016864776611,0.041767001152038574,0.007824164815247059,7.212162017822266e-06,0.0,1.0000007152557373,4.2590900288996467e-14,1.0000004768371582,3.896618542154756e-14
8,1,0.03,common_oracle,14,330,1,0.5504654049873352,0.0019865036010742188,0.00033193291164934635,7.212162017822266e-06,0.0,1.0000004768371582,4.1552498882034897e-14,1.0000004768371582,4.3324410492527957e-14
8,1,0.1,common_oracle,14,100,1,0.549504280090332,0.0003508329391479492,4.5377848437055945e-05,7.212162017822266e-06,0.0,1.0000004768371582,4.096874071544618e-14,1.0000003576278687,2.5056599996893178e-14
