dim,heldout_seeds,common_lr_selected_on_seeds_0_4,spectral_tail_lr_selected_on_seeds_0_4,common_median_step,spectral_tail_median_step,common_mean_step,spectral_tail_mean_step,mean_tail_minus_common_step,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,tail_wins,ties,tail_losses,wilcoxon_one_sided_p_tail_faster,sign_test_one_sided_p_tail_faster
8,15,0.3,0.3,65.0,65.0,71.0,73.66666666666667,2.6666666666666665,-20.333333333333332,26.333333333333332,7,0,8,0.532958984375,0.696380615234375
16,45,0.3,1.0,80.0,65.0,82.66666666666667,70.66666666666667,-12.0,-22.555555555555557,-1.7777777777777777,28,2,15,0.008030482957744594,0.03299701722789905
