a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0_1,0_1,0.2694180080605225,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,1_2,0.052128225810934674,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,2_5,0.06978449129017365,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,5_10,0.07071725408076705,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,10_20,0.10937239796245896,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,20_50,0.20054519435685875,0.6448777516682943,0.5453405907308614,0.6271701388888888
0_1,50_100,0.2280344030157477,0.6448777516682943,0.5453405907308614,0.6271701388888888
1_2,0_1,0.037802845096244646,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,1_2,0.05276164932044485,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,2_5,0.09709484115165898,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,5_10,0.09686560993573728,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,10_20,0.15769187781576385,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,20_50,0.2700800160603484,0.5772954909889786,0.5629737043421267,0.4136284722222222
1_2,50_100,0.2877032057097417,0.5772954909889786,0.5629737043421267,0.4136284722222222
2_5,0_1,0.014723458342663627,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,1_2,0.02100890112659183,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,2_5,0.07356303875437163,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,5_10,0.08865752678161713,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,10_20,0.15967441266497825,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,20_50,0.31132878739050746,0.5279043449295892,0.5217332487615446,0.4484230324074074
2_5,50_100,0.33104392918642833,0.5279043449295892,0.5217332487615446,0.4484230324074074
5_10,0_1,0.009096317166732803,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,1_2,0.009418135815777063,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,2_5,0.035245997725357955,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,5_10,0.06936702818173697,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,10_20,0.14057868184295752,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,20_50,0.3425405959062998,0.46542552996564795,0.457533469231782,0.32544849537037035
5_10,50_100,0.3937532947567895,0.46542552996564795,0.457533469231782,0.32544849537037035
10_20,0_1,0.007011280561858761,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,1_2,0.006735347554886596,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,2_5,0.022404684809681268,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,5_10,0.044233237232447174,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,10_20,0.11073645714381795,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,20_50,0.34996159172661506,0.38694453625767317,0.37920309100472543,0.22728587962962962
10_20,50_100,0.4589174287101985,0.38694453625767317,0.37920309100472543,0.22728587962962962
20_50,0_1,0.006161892087352224,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,1_2,0.005867399306169815,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,2_5,0.019032649626903875,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,5_10,0.03491177243932621,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,10_20,0.08683714207235195,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,20_50,0.32119231891592254,0.2185628745290968,0.21102318879760182,0.09816261574074074
20_50,50_100,0.5259968487812494,0.2185628745290968,0.21102318879760182,0.09816261574074074
50_100,0_1,0.007405314492990595,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,1_2,0.007259675937176374,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,2_5,0.02344904291506262,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,5_10,0.04014621290338132,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,10_20,0.08560930252899925,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,20_50,0.28833802970131867,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
50_100,50_100,0.5477924515578998,-0.11853641202604329,-0.12527690182603826,0.019169560185185185
