layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy,x_own_adjacent_cosine,x_own_between_cosine,x_own_sequence_gap,x_own_sequence_accuracy,a_own_adjacent_cosine,a_own_between_cosine,a_own_sequence_gap,a_own_sequence_accuracy
0,0_1,0.011752391019567376,0.2278280593099772,0.2247054983077221,0.998476384477378,0.0015236155226220807,0.00634084844316809,0.9953156399277054,0.004684378757560683,25.59948358810796,0.09144757688045502,0.018880559131503105,0.07256701774895191,0.216796875,0.0931171253323555,0.01954631693661213,0.07357080839574337,0.21875,0.04489874467253685,0.05364081636071205,-0.008742071688175201,0.185546875,0.08786149322986603,0.019026150926947594,0.06883534230291843,0.2109375
0,1_2,0.009964676539861675,0.09504758277056347,0.0950871956966268,0.9969083101888342,0.003091689811165804,0.018827165637040243,0.9875530169811287,0.012447065127366756,17.956829158060035,0.107428640127182,0.004035317339003086,0.10339332278817892,0.21875,0.1129128709435463,0.0032459013164043427,0.10966696962714195,0.212890625,0.04904816299676895,0.007691971026360989,0.04135619197040796,0.15625,0.10163053125143051,0.006888405419886112,0.0947421258315444,0.203125
0,2_5,0.03188772589177142,0.18961636028116827,0.19020214239125907,0.9950499317648397,0.0049500682351602855,0.01961368657764674,0.985340219315653,0.014659822644788306,14.178061123939784,0.10361089557409286,0.007368863560259342,0.09624203201383352,0.220703125,0.10504016280174255,0.007404432166367769,0.09763573063537478,0.2265625,0.01825198531150818,0.014963204972445965,0.003288780339062214,0.20703125,0.10297887027263641,0.007987107150256634,0.09499176312237978,0.236328125
0,5_10,0.05179647971337494,0.17109933121224952,0.17525186962133427,0.9911243807969361,0.008875619203063866,0.03608392820738031,0.9734026886091859,0.02659731614281154,10.56731732987186,0.12844106554985046,0.004299101885408163,0.1241419636644423,0.287109375,0.12862078845500946,0.00366595177911222,0.12495483667589724,0.291015625,0.009276818484067917,0.012022510170936584,-0.0027456916868686676,0.173828125,0.1293407827615738,0.0022576504852622747,0.12708313227631152,0.28125
0,10_20,0.10834105006348561,0.16170302308911821,0.17050886518245376,0.9805656444672504,0.019434355532749633,0.05359671468256668,0.9548088919631309,0.04519109501238212,7.1031872721335345,0.12025938928127289,-0.005461681168526411,0.1257210704497993,0.28515625,0.11981801688671112,-0.0068366085179150105,0.12665462540462613,0.279296875,0.009745665825903416,0.011117709800601006,-0.0013720439746975899,0.1953125,0.1286013424396515,-0.005968850571662188,0.13457019301131368,0.279296875
0,20_50,0.3001319388236558,0.13103903392160607,0.13405660571111985,0.9365459713563327,0.06345402864366735,-0.02132770959038018,0.9458564524509858,0.054143499921576244,3.841801748529704,0.07134795188903809,-0.0011946950107812881,0.07254264689981937,0.287109375,0.06520621478557587,-0.0005193672841414809,0.06572558206971735,0.267578125,0.012626313604414463,0.021158771589398384,-0.008532457984983921,0.12890625,0.06845260411500931,-0.0014516881201416254,0.06990429223515093,0.2890625
0,50_100,0.486125728358312,0.02366645509085535,0.010187705387587991,0.6220365153614326,0.3779634846385675,-2.6544556715175385,0.9459769678967909,0.0540229231095541,1.2828710884875771,0.003481728956103325,0.002602325053885579,0.0008794039022177458,0.22265625,-0.014400549232959747,0.0014196442207321525,-0.0158201934536919,0.123046875,0.09718833863735199,0.10527809709310532,-0.008089758455753326,0.1171875,-0.015461817383766174,-0.0015320328529924154,-0.013929784530773759,0.10546875
1,0_1,0.19336564267515535,0.04844816117512149,0.20249766486883997,0.02817577832759407,0.9718242216724059,0.1301133926570784,0.0895664257641498,0.9104334754621307,0.17027233877642106,0.48059356212615967,0.10141608864068985,0.3791774734854698,0.29296875,0.16030454635620117,0.023484328761696815,0.13682021759450436,0.203125,0.09441745281219482,0.014629092998802662,0.07978835981339216,0.19140625,0.5338622331619263,0.08637332916259766,0.4474889039993286,0.419921875
1,1_2,0.08872493227918811,0.02284628854012036,0.09310391432263829,0.028934030243701933,0.9710659697562981,0.13119964807943546,0.09073772179788471,0.9092623507795772,0.17261562222700214,0.5177667140960693,0.07793215662240982,0.4398345574736595,0.341796875,0.11867418885231018,0.024048268795013428,0.09462592005729675,0.20703125,0.05182100832462311,0.02433350868523121,0.0274874996393919,0.181640625,0.4823037385940552,0.007347647100687027,0.47495609149336815,0.26953125
1,2_5,0.17755414812150463,0.053562374927031094,0.18654783163031421,0.03373010299002397,0.966269897009976,0.12796653167057614,0.09339704707411413,0.906603028268875,0.1868355903899816,0.4906945824623108,0.04755273833870888,0.4431418441236019,0.44140625,0.13543200492858887,0.002693416550755501,0.13273858837783337,0.271484375,0.07454746961593628,0.0025087317917495966,0.07203873782418668,0.21875,0.42138615250587463,-0.00368893682025373,0.42507508932612836,0.474609375
