band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy,x_own_adjacent_cosine,x_own_between_cosine,x_own_sequence_gap,x_own_sequence_accuracy,a_own_adjacent_cosine,a_own_between_cosine,a_own_sequence_gap,a_own_sequence_accuracy
0_1,0.8758213442203752,0.1039796781589181,0.8836544967964036,0.04386792106946562,0.9561320789305344,0.012374137794862777,0.04827130006484476,0.9517286822983385,0.9495291787200909,0.5958827015544687,0.13496157600145256,0.4609211255530162,0.49930245535714285,0.5544930177607706,0.21934302184464677,0.3351499959161239,0.49142020089285715,0.5200379415016089,0.2269183331102665,0.29311960839134243,0.43687220982142855,0.6249843138669219,0.0966617677227727,0.5283225461441491,0.6123046875
1_2,0.010643270004544956,0.031635203426295215,0.014462367916441848,0.06839844953523092,0.9316015504647692,0.13645875052611176,0.1295349603834673,0.8704650325586616,0.8110027072652665,0.597113878599235,0.028922285468849753,0.5681915931303853,0.49086216517857145,0.40616886663649765,0.009727895604685597,0.39644097103181203,0.3594447544642857,0.3585016421441521,0.014069368376762472,0.3444322737673896,0.3355189732142857,0.5603074567126376,0.01405630874588886,0.5462511479667488,0.40611049107142855
2_5,0.020269279295817656,0.06247951287367486,0.02716256342282832,0.06831023510329805,0.9316897648967022,0.1099666650733269,0.11724517858243723,0.8827548297389997,0.6778613541683473,0.5593551160501582,0.021619200781320354,0.5377359152688379,0.5966099330357143,0.34149096799748285,7.048729977603736e-05,0.3414204806977068,0.37388392857142855,0.3044823990868671,0.0008289855218858325,0.3036534135649812,0.35219029017857145,0.5127284351204123,0.006235953703123544,0.5064924814172888,0.4408482142857143
5_10,0.019510096194762183,0.07419525849510562,0.024920786368816443,0.07589972800960954,0.9241002719903906,0.09303074507538855,0.11603115542142585,0.8839688505545925,0.5724746926304108,0.5327838659286499,0.02363892860012129,0.5091449373285286,0.6539481026785714,0.3073510282805988,0.0008121953599454303,0.30653883292065337,0.32400948660714285,0.27716335082160576,0.0013277842704805412,0.27583556655112523,0.3143833705357143,0.45342250327978817,0.007690831796415816,0.44573167148337234,0.32386997767857145
10_20,0.021978248311046583,0.12812051366913163,0.024957844619369916,0.10517141236156465,0.8948285876384354,0.06751776690004362,0.13169262985114802,0.8683073676240698,0.5186848028605563,0.5124513384486947,0.023224187632357434,0.48922715081633733,0.7237025669642857,0.28961828351020813,-0.0038711422391445793,0.2934894257493527,0.2675083705357143,0.25993210453140947,-0.002972880153850253,0.26290498468525975,0.27525111607142855,0.37771799362131525,0.007251791830640286,0.37046620179067496,0.22914341517857142
20_50,0.028627426260637908,0.27497535804241224,0.021944120929770713,0.18207821744235395,0.8179217825576461,-0.11048734276516758,0.14655238710424415,0.8534476199849594,0.5453435625456643,0.4734464628355844,0.023704218179253594,0.4497422446563308,0.80810546875,0.16142582800239325,-0.001789313219757917,0.16321514122215117,0.11244419642857142,0.142926774020972,-0.0012005239296643464,0.14412729795063633,0.12841796875,0.2132017934428794,0.007218565236793698,0.2059832282060857,0.10498046875
50_100,0.023146904535061952,0.3246144949146344,0.0028943979984086617,0.38331967036488374,0.6166803296351162,-2.331141086474202,0.15903747533674267,0.8409625270496027,0.7939728141573228,0.4511715997941792,0.024760392037153776,0.4264112077570254,0.8277762276785714,-0.10510634897010666,-0.0015520091795094362,-0.10355433979059724,0.025041852678571428,-0.09300894542996373,0.0025277372109745295,-0.09553668264093826,0.036900111607142856,-0.11485517650310482,0.006445042562388282,-0.12130021906549311,0.022251674107142856
