layer,a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
0,0_1,0_1,0.9711280116440473,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,1_2,0.003046292518910156,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,2_5,0.002085781572014368,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,5_10,0.001536567318391569,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,10_20,0.0027379260684923757,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,20_50,0.006784937172551958,0.08786149322986603,0.06883534230291843,0.2109375
0,0_1,50_100,0.01267986747041401,0.08786149322986603,0.06883534230291843,0.2109375
0,1_2,0_1,0.005546956596907437,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,1_2,0.8828497863917056,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,2_5,0.09179358244186273,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,5_10,0.0024625616677115443,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,10_20,0.002540017817451539,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,20_50,0.0057595285403270885,0.10163053125143051,0.0947421258315444,0.203125
0,1_2,50_100,0.009047326370209921,0.10163053125143051,0.0947421258315444,0.203125
0,2_5,0_1,0.0010232102105836494,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,1_2,0.04448086211402086,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,2_5,0.9082234570415386,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,5_10,0.02611540291240431,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,10_20,0.003935402915691957,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,20_50,0.006816555060054977,0.10297887027263641,0.09499176312237978,0.236328125
0,2_5,50_100,0.009405065531257445,0.10297887027263641,0.09499176312237978,0.236328125
0,5_10,0_1,0.00041207669517438067,0.1293407827615738,0.12708313227631152,0.28125
0,5_10,1_2,0.000528439101678904,0.1293407827615738,0.12708313227631152,0.28125
0,5_10,2_5,0.024965020347081278,0.1293407827615738,0.12708313227631152,0.28125
