model,step,layer,coarse_band,coarse_V,sum_constituent_fine_V,within_group_response_cross_term,cross_term_over_coarse_V,coarse_input_energy,sum_constituent_fine_energy,energy_reconstruction_relative_error
decommon,30000,1,H,1.1990989446640017,1.1990989446640017,0.0,0.0,7.586980819702148,7.586980819702148,0.0
decommon,30000,1,M,0.1615478992462158,0.15695612039417012,0.004591778852045675,0.028423637035646786,6.997620582580566,6.99762099981308,5.962491228323619e-08
decommon,30000,1,T,0.007414620835334,0.007279365291651377,0.00013525554368262315,0.01824173436328257,0.7191101312637329,0.7191100966883819,4.808074524819673e-08
decommon,30000,2,H,7.373923301696777,7.373923301696777,0.0,0.0,6.19816780090332,6.19816780090332,0.0
decommon,30000,2,M,0.1866786926984787,0.1813223452772943,0.005356347421184404,0.02869286978474783,2.0356640815734863,2.0356639474630356,6.588044263224753e-08
decommon,30000,2,T,0.0022423274349421,0.0022508589745482486,-8.531539606148816e-06,-0.003804769755389945,0.1833499372005462,0.18334993312600967,2.2222732135663563e-08
decommon,30000,3,H,12.52720069885254,12.52720069885254,0.0,0.0,9.689074516296388,9.689074516296388,0.0
decommon,30000,3,M,0.1916140913963318,0.18733547441661333,0.004278616979718458,0.022329344092280923,2.9189555644989014,2.918955624103546,2.0419853423024953e-08
decommon,30000,3,T,0.0021947484929114,0.002269847025217965,-7.509853230656515e-05,-0.034217375042798044,0.2253453433513641,0.2253453432058447,6.457617447055543e-10
decommon,30000,4,H,13.076921463012695,13.076921463012695,0.0,0.0,12.044513702392578,12.044513702392578,0.0
decommon,30000,4,M,0.3171749413013458,0.32052500452846266,-0.0033500632271168396,-0.010562193890134488,5.028524398803711,5.028525203466415,1.6001964804211812e-07
decommon,30000,4,T,0.0036545263137668,0.0036180300876365937,3.649622613020615e-05,0.009986581843103134,0.3823650479316711,0.3823650397243906,2.1464515417270325e-08
decommon,30000,5,H,13.217382431030272,13.217382431030272,0.0,0.0,16.92547035217285,16.92547035217285,0.0
