case,condition,n_seeds,target_accuracy_mean,target_accuracy_min,target_accuracy_max,target_ce_mean,target_ce_min,target_ce_max,expert_load_entropy_norm_mean,expert_load_entropy_norm_min,expert_load_entropy_norm_max,expert_load_max_fraction_mean,expert_load_max_fraction_min,expert_load_max_fraction_max,active_experts_mean,active_experts_min,active_experts_max,nmi_route_family_mean,nmi_route_family_min,nmi_route_family_max,nmi_route_feature_mean,nmi_route_feature_min,nmi_route_feature_max,consistency_feature_mean,consistency_feature_min,consistency_feature_max
P3a,B0,3,1.0,1.0,1.0,0.0005451525048556505,0.0005192287808313267,0.0005696639254892943,0.6658159849798392,0.4480191050638881,0.9886084738939609,0.5625,0.3125,0.6875,3.0,2.0,4.0,0.2822377996376011,0.028072063517005585,0.47600795728058204,0.5686339788447995,0.47329648016233,0.7030677423732414,1.0,1.0,1.0
P3a,I1,3,1.0,1.0,1.0,0.0006940826915524667,0.0005728200885641854,0.0007680101880396251,0.6112424358761651,0.3481061280104411,0.8858910617442196,0.6458333333333334,0.4375,0.8125,3.0,2.0,4.0,0.2862259817905551,0.07436685942256024,0.48206295703686725,0.543445865921613,0.4171966742817925,0.6655415504686246,1.0,1.0,1.0
P3b,B0,3,1.0,1.0,1.0,0.00038770402352383826,0.0003808897909038933,0.0003989204196841456,0.44557153396813404,-0.0,0.9025182584383105,0.7291666666666666,0.375,1.0,2.6666666666666665,1.0,4.0,0.31900175528743385,1.000088900581841e-06,0.7365175310011971,0.37923239995054336,1.0000889005818406e-06,0.6717582401017023,1.0,1.0,1.0
P3b,I1,3,1.0,1.0,1.0,0.0021134063996820864,0.0004312931341701187,0.005334416760888416,0.3008394194794368,-0.0,0.9025182584383105,0.7916666666666666,0.375,1.0,2.0,1.0,4.0,0.237229318913305,1.000088900581841e-06,0.7116859565621139,0.2239200800931678,1.0000889005818406e-06,0.6717582401017023,1.0,1.0,1.0
