case,condition,n_seeds,family_purity_actual_mean,family_purity_actual_min,family_purity_actual_max,family_purity_random_mean_mean,family_purity_random_mean_min,family_purity_random_mean_max,family_purity_delta_mean,family_purity_delta_min,family_purity_delta_max,family_purity_random_p025_mean,family_purity_random_p025_min,family_purity_random_p025_max,family_purity_random_p975_mean,family_purity_random_p975_min,family_purity_random_p975_max
P3a,B0,3,0.4791666666666667,0.3125,0.625,0.42410416666666667,0.37475,0.4845625,0.05506249999999999,-0.06225000000000003,0.1404375,0.3333333333333333,0.3125,0.375,0.5208333333333334,0.4375,0.625
P3a,I1,3,0.4583333333333333,0.3125,0.5625,0.4114583333333333,0.3495625,0.482625,0.046875,-0.0370625,0.16031250000000002,0.3333333333333333,0.3125,0.375,0.5208333333333334,0.4375,0.625
P3b,B0,3,0.4583333333333333,0.25,0.75,0.3717916666666667,0.25,0.4788125,0.08654166666666668,-0.011562499999999976,0.2711875,0.3333333333333333,0.25,0.375,0.4375,0.25,0.625
P3b,I1,3,0.4166666666666667,0.25,0.75,0.32689583333333333,0.25,0.4806875,0.08977083333333334,0.0,0.2693125,0.2916666666666667,0.25,0.375,0.375,0.25,0.625
