case,condition,seed,axis,axis_value,expert,count,fraction
P3b,B0,20260521,feature,9,0,0,0.0
P3b,B0,20260521,feature,9,1,64,1.0
P3b,B0,20260521,feature,9,2,0,0.0
P3b,B0,20260521,feature,9,3,0,0.0
P3b,B0,20260521,feature,10,0,0,0.0
P3b,B0,20260521,feature,10,1,64,1.0
P3b,B0,20260521,feature,10,2,0,0.0
P3b,B0,20260521,feature,10,3,0,0.0
P3b,B0,20260521,feature,11,0,0,0.0
P3b,B0,20260521,feature,11,1,64,1.0
P3b,B0,20260521,feature,11,2,0,0.0
P3b,B0,20260521,feature,11,3,0,0.0
P3b,B0,20260521,feature,12,0,0,0.0
P3b,B0,20260521,feature,12,1,64,1.0
P3b,B0,20260521,feature,12,2,0,0.0
P3b,B0,20260521,feature,12,3,0,0.0
P3b,B0,20260521,feature,13,0,0,0.0
P3b,B0,20260521,feature,13,1,64,1.0
P3b,B0,20260521,feature,13,2,0,0.0
P3b,B0,20260521,feature,13,3,0,0.0
P3b,B0,20260521,feature,14,0,0,0.0
P3b,B0,20260521,feature,14,1,64,1.0
P3b,B0,20260521,feature,14,2,0,0.0
P3b,B0,20260521,feature,14,3,0,0.0
P3b,B0,20260521,feature,15,0,0,0.0
P3b,B0,20260521,feature,15,1,64,1.0
P3b,B0,20260521,feature,15,2,0,0.0
P3b,B0,20260521,feature,15,3,0,0.0
P3b,B0,20260521,family,0,0,0,0.0
P3b,B0,20260521,family,0,1,256,1.0
P3b,B0,20260521,family,0,2,0,0.0
P3b,B0,20260521,family,0,3,0,0.0
P3b,B0,20260521,family,1,0,0,0.0
P3b,B0,20260521,family,1,1,256,1.0
P3b,B0,20260521,family,1,2,0,0.0
P3b,B0,20260521,family,1,3,0,0.0
P3b,B0,20260521,family,2,0,0,0.0
P3b,B0,20260521,family,2,1,256,1.0
P3b,B0,20260521,family,2,2,0,0.0
P3b,B0,20260521,family,2,3,0,0.0
P3b,B0,20260521,family,3,0,0,0.0
P3b,B0,20260521,family,3,1,256,1.0
P3b,B0,20260521,family,3,2,0,0.0
P3b,B0,20260521,family,3,3,0,0.0
P3b,B0,20260522,feature,0,0,64,1.0
P3b,B0,20260522,feature,0,1,0,0.0
P3b,B0,20260522,feature,0,2,0,0.0
P3b,B0,20260522,feature,0,3,0,0.0
P3b,B0,20260522,feature,1,0,64,1.0
P3b,B0,20260522,feature,1,1,0,0.0
P3b,B0,20260522,feature,1,2,0,0.0
P3b,B0,20260522,feature,1,3,0,0.0
P3b,B0,20260522,feature,2,0,64,1.0
P3b,B0,20260522,feature,2,1,0,0.0
P3b,B0,20260522,feature,2,2,0,0.0
P3b,B0,20260522,feature,2,3,0,0.0
P3b,B0,20260522,feature,3,0,0,0.0
P3b,B0,20260522,feature,3,1,0,0.0
P3b,B0,20260522,feature,3,2,64,1.0
P3b,B0,20260522,feature,3,3,0,0.0
P3b,B0,20260522,feature,4,0,0,0.0
P3b,B0,20260522,feature,4,1,0,0.0
P3b,B0,20260522,feature,4,2,64,1.0
P3b,B0,20260522,feature,4,3,0,0.0
