variant,layer,common_margin_step0,raw_max_load_step0,centered_max_load_step0,delta_max_load_step0,dominance_ratio_step0,common_margin_step10,raw_max_load_step10,centered_max_load_step10,delta_max_load_step10,dominance_ratio_step10,common_margin_step300,raw_max_load_step300,centered_max_load_step300,delta_max_load_step300,dominance_ratio_step300,common_margin_delta_0_10,raw_max_load_delta_0_10,common_margin_suppression_vs_normal_L5,raw_load_suppression_vs_normal_L5
freeze_experts_all,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.34012019634246826,0.9765019416809082,0.27649545669555664,0.7000064849853516,10.46997600371373,1.476051131884257,0.877149740854899,0.4139715830485026,0.4631781578063965,3.2296222669888066,0.19189932445685068,0.7183151245117188,0.849603468033015,0.020559111074508474
freeze_gate_all,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.683609127998352,0.9895853996276855,0.26650857925415034,0.7230768203735352,25.61123461044625,0.13186880449453986,0.45321353276570636,0.2655080159505208,0.18770551681518552,0.7914002656594828,0.5353882561127344,0.7313985824584961,0.5804021863906428,0.002719484364265279
freeze_gate_and_experts,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.43545154730478924,0.9695477485656738,0.2506163914998372,0.7189313570658366,14.520466556868348,0.3275333344936371,0.7005071640014648,0.26312208175659174,0.43738508224487305,2.298595188126478,0.2872306754191717,0.7113609313964844,0.7748897888002129,0.03004132974723195
freeze_prefix_before_layer3,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.6745986342430115,0.8256125450134277,0.3998297055562337,0.42578283945719403,2.995087381720447,1.6260228355725606,0.9422780672709147,0.36960363388061523,0.5726744333902994,42.13247015861056,0.5263777623573939,0.5674257278442383,0.5874639465919826,0.2263006300239917
freeze_prefix_before_layer4,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.3396504620711009,0.6357000668843588,0.2821801503499349,0.35351991653442383,1.3475948732121277,3.6146181424458823,0.9983113606770834,0.671489397684733,0.3268219629923503,9.456596483178167,0.1914295901854833,0.3775132497151693,0.8499716110974038,0.48525111018159517
freeze_prefix_before_layer5,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,0.17606522142887113,0.3242225646972656,0.15341361363728837,0.17080895105997718,0.7047204894612094,1.8162461519241333,0.7810873985290527,0.3013388315836588,0.47974856694539386,3.1282819096208065,0.027844349543253544,0.06603574752807617,0.9781776532145977,0.9099585835621604
normal,5,0.14822087188561758,0.25818681716918945,0.15379587809244785,0.1043909390767415,0.6184157520517529,1.4241766532262166,0.9915798505147299,0.3913385073343913,0.6002413431803385,47.20979923921439,0.07925615708033236,0.37855132420857746,0.3039023081461588,0.0746490160624186,0.3356100086706584,1.275955781340599,0.7333930333455404,0.0,0.0
