variant,layer,raw_load_step0,raw_load_step10,raw_load_step300,raw_load_delta_0_10,common_margin_step0,common_margin_step10,common_margin_delta_0_10
freeze_experts_all,3,0.27465788523356116,0.8252404530843099,0.8288025856018066,0.5505825678507487,0.0649567196766535,0.1624675293763478,0.09751080969969432
freeze_experts_all,4,0.2659002939860025,0.9608912467956543,0.6021580696105957,0.6949909528096517,0.1587225794792175,0.19382572174072257,0.0351031422615051
freeze_experts_all,5,0.25818681716918945,0.9765019416809082,0.877149740854899,0.7183151245117188,0.14822087188561758,0.3401201963424682,0.19189932445685065
freeze_gate_all,3,0.27465788523356116,0.9883979161580404,0.4948565165201823,0.7137400309244791,0.0649567196766535,0.519165575504303,0.4542088558276494
freeze_gate_all,4,0.2659002939860025,0.73928435643514,0.5982308387756348,0.4733840624491375,0.1587225794792175,0.0604151884714762,-0.09830739100774129
freeze_gate_all,5,0.25818681716918945,0.9895853996276855,0.45321353276570636,0.7313985824584961,0.14822087188561758,0.683609127998352,0.5353882561127344
freeze_gate_and_experts,3,0.27465788523356116,0.9813009897867838,0.33880265553792316,0.7066431045532227,0.0649567196766535,0.379799485206604,0.31484276552995044
freeze_gate_and_experts,4,0.2659002939860025,0.7226753234863281,0.46086804072062176,0.4567750295003256,0.1587225794792175,0.04483084877332047,-0.11389173070589705
freeze_gate_and_experts,5,0.25818681716918945,0.9695477485656738,0.7005071640014648,0.7113609313964844,0.14822087188561758,0.43545154730478924,0.28723067541917163
freeze_prefix_before_layer3,3,0.27465788523356116,0.5061947504679362,0.6671682993570963,0.231536865234375,0.0649567196766535,0.2299833595752716,0.16502663989861807
freeze_prefix_before_layer3,4,0.2659002939860025,0.5980156262715658,0.968089739481608,0.33211533228556317,0.1587225794792175,0.3920931567748387,0.2333705772956212
freeze_prefix_before_layer3,5,0.25818681716918945,0.8256125450134277,0.9422780672709147,0.5674257278442383,0.14822087188561758,0.6745986342430115,0.5263777623573939
freeze_prefix_before_layer4,3,0.27465788523356116,0.27465788523356116,0.27465788523356116,0.0,0.0649567196766535,0.0649567196766535,0.0
freeze_prefix_before_layer4,4,0.2659002939860025,0.4762279192606608,0.7921635309855143,0.2103276252746582,0.1587225794792175,0.38574589292208356,0.227023313442866
freeze_prefix_before_layer4,5,0.25818681716918945,0.6357000668843588,0.9983113606770834,0.37751324971516925,0.14822087188561758,0.3396504620711009,0.1914295901854833
freeze_prefix_before_layer5,3,0.27465788523356116,0.27465788523356116,0.27465788523356116,0.0,0.0649567196766535,0.0649567196766535,0.0
freeze_prefix_before_layer5,4,0.2659002939860025,0.2659002939860025,0.2659002939860025,0.0,0.1587225794792175,0.1587225794792175,0.0
freeze_prefix_before_layer5,5,0.25818681716918945,0.3242225646972656,0.7810873985290527,0.06603574752807617,0.14822087188561758,0.17606522142887115,0.02784434954325356
normal,3,0.27465788523356116,0.9889828364054362,0.43253358205159503,0.7143249511718751,0.0649567196766535,0.687457929054896,0.6225012093782425
normal,4,0.2659002939860025,0.9911704063415527,0.46526527404785156,0.7252701123555502,0.1587225794792175,0.9560761054356893,0.7973535259564718
normal,5,0.25818681716918945,0.9915798505147299,0.37855132420857746,0.7333930333455404,0.14822087188561758,1.4241766532262166,1.275955781340599
