variant,layer,metric,step0_mean,step10_mean,step300_mean,delta_0_10_mean,delta_0_10_std,delta_0_300_mean,delta_0_300_std
freeze_experts_all,3,common_margin,0.0649567196766535,0.1624675293763478,1.9759552478790283,0.09751080969969432,0.11391922972117653,1.9109985282023747,0.6256902553155618
freeze_experts_all,3,raw_max_load,0.27465788523356116,0.8252404530843099,0.8288025856018066,0.5505825678507487,0.21258651003835835,0.5541447003682455,0.09462720650309536
freeze_experts_all,3,dominance_ratio,0.2773568954296349,3.8178747488646523,2.7238632767814877,3.5405178534350177,2.455286020509006,2.4465063813518526,1.4175616060717973
freeze_experts_all,3,centered_max_load,0.16380167007446286,0.19081894556681311,0.5573279062906901,0.02701727549235024,0.04710351503091935,0.39352623621622723,0.019828739359483212
freeze_experts_all,3,delta_max_load,0.11085621515909823,0.6344215075174967,0.27147467931111646,0.5235652923583985,0.19833494367317284,0.16061846415201828,0.08729865036091002
freeze_experts_all,4,common_margin,0.1587225794792175,0.19382572174072257,1.0509362419446309,0.0351031422615051,0.08278417322078646,0.8922136624654134,1.1125142912078405
freeze_experts_all,4,raw_max_load,0.2659002939860025,0.9608912467956543,0.6021580696105957,0.6949909528096517,0.04124001604104849,0.3362577756245932,0.16521303594788486
freeze_experts_all,4,dominance_ratio,0.6686168335710576,5.677347836372291,1.015501610031342,5.008731002801233,0.48820079650335196,0.34688477646028454,0.9502780685162361
freeze_experts_all,4,centered_max_load,0.15896987915039057,0.19721508026123044,0.3921038309733073,0.03824520111083987,0.007476797770880927,0.23313395182291666,0.03193252154829407
freeze_experts_all,4,delta_max_load,0.10693041483561198,0.7636761665344238,0.21005423863728837,0.6567457516988119,0.03641542693380584,0.1031238238016764,0.13649572164575252
freeze_experts_all,5,common_margin,0.14822087188561758,0.3401201963424682,1.476051131884257,0.19189932445685065,0.16649162241270257,1.3278302599986394,0.5657336792859807
freeze_experts_all,5,raw_max_load,0.25818681716918945,0.9765019416809082,0.877149740854899,0.7183151245117188,0.04060468813799104,0.6189629236857096,0.10685972271945761
freeze_experts_all,5,dominance_ratio,0.6184157520517529,10.46997600371373,3.2296222669888066,9.851560251661978,6.516774632777707,2.6112065149370536,1.5335185724224214
freeze_experts_all,5,centered_max_load,0.15379587809244785,0.27649545669555664,0.4139715830485026,0.1226995786031088,0.044465438071337224,0.2601757049560547,0.14455401411546737
freeze_experts_all,5,delta_max_load,0.1043909390767415,0.7000064849853516,0.4631781578063965,0.59561554590861,0.08504706870273546,0.35878721872965497,0.23520413080362115
freeze_gate_all,3,common_margin,0.0649567196766535,0.519165575504303,0.22902844349543253,0.4542088558276494,0.05604496442272697,0.16407172381877902,0.10423066080715698
freeze_gate_all,3,raw_max_load,0.27465788523356116,0.9883979161580404,0.4948565165201823,0.7137400309244791,0.009052398853469739,0.2201986312866211,0.11943758696660138
freeze_gate_all,3,dominance_ratio,0.2773568954296349,13.688051474292065,1.3001707752676097,13.410694578862428,1.8491058870964052,1.022813879837975,0.753376168201458
freeze_gate_all,3,centered_max_load,0.16380167007446286,0.1935706138610839,0.3172340393066406,0.029768943786621066,0.014600314891181227,0.15343236923217776,0.029931124650222664
freeze_gate_all,3,delta_max_load,0.11085621515909823,0.7948273022969564,0.17762247721354163,0.683971087137858,0.009993737165749505,0.06676626205444339,0.09134051184730786
freeze_gate_all,4,common_margin,0.1587225794792175,0.0604151884714762,0.37807074189186096,-0.09830739100774129,0.03940486918008985,0.21934816241264343,0.18373678346476094
freeze_gate_all,4,raw_max_load,0.2659002939860025,0.73928435643514,0.5982308387756348,0.4733840624491375,0.12569474354552726,0.33233054478963225,0.14062245886788705
freeze_gate_all,4,dominance_ratio,0.6686168335710576,2.0790554953801816,1.7048511767806769,1.4104386618091243,1.5844630361480025,1.0362343432096193,0.626373729267263
freeze_gate_all,4,centered_max_load,0.15896987915039057,0.2123940785725911,0.2756846745808919,0.05342419942220054,0.005593727476145694,0.11671479543050135,0.025572000803710724
freeze_gate_all,4,delta_max_load,0.10693041483561198,0.5268902778625488,0.32254616419474286,0.41995986302693683,0.12443850468239259,0.21561574935913086,0.11944230742500801
freeze_gate_all,5,common_margin,0.14822087188561758,0.683609127998352,0.1318688044945399,0.5353882561127344,0.2231412538111543,-0.0163520673910777,0.06054924453325909
freeze_gate_all,5,raw_max_load,0.25818681716918945,0.9895853996276855,0.45321353276570636,0.7313985824584961,0.040777901569232965,0.19502671559651694,0.055443439704549555
freeze_gate_all,5,dominance_ratio,0.6184157520517529,25.61123461044625,0.7914002656594828,24.992818858394497,8.838571577978795,0.17298451360773007,0.3083701267516506
freeze_gate_all,5,centered_max_load,0.15379587809244785,0.2665085792541504,0.2655080159505208,0.1127127011617025,0.06149873459319882,0.11171213785807294,0.03510598066430562
freeze_gate_all,5,delta_max_load,0.1043909390767415,0.7230768203735352,0.18770551681518552,0.6186858812967936,0.10170814753252473,0.083314577738444,0.02272779481148243
freeze_gate_and_experts,3,common_margin,0.0649567196766535,0.379799485206604,0.045204281806945766,0.31484276552995044,0.10198236868993087,-0.019752437869707734,0.03942582929779174
freeze_gate_and_experts,3,raw_max_load,0.27465788523356116,0.9813009897867838,0.33880265553792316,0.7066431045532227,0.00805074190491022,0.06414477030436198,0.022963960066344644
freeze_gate_and_experts,3,dominance_ratio,0.2773568954296349,9.035953158388361,0.23513420585878775,8.758596262958726,2.7655538472419594,-0.04222268957084712,0.21630766236492957
freeze_gate_and_experts,3,centered_max_load,0.16380167007446286,0.19200023015340165,0.36688439051310223,0.0281985600789388,0.029848514488470642,0.2030827204386393,0.13018210820959553
