step,layer,cos_to_global_mean,pairwise_cos_mean,pairwise_cos_min,pairwise_same_winner_rate,primary_secondary_cos,primary_secondary_winner_agree,cos_to_step0,subspace_overlap_k1_mean,subspace_overlap_k4_mean,subspace_overlap_k8_mean
0,3,0.9942450150847435,0.9868872428224199,0.9691328605016073,1.0,0.9973315795262655,1.0,0.9999999403953552,0.7643161947347661,0.8286404382614863,0.8170168435289745
0,4,0.9937741061051687,0.9858169016383943,0.9682203133900961,1.0,0.9971973498662313,1.0,0.9999999205271403,0.7782264485763987,0.8359061713729585,0.8522144421225503
0,5,0.9937881603837013,0.9858490618921462,0.9699094295501709,1.0,0.9972139596939087,1.0,0.9999999602635702,0.8225206062197685,0.8280379467067265,0.8566942115624746
10,3,0.9999746829271317,0.9999420706714902,0.9998351534207662,1.0,0.9999913771947225,1.0,0.3039151132106781,0.9939646018402918,0.9190752371436073,0.8418317692620413
10,4,0.9999836261073748,0.9999625469957079,0.9998947779337565,1.0,0.9999944368998211,1.0,0.28991541266441345,0.9965247746024813,0.8844046188252314,0.8305809128852117
10,5,0.9999888390302658,0.9999744693438212,0.9999279975891113,1.0,0.9999962449073792,1.0,0.2574017643928528,0.9978605352696919,0.8539470377422513,0.8187109004883539
300,3,0.9980433161060015,0.9955324324823561,0.9786380728085836,1.0,0.9998108545939127,1.0,0.11851428945859273,0.9902528566973551,0.9928467266616368,0.9973098458278747
300,4,0.9980323786536852,0.9955073729867027,0.9784623980522156,0.9166666666666666,0.99982221921285,1.0,0.13136800626913706,0.9870425327902749,0.9930763634897414,0.9971110473076502
300,5,0.9981149360537529,0.9956955618801571,0.9793635408083597,0.8571428571428571,0.9998338023821512,1.0,0.14169049263000483,0.9760178455284662,0.9932320664326348,0.9968466212352117
