case,condition,n_seeds,target_accuracy_mean,target_accuracy_min,target_accuracy_max,target_ce_mean,target_ce_min,target_ce_max,expert_load_entropy_norm_mean,expert_load_entropy_norm_min,expert_load_entropy_norm_max,expert_load_max_fraction_mean,expert_load_max_fraction_min,expert_load_max_fraction_max,active_experts_mean,active_experts_min,active_experts_max,nmi_route_s1_mean,nmi_route_s1_min,nmi_route_s1_max,consistency_s1_mean,consistency_s1_min,consistency_s1_max,nmi_route_s2_mean,nmi_route_s2_min,nmi_route_s2_max,consistency_s2_mean,consistency_s2_min,consistency_s2_max,nmi_route_b_id_mean,nmi_route_b_id_min,nmi_route_b_id_max,consistency_b_id_mean,consistency_b_id_min,consistency_b_id_max,nmi_route_s1_s2_mean,nmi_route_s1_s2_min,nmi_route_s1_s2_max,consistency_s1_s2_mean,consistency_s1_s2_min,consistency_s1_s2_max
C1,B0,3,1.0,1.0,1.0,0.0004627161454114533,0.00041317560024367594,0.0004936046742329836,0.13521301808231645,-0.0,0.40563905424694935,0.9166666666666666,0.75,1.0,1.3333333333333333,1.0,2.0,0.21230000001385638,1.000088900581841e-06,0.6368979998637679,1.0,1.0,1.0,6.667263112864726e-07,1.132695735916693e-12,1.000088900581841e-06,0.9166666666666666,0.75,1.0,6.667261517086236e-07,6.539621880414436e-13,1.0000889005818415e-06,0.9166666666666666,0.75,1.0,0.15011896493520677,1.0000889005818406e-06,0.45035489462781914,1.0,1.0,1.0
C1,I1,3,1.0,1.0,1.0,0.0007042340193474198,0.0006475746368437285,0.0007728545078009574,0.13521301808231645,-0.0,0.40563905424694935,0.9166666666666666,0.75,1.0,1.3333333333333333,1.0,2.0,0.21230000001385638,1.000088900581841e-06,0.6368979998637679,1.0,1.0,1.0,6.667263112864726e-07,1.132695735916693e-12,1.000088900581841e-06,0.9166666666666666,0.75,1.0,6.667261517086236e-07,6.539621880414436e-13,1.0000889005818415e-06,0.9166666666666666,0.75,1.0,0.15011896493520677,1.0000889005818406e-06,0.45035489462781914,1.0,1.0,1.0
C2,B0,3,1.0,1.0,1.0,0.00047022156309139973,0.00044819961317443813,0.0004830813885234875,0.13521301808231645,-0.0,0.40563905424694935,0.9166666666666666,0.75,1.0,1.3333333333333333,1.0,2.0,6.667263112864726e-07,1.1326957359166933e-12,1.000088900581841e-06,0.9166666666666666,0.75,1.0,0.21230000001385638,1.000088900581841e-06,0.6368979998637679,1.0,1.0,1.0,6.667261517086236e-07,6.53962188041444e-13,1.0000889005818415e-06,0.9166666666666666,0.75,1.0,0.1501189649352068,1.0000889005818406e-06,0.45035489462781925,1.0,1.0,1.0
C2,I1,3,1.0,1.0,1.0,0.0009761116022843908,0.0007365731537163356,0.0011804939943260706,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000088900581841e-06,1.000088900581841e-06,1.000088900581841e-06,1.0,1.0,1.0,1.000088900581841e-06,1.000088900581841e-06,1.000088900581841e-06,1.0,1.0,1.0,1.0000889005818415e-06,1.0000889005818415e-06,1.0000889005818415e-06,1.0,1.0,1.0,1.0000889005818406e-06,1.0000889005818406e-06,1.0000889005818406e-06,1.0,1.0,1.0
C3,B0,3,1.0,1.0,1.0,0.0007400186304948875,0.0006880122353436491,0.0007800701281439615,0.5736968460387551,0.409462916506233,0.7118975037361975,0.6858723958333334,0.625,0.7451171875,3.0,2.0,4.0,0.4304745731111028,0.31716911607338116,0.6033586627833936,0.8317057291666666,0.75,0.875,0.18287971179948526,0.12182392887341126,0.23994704528429922,0.6858723958333334,0.625,0.7451171875,0.00015426566134673728,4.936302266920713e-13,0.0004627969830087895,0.6858723958333334,0.625,0.7451171875,0.5276758272770904,0.438813714778135,0.5966143940387142,0.9983723958333334,0.9951171875,1.0
C3,I1,3,1.0,1.0,1.0,0.032384931180956755,0.0014144432181808497,0.09401363860982315,0.10171015634227248,-0.0,0.16864503730209252,0.9635416666666666,0.9375,1.0,1.6666666666666667,1.0,2.0,0.09919993481199474,1.000088900581841e-06,0.163723251474526,0.9635416666666666,0.9375,1.0,0.09919993481199474,1.000088900581841e-06,0.163723251474526,0.9635416666666666,0.9375,1.0,0.005210442237801895,1.014214275058455e-12,0.01563032662349089,0.9635416666666666,0.9375,1.0,0.16769763238231464,1.0000889005818406e-06,0.2903833959696909,0.9947916666666666,0.984375,1.0
