model,interval,contrast,eligible_layers,eligible_count,B_update_median,B_update_ci_lower,B_update_ci_upper,deltaW_B_median,deltaW_B_ci_lower,deltaW_B_ci_upper,deltaU_B_median,deltaU_B_ci_lower,deltaU_B_ci_upper,B_update_null_q95,update_supported,deltaW_positive,deltaW_precise_nonpositive,deltaU_positive
lb,10000->20000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,0.6664704084396362,0.625891637802124,0.7042032197117806,-0.19663247466087336,-0.19629238024353982,-0.17891803309321402,-0.23202836513519282,-0.27522935792803765,-0.19907609596848488,0.039451091550290585,True,False,True,False
lb,10000->20000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.303871750831604,2.2454367220401763,2.333698707818985,0.02911525964736935,0.021195989847183228,0.030173096060752868,-0.33499318361282343,-0.3444603383541107,-0.31485030353069304,0.04210561327636242,True,True,False,False
lb,20000->30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.0406917929649353,0.9943292155861855,1.064484840631485,-0.0745202302932739,-0.07434358075261116,-0.06473991498351098,-0.040216386318206745,-0.07952738776803017,-0.04087783396244049,0.04058584198355675,True,False,True,False
lb,20000->30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.3246777057647705,2.283136659860611,2.340588927268982,0.07370340824127189,0.06676230132579804,0.07456471174955367,-0.1898388266563415,-0.20167212337255477,-0.1692648783326149,0.039497727528214455,True,True,False,False
batchgrad,10000->20000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,0.8704074621200562,0.8541806980967521,0.9181879043579102,-0.250671774148941,-0.25142218470573424,-0.22138402685523031,-0.20096254348754874,-0.23492567911744117,-0.1730149433016777,0.04865047335624695,True,False,True,False
batchgrad,10000->20000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.650264263153076,2.616957002878189,2.682127434015274,-0.029615938663482652,-0.037639448046684267,-0.023789171874523164,-0.32283991575241083,-0.33247229754924773,-0.30073781609535216,0.04662794154137373,True,False,True,False
batchgrad,20000->30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,0.4560580253601074,0.4719130776822567,0.5522322490811348,-0.12861952185630796,-0.12842690460383893,-0.11690765842795373,-0.05854031443595881,-0.08441996201872826,-0.04257325269281864,0.05578883737325668,True,False,True,False
batchgrad,20000->30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.408971130847931,1.3761354714632035,1.4409721940755844,-0.03798711299896235,-0.040329673886299135,-0.03294154405593872,-0.1903843879699707,-0.21168717592954636,-0.178887976706028,0.04934983514249325,True,False,True,False
