model,step,layer,coarse_band,coarse_V,sum_constituent_fine_V,within_group_response_cross_term,cross_term_over_coarse_V,coarse_input_energy,sum_constituent_fine_energy,energy_reconstruction_relative_error
batchgrad,10000,1,H,1.1397969722747805,1.1397969722747805,0.0,0.0,13.285270690917969,13.285270690917969,0.0
batchgrad,10000,1,M,0.072071261703968,0.0714552353601901,0.0006160263437779007,0.008547461626358405,6.763601779937744,6.763602197170258,6.168791821324152e-08
batchgrad,10000,1,T,0.0034950659610331,0.0034643025328475415,3.076342818555868e-05,0.008801959255860617,0.6493327617645264,0.6493328143842516,8.103660918130589e-08
batchgrad,10000,2,H,4.060977935791016,4.060977935791016,0.0,0.0,5.934920787811279,5.934920787811279,0.0
batchgrad,10000,2,M,0.0362656340003013,0.0341007512761278,0.002164882724173499,0.059695157243232336,0.8738836050033569,0.8738835304975509,8.52582719868905e-08
batchgrad,10000,2,T,0.0008598562562838,0.0008496983415396987,1.0157914744101325e-05,0.011813503326710287,0.1082258895039558,0.108225876363576,1.2141623282920362e-07
batchgrad,10000,3,H,9.86558723449707,9.86558723449707,0.0,0.0,15.24392318725586,15.24392318725586,0.0
batchgrad,10000,3,M,0.1130646914243698,0.1091637343633918,0.003900957060977997,0.034501991840550764,4.164834022521973,4.164833903312683,2.862281879809349e-08
batchgrad,10000,3,T,0.0020030478481203,0.001984580909492932,1.8466938627368073e-05,0.009219419618307079,0.349359393119812,0.3493594264728014,9.546899275415098e-08
batchgrad,10000,4,H,9.66841983795166,9.66841983795166,0.0,0.0,18.44342994689941,18.44342994689941,0.0
batchgrad,10000,4,M,0.1487889587879181,0.1464827905874698,0.002306168200448294,0.015499592303320552,4.404757976531982,4.40475732088089,1.488506510510967e-07
batchgrad,10000,4,T,0.0021755674388259,0.0021719237561225306,3.64368270336932e-06,0.0016748194693223233,0.3911279439926147,0.39112796355038854,5.0003519680122204e-08
batchgrad,10000,5,H,11.397113800048828,11.397113800048828,0.0,0.0,26.238428115844727,26.238428115844727,0.0
batchgrad,10000,5,M,0.234679490327835,0.2259142734110353,0.008765216916799712,0.03734973560985309,6.454661846160889,6.45466148853302,5.540613546859222e-08
batchgrad,10000,5,T,0.0033292842563241,0.0033273036410716153,1.9806152524847603e-06,0.0005949072232935675,0.6276662945747375,0.6276663485914468,8.60595983623326e-08
batchgrad,10000,6,H,18.4564266204834,18.4564266204834,0.0,0.0,28.340370178222656,28.340370178222656,0.0
batchgrad,10000,6,M,0.4688133001327514,0.43670745147392137,0.03210584865883004,0.06848322914417913,12.677286148071287,12.67728579044342,2.82101281535241e-08
batchgrad,10000,6,T,0.0060957339592278,0.006110719480147709,-1.4985520919908249e-05,-0.002458362031568483,1.0293220281600952,1.0293220586609093,2.963194536031865e-08
batchgrad,10000,7,H,19.580589294433597,19.580589294433597,0.0,0.0,36.72487258911133,36.72487258911133,0.0
batchgrad,10000,7,M,0.2987409234046936,0.27757147094234813,0.021169452462345473,0.07086224485444191,8.684139251708984,8.684139013290405,2.7454485953186807e-08
batchgrad,10000,7,T,0.0055990125983953,0.005474202859659047,0.00012480973873625276,0.022291383800783684,0.9833290576934814,0.9833291159011421,5.9194488595665005e-08
batchgrad,10000,8,H,26.060176849365234,26.060176849365234,0.0,0.0,62.9471549987793,62.9471549987793,0.0
batchgrad,10000,8,M,0.567331075668335,0.48180322628468264,0.08552784938365232,0.15075474101766356,16.715463638305664,16.7154643535614,4.2790062709692704e-08
batchgrad,10000,8,T,0.0076366867870092,0.007254012927660141,0.00038267385934905897,0.05010993249062238,1.4897453784942627,1.489745335187763,2.9069732549458304e-08
