rank,pooled_eigenvalue,complex_old_variance,complex_new_variance,complex_update_variance,simple_old_variance,simple_new_variance,simple_update_variance,innovation_top2_mass
1,2.424275465109903,1.4146987190096383,1.6580282048155441,0.040472141517645506,3.1199715863722073,3.5115126659759337,0.048758815152585365,0.0014905255377195624
2,1.868283929488625,1.109042895523952,1.672301887901026,0.13553349874370818,1.920518146361754,2.7767516197996684,0.19917570531050102,0.0010345873560622231
3,1.1578321237616545,0.8029230596971887,1.125782428871757,0.10536271679966075,1.0670677941122404,1.63895060894974,0.18562651106154934,0.0013346322370751092
4,0.9775674286337072,0.09320321851698447,1.1209293742682604,0.9432988146381142,0.20547495285251313,2.493528928706052,1.7088988638076505,0.023809007260613288
5,0.9418309307049251,0.5239429137031547,0.8502952862077582,0.1183798801794899,0.914397396535606,1.481450096618773,0.19751956921872196,0.0007718064763877001
6,0.8190815753290356,0.09667277526324698,0.9827015137461096,0.8284052787103544,0.18542719125641005,2.013926818597168,1.4676607823582606,0.0055201019885304445
7,0.7495095034445078,0.12719535768577367,0.7042200060127695,0.545685818534763,0.30657461127741475,1.8622460235564275,1.039042915892615,0.006055863980549067
8,0.6397104069623386,0.10550212976542286,0.6495771907075736,0.5055928542609872,0.2644145799291644,1.5412237079164348,0.9584348741477403,0.0214146772520949
9,0.6090328410014115,0.10730086175788844,0.5858399070088641,0.44540792127162515,0.3056195676224139,1.4391570467590675,0.9005981512247792,0.00760996838626146
10,0.5936008565241726,0.05624243133073342,0.5929782449229843,0.4883763537922668,0.21326153452435576,1.513661971978857,1.016787633030385,0.0029739455558297372
11,0.5266443035072012,0.16583531462961906,0.5799082530041506,0.35993275887274306,0.23256910332407266,1.1298089558561035,0.7162056748181844,0.00020745186552763867
12,0.5240368436933487,0.20988278988515144,0.5281450879718195,0.2663468009528243,0.3302170911604923,1.0294391726414325,0.5318815261491997,0.0029942729296575854
13,0.43887531655802753,0.24551470671558898,0.3606932364740325,0.10130012554091528,0.5096211248199142,0.6409592229557082,0.196601794996515,0.007105721330139055
14,0.3976238016549992,0.021127470658814172,0.4693340916254029,0.4244603358940508,0.05204832081345638,1.0491513790098623,0.8313439733664209,0.05727509961347309
15,0.33154389532504036,0.2941427358017472,0.3336577350466766,0.03408389906719521,0.3258156522825749,0.3735317310711748,0.06090725705643272,0.0006124857563695761
16,0.27524373716004996,0.22163567438785586,0.2232135142030695,0.029959143415775404,0.28961271660734783,0.36732021026475603,0.05513098202028232,0.0020853360726108645
17,0.22105762024777942,0.17614045621421776,0.1756564949021035,0.4217827171402468,0.2358848747358081,0.2971969181566008,0.8303195553629044,0.0022294710684338274
18,0.19694028769697547,0.07459360315232416,0.17500898058266318,0.05102624368445879,0.2766990796634554,0.26203702460349954,0.15945702727081476,0.0016137862247552605
19,0.18669601059324095,0.0977110583414902,0.20539474507857544,0.06322378947234208,0.22293504475819118,0.22129068906017732,0.08551577807455665,1.2753428686849097e-05
20,0.16234430200422773,0.12021264637256292,0.12181573641150023,0.09980292290193185,0.13717878007746256,0.2706461265192527,0.2231204301666429,0.0019161109753610287
21,0.1416538902927018,0.06462401814409509,0.10477550729357706,0.02644394939108305,0.19987616493566984,0.19775527770164528,0.049540722136763055,0.0001575201169305777
22,0.13622739843077908,0.06477930773618489,0.09956887513510759,0.10413967803327204,0.1864895181316235,0.19447138644591316,0.23240369882379067,0.002803195173206352
23,0.1208242282708044,0.07195515079265036,0.07136254617100757,0.15638193610061246,0.14083319491587407,0.19950034530143115,0.24959138826435287,0.0009139214862877248
24,0.10503022381410919,0.06785847889083271,0.12369147681332432,0.06425949318626642,0.1120891848183068,0.11678976068155296,0.06228791750038477,0.0001727919932985589
25,0.09158469841413455,0.052584714274037304,0.08820865083224243,0.06601282302959273,0.08158482104484328,0.14422918349411035,0.0884218448640129,0.002049629030472339
26,0.08850213260515159,0.10031969015194621,0.061788906523485135,0.20400183677369668,0.08593747260534644,0.10622199797527701,0.2670896805641151,0.0003468391577622501
27,0.08243932656679363,0.05572520377361221,0.05242004693128021,0.09770781101334024,0.09913486462730613,0.12271894909516556,0.19322389291821615,0.0016300369465876024
28,0.0737467387929744,0.04097309786763038,0.06338960665490699,0.0642814310905261,0.10775389255525165,0.08308662411521177,0.19441925257946804,0.0009519109973714211
29,0.06515119197644971,0.0398446543274175,0.06346897894472762,0.039444715373479086,0.08780735986375592,0.06967483471875192,0.06232588441534153,0.001643309195861946
30,0.06360046952181171,0.03728072297041518,0.0650811018565475,0.08157997805459226,0.08070704741091217,0.07151951736932272,0.1499430039530363,0.0005223241998929772
31,0.05816562329657096,0.044246406200531586,0.04416484106561544,0.11180438189227378,0.07518403385047659,0.06923778560389994,0.16304332037347594,0.0008660168565259435
32,0.05307618290414615,0.03274620718546765,0.045030598881132096,0.05627977490941208,0.06891759749595291,0.06576597694712634,0.1253124175018641,0.0009243630393572324
33,0.04733520806226782,0.03201980316421172,0.042962694077226575,0.04957701398864894,0.054574677316156534,0.0599224707736188,0.06289896659585169,0.0005456767079286297
34,0.04567908556046038,0.020386588303845887,0.03160258928332872,0.01637790333948881,0.06393658925565526,0.06692453156067983,0.037485649446046286,0.0010738002623289652
35,0.043305952668271225,0.01999553752458032,0.026409365232346244,0.031697025531999046,0.061699690350301664,0.06524621448625993,0.06353333110794611,0.0002238176845932897
36,0.042868069740542816,0.020783600256797024,0.03553984027974242,0.020584048107704138,0.06619909304894027,0.049075458514523315,0.0418141533056304,0.0002061157800611443
37,0.040845933013294054,0.031032497684231636,0.034049786135477586,0.023248416876435946,0.04864220050856985,0.049779030653932195,0.04043344873797345,0.0009557375087239405
38,0.03804137723927748,0.030043227104775066,0.028180692758742677,0.008002360441623245,0.04568213324190159,0.04837101437774444,0.018193742353231263,0.0015188744150528087
39,0.03635071151970279,0.026986162737036225,0.027267999603725328,0.02121876447899913,0.03767386445721296,0.053581419270085875,0.032544237953980114,0.0023020016238567043
40,0.033363056880997284,0.014287851355166574,0.03121977622907563,0.034537440731592504,0.04784957776535857,0.04019286108591662,0.05507507482308962,0.0028577861036283682
41,0.029806151581970128,0.02086898757197068,0.02865199920631913,0.04036945685789269,0.02855403417565145,0.04123699336975613,0.022801612696184415,0.004824873133978473
42,0.029144007770837563,0.016775170880273436,0.03038306109480735,0.03780813590659057,0.03390442822728904,0.035598837271868196,0.03420010934984248,0.00024669809723526986
43,0.026678043060689667,0.012651373044165882,0.024836712279981885,0.01692324165179708,0.03863307894748585,0.03066924271129758,0.024957537857512733,0.0007367581539788705
44,0.025627033457313278,0.006955541433880021,0.028144116400521557,0.028089800165912112,0.0322371170178178,0.035246511691768345,0.051146468154490164,0.002471153356149079
45,0.02497651684250071,0.01072723281704793,0.021095992994212272,0.013775058687170867,0.03490486045172439,0.03325122616182807,0.020392258202046886,0.0011798564089473549
46,0.024014353851365338,0.007448205111352119,0.02115658153695621,0.02119241281201178,0.03139168719986614,0.03613136486988142,0.03935784109736227,0.001777492958601391
47,0.023430312218711686,0.01007552333674508,0.018670516757312537,0.014517405255372708,0.033174585219835365,0.031869334217136294,0.023350880054297883,0.0026327913427568283
48,0.022329171096572023,0.01228908950882471,0.01714168901112464,0.01808753506237954,0.03182778553306663,0.028123601584610206,0.025000314108852926,0.0013635168043415274
49,0.021901728936590436,0.011108929070103248,0.018072667071826254,0.021474876150828905,0.028567235153858297,0.029922312285064024,0.035980214256477974,0.0002531651755155411
50,0.02157119288644324,0.011679490084268614,0.013592596961462589,0.01842763500690928,0.02934978857130623,0.03172615465543095,0.026420264044717517,0.009089768697107013
51,0.020983703484932514,0.010570300113419669,0.01715998866521189,0.020345196413257063,0.033507147301213305,0.022758913784777172,0.03393180156595132,0.001387297287650625
