phase,dim,seed,step,the_bayes_gap,the_ce,objective_loss,macro_loss,loss_the_sun,loss_the_moon,condition,a_bayes_gap,cake_loss,cake_accuracy,tail_common_energy_fraction,tail_contrast_common_energy_fraction,common_only_cake_loss,residual_only_cake_loss,rep_macro_top1_energy,rep_macro_effective_rank,rep_weighted_top1_energy,rep_weighted_effective_rank,embedding_raw_top1_energy,embedding_raw_effective_rank,embedding_centered_top1_energy,embedding_centered_effective_rank,Bqk_top1_energy,Bqk_effective_rank,Bvo_top1_energy,Bvo_effective_rank,loss_a_moon_cake,loss_a_banana_cake,loss_a_fruit_cake,cos_cake_moon_tail,cos_cake_moon_high,cos_cake_banana,cos_cake_fruit,cos_cake_sun,cos_moon_high_the,cos_moon_tail_a,tail_proj_onto_phase1_c,moon_tail_emb_proj_onto_c,cake_emb_proj_onto_c
pretrain,8,0,280,3.8743019104003906e-05,0.6931859254837036,0.6931859254837036,13.452651977539062,0.6915408372879028,0.6948310136795044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,290,3.93986701965332e-05,0.6931865811347961,0.6931865811347961,13.44019889831543,0.6923344731330872,0.6940386891365051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,300,3.421306610107422e-05,0.6931813955307007,0.6931813955307007,13.457868576049805,0.69145667552948,0.6949061155319214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,310,2.9385089874267578e-05,0.6931765675544739,0.6931765675544739,13.485247611999512,0.6904938817024231,0.6958592534065247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,320,2.1219253540039062e-05,0.6931684017181396,0.6931684017181396,13.516212463378906,0.6920983791351318,0.6942384243011475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,330,1.7523765563964844e-05,0.6931647062301636,0.6931647062301636,13.545164108276367,0.6941937208175659,0.6921356916427612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,340,1.4483928680419922e-05,0.69316166639328,0.69316166639328,13.566987991333008,0.6927849650382996,0.6935383677482605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,350,1.2516975402832031e-05,0.6931596994400024,0.6931596994400024,13.58851146697998,0.6933027505874634,0.6930166482925415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,360,1.1086463928222656e-05,0.6931582689285278,0.6931582689285278,13.60704231262207,0.6930118799209595,0.6933046579360962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,370,9.953975677490234e-06,0.6931571364402771,0.6931571364402771,13.624565124511719,0.6932916045188904,0.6930226683616638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,380,9.000301361083984e-06,0.6931561827659607,0.6931561827659607,13.640215873718262,0.6930932402610779,0.6932191252708435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,390,8.225440979003906e-06,0.6931554079055786,0.6931554079055786,13.655031204223633,0.6931172609329224,0.6931935548782349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,400,7.62939453125e-06,0.6931548118591309,0.6931548118591309,13.668972969055176,0.6931672096252441,0.6931424140930176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,410,7.033348083496094e-06,0.6931542158126831,0.6931542158126831,13.682108879089355,0.693168044090271,0.6931403875350952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,420,6.556510925292969e-06,0.6931537389755249,0.6931537389755249,13.694572448730469,0.6931594610214233,0.6931480169296265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,430,6.198883056640625e-06,0.6931533813476562,0.6931533813476562,13.706441879272461,0.6931533813476562,0.6931533813476562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,440,5.7220458984375e-06,0.693152904510498,0.693152904510498,13.717798233032227,0.6931486129760742,0.6931571960449219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,450,5.4836273193359375e-06,0.693152666091919,0.693152666091919,13.7286958694458,0.6931521892547607,0.6931531429290771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,460,5.125999450683594e-06,0.6931523084640503,0.6931523084640503,13.73921012878418,0.6931561231613159,0.6931484937667847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,470,4.887580871582031e-06,0.6931520700454712,0.6931520700454712,13.749345779418945,0.6931473016738892,0.6931568384170532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,480,4.5299530029296875e-06,0.6931517124176025,0.6931517124176025,13.75915813446045,0.6931507587432861,0.693152666091919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,490,4.410743713378906e-06,0.693151593208313,0.693151593208313,13.768640518188477,0.6931453943252563,0.6931577920913696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain,8,0,500,4.172325134277344e-06,0.6931513547897339,0.6931513547897339,13.777853012084961,0.6931484937667847,0.6931542158126831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,8,0,0,4.172325134277344e-06,,5.054718971252441,13.777853012084961,0.6931484937667847,0.6931542158126831,natural,21.476089477539062,22.427270889282227,0.0,0.9991954565048218,0.9996228218078613,22.42595863342285,1.9083560705184937,0.9996643662452698,1.003334641456604,0.9996050596237183,1.0037877559661865,0.9398141503334045,1.3488209247589111,0.9512201547622681,1.272143840789795,0.237351655960083,7.097785472869873,0.9815463423728943,1.1303051710128784,61.44964599609375,2.5526397228240967,3.5006773471832275,-0.9453271627426147,-0.9453271627426147,0.9763199687004089,0.9706270098686218,-0.945318341255188,0.6294212341308594,-0.9347015619277954,,,
phase2,8,0,10,0.012525737285614014,,1.1024140119552612,1.8958961963653564,0.6661450266838074,0.7452008128166199,natural,1.9606423377990723,2.319502115249634,0.6666666865348816,0.9812919497489929,0.9901356101036072,2.1813416481018066,1.9549789428710938,0.9945777058601379,1.0409311056137085,0.9976938962936401,1.0184201002120972,0.8704670667648315,1.71541428565979,0.8796918392181396,1.6239104270935059,0.446633905172348,5.147714138031006,0.9167855381965637,1.5193651914596558,5.888928413391113,1.107346534729004,1.0718600749969482,-0.8898975849151611,-0.8898975849151611,0.9570781588554382,0.9459261298179626,-0.9016862511634827,0.4261207580566406,-0.7869195342063904,,,
