optimizer,lr,mean_stable_step_score,mean_final_macro_loss
adam,0.003,5.0,1.2341068983078003
adam,0.01,1.6666666666666667,0.18958916266759238
adam,0.03,1.0,0.02566606116791566
adam,0.1,1.0,0.0031981796491891146
muon,0.003,17.0,2.391268332799276
muon,0.01,5.333333333333333,1.5695507526397705
muon,0.03,2.0,0.2190430462360382
muon,0.1,1.0,1.5767785347028013e-05
