distribution,optimizer,loss,batch,batch_size,lr,seed,common_stable_step,tail_stable_step,all_stable_step,tail_common_step_ratio,final_population_loss,final_macro_loss,final_common_loss,final_tail_loss,final_common_accuracy,final_tail_accuracy,final_all_accuracy,final_parameter_top1_energy,final_parameter_effective_rank,final_parameter_condition_nonzero,final_gradient_top1_energy,final_gradient_effective_rank,final_gradient_condition_nonzero,final_update_top1_energy,final_update_effective_rank,final_update_condition_nonzero,final_common_function_update_norm,final_tail_function_update_norm,final_tail_to_common_update_ratio,final_batch_unique_fraction,final_batch_tail_unique_fraction
uniform,adam,raw,population,0,0.1,0,1,1,1,1.0,0.001337982714176178,0.001337982714176178,0.001410174067132175,0.0013139188522472978,1.0,1.0,1.0,0.1348118782043457,13.293174743652344,8.536436080932617,0.10627647489309311,14.292411804199219,170326.03125,0.11780083179473877,14.01855182647705,8.352535247802734,0.03633134439587593,0.036183807998895645,0.9959391355514526,1.0,1.0
uniform,adam,raw,population,0,0.1,1,1,1,1,1.0,0.0013406539801508188,0.0013406539801508188,0.0014115131925791502,0.0013170341262593865,1.0,1.0,1.0,0.1347697675228119,13.29025650024414,8.542941093444824,0.10550031065940857,14.294429779052734,499155.59375,0.11782728880643845,14.020550727844238,8.37631607055664,0.03632961958646774,0.03618667647242546,0.9960653781890869,1.0,1.0
uniform,adam,raw,population,0,0.1,2,1,1,1,1.0,0.0013380125164985657,0.0013380125164985657,0.0014093407662585378,0.0013142364332452416,1.0,1.0,1.0,0.1349046677350998,13.296401977539062,8.4844388961792,0.10540159791707993,14.297159194946289,80744.0,0.11754721403121948,14.02448558807373,8.372419357299805,0.036319173872470856,0.03618496656417847,0.9963048100471497,1.0,1.0
uniform,adam,raw,64,64,0.1,0,1,1,1,1.0,0.0015384089201688766,0.0015384089201688766,0.0014376972103491426,0.001571979490108788,1.0,1.0,1.0,0.13199110329151154,13.648255348205566,5.030079364776611,0.22695350646972656,9.62823486328125,7.5558061599731445,0.15502768754959106,13.639472961425781,6.989265441894531,0.036665238440036774,0.03714575991034508,1.0131056308746338,1.0,1.0
uniform,adam,raw,64,64,0.1,1,1,1,1,1.0,0.001565622165799141,0.001565622165799141,0.001679343287833035,0.0015277151251211762,1.0,1.0,1.0,0.1340077966451645,13.660467147827148,5.049693584442139,0.1727411448955536,10.665605545043945,12.642951965332031,0.12532436847686768,13.721935272216797,6.885116100311279,0.03793856501579285,0.03690231218934059,0.9726860523223877,0.9375,0.9166666666666666
uniform,adam,raw,64,64,0.1,2,1,2,2,2.0,0.001552758738398552,0.001552758738398552,0.0016559283249080181,0.0015183690702542663,1.0,1.0,1.0,0.13180530071258545,13.684612274169922,4.1445393562316895,0.24751077592372894,10.16606330871582,390138.15625,0.1321282982826233,13.547585487365723,4.8571624755859375,0.0382118746638298,0.03665937855839729,0.9593713879585266,1.0,1.0
uniform,adam,raw,16,16,0.1,0,3,5,5,1.6666666666666667,0.0021561961621046066,0.0021561961621046066,0.002037936123088002,0.0021956160198897123,1.0,1.0,1.0,0.12691470980644226,14.07992935180664,3.058446168899536,0.4607717990875244,5.138426780700684,6.362318992614746,0.1604355275630951,12.755321502685547,7.11460018157959,0.036228373646736145,0.0388815738260746,1.0732353925704956,0.625,0.75
uniform,adam,raw,16,16,0.1,1,2,8,8,4.0,0.0022655499633401632,0.0022655499633401632,0.002551618730649352,0.0021701937075704336,1.0,1.0,1.0,0.12418487668037415,14.184619903564453,2.8338592052459717,0.3358391523361206,6.479650974273682,4.812285423278809,0.1274203360080719,13.12729549407959,10.808551788330078,0.03253186494112015,0.04067699983716011,1.2503740787506104,0.625,0.75
uniform,adam,raw,16,16,0.1,2,7,7,7,1.0,0.0020848989952355623,0.0020848989952355623,0.0019931448623538017,0.002115483395755291,1.0,1.0,1.0,0.12553144991397858,14.049137115478516,2.8757128715515137,0.21430985629558563,8.949684143066406,3.95849609375,0.15548689663410187,12.741011619567871,6.431717395782471,0.04029572755098343,0.038155317306518555,0.946882426738739,0.75,0.6666666666666666
uniform,muon,raw,population,0,0.1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07100122421979904,15.212394714355469,4.371301174163818,0.0,0.0,0.0,0.08371564745903015,15.001399040222168,9.090261459350586,0.754286527633667,0.7566366195678711,1.0031156539916992,1.0,1.0
uniform,muon,raw,population,0,0.1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07085161656141281,15.208727836608887,4.403596878051758,0.0,0.0,0.0,0.08311525732278824,14.989850997924805,9.07824420928955,0.7612377405166626,0.749342143535614,0.9843733310699463,1.0,1.0
uniform,muon,raw,population,0,0.1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07118367403745651,15.215705871582031,4.34377908706665,0.0,0.0,0.0,0.08433797955513,15.014012336730957,9.003573417663574,0.7666549682617188,0.7490551471710205,0.9770433902740479,1.0,1.0
uniform,muon,raw,64,64,0.1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0698896050453186,15.152277946472168,5.3672075271606445,0.0,0.0,0.0,0.0747729241847992,14.926709175109863,17.994478225708008,0.7527039647102356,0.7227045893669128,0.9601445198059082,1.0,1.0
uniform,muon,raw,64,64,0.1,1,1,2,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06927146017551422,15.129120826721191,5.946892738342285,0.0,0.0,0.0,0.07550426572561264,14.91354751586914,20.9346923828125,0.7061126828193665,0.7300158143043518,1.0338517427444458,0.9375,0.9166666666666666
uniform,muon,raw,64,64,0.1,2,1,2,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06974146515130997,15.15841293334961,5.239177703857422,0.0,0.0,0.0,0.07558073848485947,14.847929954528809,17.634214401245117,0.7762913107872009,0.7725605964660645,0.9951941967010498,1.0,1.0
uniform,muon,raw,16,16,0.1,0,3,4,4,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07426811754703522,15.0903902053833,7.110622882843018,0.0,0.0,0.0,0.08420819044113159,14.886478424072266,33.37077331542969,0.7113023996353149,0.7165665030479431,1.007400631904602,0.625,0.75
uniform,muon,raw,16,16,0.1,1,2,7,7,3.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08200344443321228,15.095720291137695,6.572582244873047,0.0,0.0,0.0,0.09106165915727615,14.919294357299805,25.678855895996094,0.6782363057136536,0.6857953667640686,1.0111451148986816,0.625,0.75
uniform,muon,raw,16,16,0.1,2,4,6,6,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0943455919623375,14.987625122070312,8.718979835510254,0.0,0.0,0.0,0.15321877598762512,14.276548385620117,44.353546142578125,0.6900046467781067,0.71444171667099,1.035415768623352,0.75,0.6666666666666666
zipf90,adam,raw,population,0,0.1,0,1,14,14,14.0,0.001112339086830616,0.002817044733092189,0.0008500766707584262,0.0034727007150650024,1.0,1.0,1.0,0.2375515252351761,11.425922393798828,5.833938121795654,0.31989356875419617,4.966361045837402,10.565598487854004,0.12423358112573624,13.608763694763184,3.807023525238037,0.03887733072042465,0.03865865617990494,0.9943752884864807,1.0,1.0
zipf90,adam,raw,population,0,0.1,1,1,14,14,14.0,0.0011137459659948945,0.0028215970378369093,0.000850999669637531,0.0034784625750035048,1.0,1.0,1.0,0.2372674196958542,11.434392929077148,5.7805328369140625,0.3184826374053955,4.969250202178955,341712.90625,0.12419804185628891,13.614151000976562,3.798915147781372,0.03886498510837555,0.03865816071629524,0.9946783781051636,1.0,1.0
zipf90,adam,raw,population,0,0.1,2,1,14,14,14.0,0.0011107060126960278,0.0028113776352256536,0.0008490641484968364,0.0034654822666198015,1.0,1.0,1.0,0.23708654940128326,11.438567161560059,5.80375337600708,0.31837356090545654,4.967591762542725,10.535895347595215,0.1240745335817337,13.607011795043945,3.7988595962524414,0.03889504447579384,0.0386604405939579,0.9939683079719543,1.0,1.0
zipf90,adam,raw,64,64,0.1,0,1,21,21,21.0,0.0013482414651662111,0.00438676355406642,0.0008807764388620853,0.005555426236242056,1.0,1.0,1.0,0.26876702904701233,11.636672973632812,5.327111721038818,0.2540687918663025,7.930233955383301,5.066593170166016,0.14026769995689392,13.31091594696045,4.522817611694336,0.03879477083683014,0.03818965703248978,0.9844021797180176,0.6875,0.5833333333333334
