distribution,loss,batch_size,mc_samples,mean_tail_feature_coverage,raw_relative_bias,raw_relative_rms_error,muon_relative_bias,muon_relative_rms_error
uniform,raw,64,400,0.98375,0.026187138631939888,0.490454763174057,0.2925480008125305,0.46329769492149353
uniform,raw,16,400,0.6479166666666666,0.041259922087192535,0.9580281972885132,0.1269737333059311,0.6934624314308167
uniform,balanced,64,400,0.985,0.02195112593472004,0.48022863268852234,0.292581707239151,0.45915934443473816
uniform,balanced,16,400,0.6372916666666666,0.04853745922446251,0.9680801630020142,0.13142186403274536,0.6942914724349976
zipf90,raw,64,400,0.4185416666666667,0.013781765475869179,0.24341021478176117,0.29439330101013184,0.7244102358818054
zipf90,raw,16,400,0.13,0.016795750707387924,0.49824589490890503,0.7058570981025696,0.7874627113342285
zipf90,balanced,64,400,0.40666666666666673,0.06436162441968918,1.1803674697875977,0.39006125926971436,0.7476410865783691
zipf90,balanced,16,400,0.125625,0.10292797535657883,2.3827908039093018,0.7381696701049805,0.8516949415206909
