optimizer,lr,mean_final_full_accuracy_fail,mean_stable_group_step,mean_final_population_raw_loss
adam,0.01,1.0,121.0,1.461582064628601
adam,0.03,0.0,94.66666666666667,0.13141057888666788
adam,0.1,1.0,121.0,0.24864459037780762
adam,0.18,0.6666666666666666,103.0,0.062479123182129115
muon,0.003,1.0,121.0,1.9911924997965496
muon,0.01,1.0,121.0,1.814580758412679
muon,0.03,0.0,76.66666666666667,0.0013686181046068668
muon,0.1,0.6666666666666666,60.666666666666664,0.4818231545699139
