condition,loss,batch_size,mc_samples,mean_batch_tail_fraction,mean_batch_internal_fraction,hidden_grad_relative_bias,hidden_grad_relative_rms_error,hidden_muon_relative_bias,hidden_muon_relative_rms_error
withK_uniform,raw,64,200,0.748203125,0.251328125,0.0465153232216835,0.5443634986877441,0.20959846675395966,0.6363915205001831
withK_uniform,raw,16,200,0.764375,0.2465625,0.09370553493499756,1.0733802318572998,0.285919189453125,0.9459207653999329
withK_uniform,sqrt_reweight,64,200,0.748203125,0.251328125,0.04323061555624008,0.4715370535850525,0.4326583743095398,0.7660150527954102
withK_uniform,sqrt_reweight,16,200,0.764375,0.2465625,0.08833611011505127,0.9262486100196838,0.524868905544281,0.9355791807174683
withK_zipf,raw,64,200,0.30171875,0.251796875,0.008837518282234669,0.2820211946964264,0.29873213171958923,0.6666114330291748
withK_zipf,raw,16,200,0.31125,0.27125,0.04551546648144722,0.5615106821060181,0.44980067014694214,0.920525074005127
withK_zipf,sqrt_reweight,64,200,0.30171875,0.251796875,0.010893648490309715,0.4601406455039978,0.192594513297081,0.5014366507530212
withK_zipf,sqrt_reweight,16,200,0.31125,0.27125,0.059968214482069016,0.937628448009491,0.4148062467575073,0.8156639337539673
